,fight,winner,odds_w,loser,odds_l
1379,Artem Lobov vs Teruto Ishihara,Artem-Lobov,3.2,Teruto-Ishihara,1.44
1380,Magnus Cedenblad vs Jack Marshman,Jack-Marshman,3.2,Magnus-Cedenblad,1.43
1381,Kyoji Horiguchi vs Ali Bagautinov,Kyoji-Horiguchi,1.53,Ali-Bagautinov,2.85
1382,Kevin Lee vs Magomed Mustafaev,Kevin-Lee,1.87,Magomed-Mustafaev,2.1
1383,Anna Elmose vs Amanda Cooper,Amanda-Cooper,1.95,Anna-Elmose,2.12
1384,Justin Ledet vs Mark Godbeer,Justin-Ledet,1.74,Mark-Godbeer,2.32
1385,Zak Cummings vs Alexander Yakovlev,Zak-Cummings,1.63,Alexander-Yakovlev,2.5
1386,Marion Reneau vs Milana Dudieva,Marion-Reneau,1.5,Milana-Dudieva,2.95
1387,Brett Johns vs Kwan Ho Kwak,Brett-Johns,1.48,Kwan-Ho-Kwak,2.9
1388,Abdul Razak Alhassan vs Charlie Ward,Abdul-Razak-Alhassan,1.34,Charlie-Ward,3.8
1389,Eddie Alvarez vs Conor McGregor,Conor-McGregor,1.8,Eddie-Alvarez,2.3
1390,Joanna Jedrzejczyk vs Karolina Kowalkiewicz,Joanna-Jedrzejczyk,1.29,Karolina-Kowalkiewicz,4.95
1391,Chris Weidman vs Yoel Romero,Yoel-Romero,2.58,Chris-Weidman,1.62
1392,Miesha Tate vs Raquel Pennington,Raquel-Pennington,2.62,Miesha-Tate,1.62
1393,Frankie Edgar vs Jeremy Stephens,Frankie-Edgar,1.33,Jeremy-Stephens,3.8
1394,Michael Johnson vs Khabib Nurmagomedov,Khabib-Nurmagomedov,1.36,Michael-Johnson,3.68
1395,Rafael Natal vs Tim Boetsch,Tim-Boetsch,2.38,Rafael-Natal,1.65
1396,Belal Muhammad vs Vicente Luque,Vicente-Luque,1.91,Belal-Muhammad,2.0
1397,Thiago Alves vs Jim Miller,Jim-Miller,2.4,Thiago-Alves,1.67
1398,Liz Carmouche vs Katlyn Chookagian,Liz-Carmouche,2.5,Katlyn-Chookagian,1.62
1399,Rafael dos Anjos vs Tony Ferguson,Tony-Ferguson,2.28,Rafael-dos-Anjos,1.8
1400,Diego Sanchez vs Marcin Held,Diego-Sanchez,2.86,Marcin-Held,1.53
1401,Ricardo Lamas vs Charles Oliveira,Ricardo-Lamas,2.01,Charles-Oliveira,1.89
1402,Martin Bravo vs Claudio Puelles,Martin-Bravo,2.03,Claudio-Puelles,1.94
1403,Beneil Dariush vs Rashid Magomedov,Beneil-Dariush,2.6,Rashid-Magomedov,1.62
1404,Alexa Grasso vs Heather Clark,Alexa-Grasso,1.24,Heather-Clark,4.89
1405,Erik Perez vs Felipe Arantes,Erik-Perez,1.5,Felipe-Arantes,2.86
1406,Joe Soto vs Marco Beltran,Joe-Soto,1.87,Marco-Beltran,2.06
1407,Erick Montano vs Max Griffin,Max-Griffin,1.61,Erick-Montano,2.36
