,fight,winner,odds_w,loser,odds_l
624,Olivier Aubin-Mercier vs Alexander Hernandez,Alexander-Hernandez,2.1,Olivier-Aubin-Mercier,1.91
625,Jordan Mein vs Alex Morono,Jordan-Mein,1.73,Alex-Morono,2.33
626,Hakeem Dawodu vs Austin Arnett,Hakeem-Dawodu,1.29,Austin-Arnett,4.8
627,Kajan Johnson vs Islam Makhachev,Islam-Makhachev,1.2,Kajan-Johnson,5.72
628,Gadzhimurad Antigulov vs Ion Cutelaba,Ion-Cutelaba,1.91,Gadzhimurad-Antigulov,2.15
629,John Makdessi vs Ross Pearson,John-Makdessi,1.49,Ross-Pearson,3.01
630,Alexis Davis vs Katlyn Chookagian,Katlyn-Chookagian,1.68,Alexis-Davis,2.4
631,Dustin Ortiz vs Matheus Nicolau,Dustin-Ortiz,2.75,Matheus-Nicolau,1.53
632,Randa Markos vs Nina Ansaroff,Nina-Ansaroff,1.74,Randa-Markos,2.25
633,Alvaro Herrera vs Devin Powell,Devin-Powell,2.0,Alvaro-Herrera,2.0
634,Mauricio Rua vs Anthony Smith,Anthony-Smith,1.71,Mauricio-Rua,2.6
635,Corey Anderson vs Glover Teixeira,Corey-Anderson,2.38,Glover-Teixeira,1.85
636,Vitor Miranda vs Abu Azaitar,Abu-Azaitar,1.53,Vitor-Miranda,2.85
637,Marcin Tybura vs Stefan Struve,Marcin-Tybura,1.5,Stefan-Struve,2.9
638,David Zawada vs Danny Roberts,Danny-Roberts,1.5,David-Zawada,3.5
639,Nasrat Haqparast vs Marc Diakiese,Nasrat-Haqparast,2.5,Marc-Diakiese,1.64
640,Nick Hein vs Damir Hadzovic,Damir-Hadzovic,2.48,Nick-Hein,1.62
641,Emil Meek vs Bartosz Fabinski,Bartosz-Fabinski,2.4,Emil-Meek,1.7
642,Nad Narimani vs Khalid Taha,Nad-Narimani,1.4,Khalid-Taha,3.31
643,Justin Ledet vs Aleksandar Rakic,Aleksandar-Rakic,2.05,Justin-Ledet,1.87
644,Manny Bermudez vs Davey Grant,Manny-Bermudez,1.4,Davey-Grant,3.52
645,Jeremy Kimball vs Darko Stosic,Darko-Stosic,1.4,Jeremy-Kimball,3.3
646,Damian Stasiak vs Pingyuan Liu,Pingyuan-Liu,2.03,Damian-Stasiak,1.95
647,Junior dos Santos vs Blagoy Ivanov,Junior-dos-Santos,1.57,Blagoy-Ivanov,2.9
648,Sage Northcutt vs Zak Ottow,Sage-Northcutt,1.83,Zak-Ottow,2.35
649,Chad Mendes vs Myles Jury,Chad-Mendes,1.87,Myles-Jury,2.85
650,Darren Elkins vs Alex Volkanovski,Alex-Volkanovski,1.48,Darren-Elkins,3.1
651,Marion Reneau vs Cat Zingano,Cat-Zingano,2.0,Marion-Reneau,1.95
652,Eddie Wineland vs Alejandro Perez,Alejandro-Perez,1.58,Eddie-Wineland,2.65
653,Dennis Bermudez vs Rick Glenn,Rick-Glenn,2.65,Dennis-Bermudez,1.58
654,Justin Scoggins vs Said Nurmagomedov,Said-Nurmagomedov,1.89,Justin-Scoggins,2.07
655,Randy Brown vs Niko Price,Niko-Price,2.15,Randy-Brown,1.8
656,Kurt Holobaugh vs Raoni Barcelos,Raoni-Barcelos,2.5,Kurt-Holobaugh,1.63
657,Liz Carmouche vs Jennifer Maia,Liz-Carmouche,1.89,Jennifer-Maia,2.1
658,Mark Delarosa vs Elias Garcia,Mark-Delarosa,2.2,Elias-Garcia,1.77
659,Jessica Aguilar vs Jodie Esquibel,Jessica-Aguilar,2.53,Jodie-Esquibel,1.67
660,Francis Ngannou vs Derrick Lewis,Derrick-Lewis,3.8,Francis-Ngannou,1.4
661,Mike Perry vs Paul Felder,Mike-Perry,2.5,Paul-Felder,1.7
662,Michael Chiesa vs Anthony Pettis,Anthony-Pettis,2.6,Michael-Chiesa,1.62
663,Gokhan Saki vs Khalil Rountree,Khalil-Rountree,2.3,Gokhan-Saki,1.74
664,Paulo Costa vs Urijah Hall,Paulo-Costa,0.0,Urijah-Hall,0.0
665,Raphael Assuncao vs Rob Font,Raphael-Assuncao,1.78,Rob-Font,2.38
666,Lando Vannata vs Drakkar Klose,Drakkar-Klose,2.74,Lando-Vannata,1.54
667,Max Griffin vs Curtis Millender,Curtis-Millender,1.61,Max-Griffin,2.55
668,Daniel Hooker vs Gilbert Burns,Daniel-Hooker,1.89,Gilbert-Burns,2.05
669,Jamie Moyle vs Emily Whitmire,Emily-Whitmire,2.75,Jamie-Moyle,1.57
670,Brad Tavares vs Israel Adesanya,Israel-Adesanya,1.91,Brad-Tavares,2.05
671,Mike Trizano vs Joe Giannetti,Mike-Trizano,2.55,Joe-Giannetti,1.65
672,Alessio Di Chirico vs Julian Marquez,Alessio-Di-Chirico,2.4,Julian-Marquez,1.75
673,Alex Caceres vs Martin Bravo,Alex-Caceres,1.8,Martin-Bravo,2.23
674,Luis Pena vs Richie Smullen,Luis-Pena,1.29,Richie-Smullen,4.4
675,Barb Honchak vs Roxanne Modafferi,Roxanne-Modafferi,2.5,Barb-Honchak,1.65
676,Montana De La Rosa vs Rachael Ostovich,Montana-De-La-Rosa,1.65,Rachael-Ostovich,2.45
677,Jay Cucciniello vs Brad Katona,Brad-Katona,1.44,Jay-Cucciniello,3.3
678,John Gunther vs Allan Zuniga,John-Gunther,1.7,Allan-Zuniga,2.37
679,Tyler Diamond vs Bryce Mitchell,Bryce-Mitchell,2.29,Tyler-Diamond,1.91
680,Matt Bessette vs Steven Peterson,Steven-Peterson,2.3,Matt-Bessette,1.79
681,Oskar Piechota vs Gerald Meerschaert,Gerald-Meerschaert,3.01,Oskar-Piechota,1.49
682,Donald Cerrone vs Leon Edwards,Leon-Edwards,1.49,Donald-Cerrone,3.25
683,Tyson Pedro vs Ovince St Preux,Ovince-St-Preux,2.26,Tyson-Pedro,1.74
684,Shinsho Anzai vs Jake Matthews,Jake-Matthews,1.18,Shinsho-Anzai,5.72
685,Naoki Inoue vs Matt Schnell,Matt-Schnell,2.69,Naoki-Inoue,1.54
686,Jessica-Rose Clark vs Jessica Eye,Jessica-Eye,2.5,Jessica-Rose-Clark,1.62
687,Viviane Pereira vs Yan Xiaonan,Yan-Xiaonan,2.5,Viviane-Pereira,1.62
688,Teruto Ishihara vs Petr Yan,Petr-Yan,1.17,Teruto-Ishihara,6.15
689,Li Jingliang vs Daichi Abe,Li-Jingliang,1.45,Daichi-Abe,3.15
690,Jenel Lausa vs Yuta Sasaki,Yuta-Sasaki,1.43,Jenel-Lausa,3.3
691,Felipe Arantes vs Yadong Song,Yadong-Song,1.91,Felipe-Arantes,2.0
692,Kenan Song vs Hector Aldana,Kenan-Song,1.36,Hector-Aldana,3.6
693,Rolando Dy vs Shane Young,Shane-Young,1.62,Rolando-Dy,2.5
694,Ji Yeon Kim vs Melinda Fabian,Ji-Yeon-Kim,1.6,Melinda-Fabian,2.75
695,Yoel Romero vs Robert Whittaker,Robert-Whittaker,1.4,Yoel-Romero,3.7
696,Yoel Romero vs Robert Whittaker,Robert-Whittaker,1.4,Yoel-Romero,3.7
697,Yoel Romero vs Robert Whittaker,Robert-Whittaker,1.91,Yoel-Romero,2.1
698,Yoel Romero vs Robert Whittaker,Robert-Whittaker,1.91,Yoel-Romero,2.1
699,Colby Covington vs Rafael dos Anjos,Colby-Covington,1.87,Rafael-dos-Anjos,2.33
700,Holly Holm vs Megan Anderson,Holly-Holm,1.7,Megan-Anderson,2.65
701,Andrei Arlovski vs Tai Tuivasa,Tai-Tuivasa,1.45,Andrei-Arlovski,3.1
702,Phil Brooks vs Mike Jackson,Mike-Jackson,1.56,Phil-Brooks,2.75
703,Alistair Overeem vs Curtis Blaydes,Curtis-Blaydes,1.57,Alistair-Overeem,2.75
704,Claudia Gadelha vs Carla Esparza,Claudia-Gadelha,1.38,Carla-Esparza,5.25
705,Ricardo Lamas vs Mirsad Bektic,Mirsad-Bektic,1.45,Ricardo-Lamas,3.15
706,Rashad Coulter vs Chris de la Rocha,Chris-de-la-Rocha,2.2,Rashad-Coulter,1.91
707,Rashad Evans vs Anthony Smith,Anthony-Smith,1.5,Rashad-Evans,3.12
708,Joseph Benavidez vs Sergio Pettis,Sergio-Pettis,2.9,Joseph-Benavidez,1.59
709,Clay Guida vs Charles Oliveira,Charles-Oliveira,1.74,Clay-Guida,2.35
710,Mike Santiago vs Dan Ige,Dan-Ige,1.93,Mike-Santiago,2.1
711,Jimmie Rivera vs Marlon Moraes,Marlon-Moraes,2.08,Jimmie-Rivera,1.9
712,Gregor Gillespie vs Vinc Pichel,Gregor-Gillespie,1.27,Vinc-Pichel,5.0
713,Walt Harris vs Daniel Spitz,Walt-Harris,1.51,Daniel-Spitz,3.1
714,Jake Ellenberger vs Ben Saunders,Ben-Saunders,2.5,Jake-Ellenberger,1.66
715,Daniel Teymur vs Julio Arce,Julio-Arce,1.57,Daniel-Teymur,2.7
716,Sam Alvey vs Gian Villante,Sam-Alvey,1.71,Gian-Villante,2.35
717,Sijara Eubanks vs Lauren Murphy,Sijara-Eubanks,1.53,Lauren-Murphy,2.9
718,Nik Lentz vs David Teymur,David-Teymur,1.36,Nik-Lentz,3.65
719,Belal Muhammad vs Chance Rencountre,Belal-Muhammad,1.25,Chance-Rencountre,4.75
720,Gleison Tibau vs Desmond Green,Desmond-Green,1.33,Gleison-Tibau,3.85
721,Johnny Eduardo vs Nathaniel Wood,Nathaniel-Wood,1.43,Johnny-Eduardo,3.25
722,Jose Torres vs Jarred Brooks,Jose-Torres,1.74,Jarred-Brooks,2.3
723,Stephen Thompson vs Darren Till,Darren-Till,2.35,Stephen-Thompson,1.7
724,Craig White vs Neil Magny,Neil-Magny,1.17,Craig-White,6.59
725,Arnold Allen vs Mads Burnell,Arnold-Allen,1.42,Mads-Burnell,3.2
726,Makwan Amirkhani vs Jason Knight,Makwan-Amirkhani,2.55,Jason-Knight,1.61
727,Claudio Silva vs Nordine Taleb,Claudio-Silva,4.75,Nordine-Taleb,1.29
728,Eric Spicely vs Darren Stewart,Darren-Stewart,2.5,Eric-Spicely,1.65
729,Daniel Kelly vs Tom Breese,Tom-Breese,1.29,Daniel-Kelly,4.25
730,Gina Mazany vs Lina Lansberg,Lina-Lansberg,2.45,Gina-Mazany,1.73
731,Carlo Pedersoli Jr. vs Brad Scott,Carlo-Pedersoli-Jr.,1.74,Brad-Scott,2.38
732,Molly McCann vs Gillian Robertson,Gillian-Robertson,2.5,Molly-McCann,1.63
733,Elias Theodorou vs Trevor Smith,Elias-Theodorou,1.28,Trevor-Smith,4.3
734,Amanda Nunes vs Raquel Pennington,Amanda-Nunes,1.13,Raquel-Pennington,7.65
735,Ronaldo Souza vs Kelvin Gastelum,Kelvin-Gastelum,2.05,Ronaldo-Souza,1.91
736,Mackenzie Dern vs Amanda Cooper,Mackenzie-Dern,1.44,Amanda-Cooper,3.3
737,Brian Kelleher vs John Lineker,John-Lineker,1.42,Brian-Kelleher,3.2
738,Vitor Belfort vs Lyoto Machida,Lyoto-Machida,1.48,Vitor-Belfort,3.1
739,Karl Roberson vs Cezar Ferreira,Cezar-Ferreira,1.95,Karl-Roberson,1.95
740,Junior Albini vs Aleksei Oleinik,Aleksei-Oleinik,2.4,Junior-Albini,1.67
741,Davi Ramos vs Nick Hein,Davi-Ramos,1.73,Nick-Hein,2.35
742,Sean Strickland vs Elizeu Zaleski dos Santos,Elizeu-Zaleski-dos-Santos,2.05,Sean-Strickland,2.0
743,Warlley Alves vs Sultan Aliev,Warlley-Alves,1.4,Sultan-Aliev,3.45
744,Thales Leites vs Jack Hermansson,Jack-Hermansson,1.74,Thales-Leites,2.3
745,Alberto Mina vs Ramazan Emeev,Ramazan-Emeev,1.65,Alberto-Mina,2.6
746,Markus Perez vs James Bochnovic,Markus-Perez,1.34,James-Bochnovic,3.65
747,Edson Barboza vs Kevin Lee,Kevin-Lee,1.69,Edson-Barboza,2.55
748,Frankie Edgar vs Cub Swanson,Frankie-Edgar,1.4,Cub-Swanson,3.65
749,Justin Willis vs Chase Sherman,Justin-Willis,1.4,Chase-Sherman,3.8
750,David Branch vs Thiago Santos,David-Branch,2.55,Thiago-Santos,1.65
751,Aljamain Sterling vs Brett Johns,Aljamain-Sterling,1.93,Brett-Johns,2.0
752,Jim Miller vs Daniel Hooker,Daniel-Hooker,1.34,Jim-Miller,3.85
753,Ryan LaFlare vs Alex Garcia,Ryan-LaFlare,1.69,Alex-Garcia,2.35
754,Merab Dvalishvili vs Ricky Simon,Ricky-Simon,1.81,Merab-Dvalishvili,2.3
755,Siyar Bahadurzada vs Luan Chagas,Siyar-Bahadurzada,2.55,Luan-Chagas,1.69
756,Corey Anderson vs Patrick Cummins,Corey-Anderson,1.73,Patrick-Cummins,2.4
757,Tony Martin vs Keita Nakamura,Tony-Martin,1.52,Keita-Nakamura,3.0
758,Justin Gaethje vs Dustin Poirier,Dustin-Poirier,1.87,Justin-Gaethje,2.1
759,Carlos Condit vs Alex Oliveira,Alex-Oliveira,1.58,Carlos-Condit,2.64
760,Israel Adesanya vs Marvin Vettori,Israel-Adesanya,1.45,Marvin-Vettori,3.15
761,Michelle Waterson vs Cortney Casey,Michelle-Waterson,2.55,Cortney-Casey,1.65
762,Antonio Carlos Junior vs Tim Boetsch,Antonio-Carlos-Junior,1.45,Tim-Boetsch,3.3
763,Ricky Rainey vs Muslim Salikhov,Muslim-Salikhov,1.56,Ricky-Rainey,2.8
764,Wilson Reis vs John Moraga,John-Moraga,2.1,Wilson-Reis,1.87
765,Krzysztof Jotko vs Brad Tavares,Brad-Tavares,2.11,Krzysztof-Jotko,1.95
766,Gilbert Burns vs Dan Moret,Gilbert-Burns,1.18,Dan-Moret,6.05
767,Shana Dobson vs Lauren Mueller,Lauren-Mueller,1.74,Shana-Dobson,2.43
768,Dhiego Lima vs Yushin Okami,Yushin-Okami,1.91,Dhiego-Lima,2.13
769,Arjan Bhullar vs Adam Wieczorek,Adam-Wieczorek,4.15,Arjan-Bhullar,1.32
770,Alejandro Perez vs Matthew Lopez,Alejandro-Perez,2.0,Matthew-Lopez,1.95
771,Luke Sanders vs Patrick Williams,Luke-Sanders,1.24,Patrick-Williams,4.75
772,Al Iaquinta vs Khabib Nurmagomedov,Khabib-Nurmagomedov,1.17,Al-Iaquinta,6.8
773,Rose Namajunas vs Joanna Jedrzejczyk,Rose-Namajunas,2.1,Joanna-Jedrzejczyk,1.93
774,Renato Moicano vs Calvin Kattar,Renato-Moicano,2.05,Calvin-Kattar,2.0
775,Joe Lauzon vs Chris Gruetzemacher,Chris-Gruetzemacher,2.38,Joe-Lauzon,1.71
776,Zabit Magomedsharipov vs Kyle Bochniak,Zabit-Magomedsharipov,1.16,Kyle-Bochniak,6.75
777,Karolina Kowalkiewicz vs Felice Herrig,Karolina-Kowalkiewicz,1.54,Felice-Herrig,2.7
778,Evan Dunham vs Olivier Aubin-Mercier,Olivier-Aubin-Mercier,2.25,Evan-Dunham,1.77
779,Bec Rawlings vs Ashlee Evans-Smith,Ashlee-Evans-Smith,1.53,Bec-Rawlings,2.95
780,Devin Clark vs Mike Rodriguez,Devin-Clark,2.05,Mike-Rodriguez,1.91
781,Fabricio Werdum vs Alexander Volkov,Alexander-Volkov,2.9,Fabricio-Werdum,1.56
782,Jimi Manuwa vs Jan Blachowicz,Jan-Blachowicz,4.2,Jimi-Manuwa,1.56
783,Terrion Ware vs Tom Duquesnoy,Tom-Duquesnoy,1.3,Terrion-Ware,4.14
784,Leon Edwards vs Peter Sobotta,Leon-Edwards,1.53,Peter-Sobotta,2.85
785,Charles Byrd vs John Phillips,Charles-Byrd,2.05,John-Phillips,1.93
786,Stevie Ray vs Kajan Johnson,Kajan-Johnson,2.64,Stevie-Ray,1.57
787,Danny Henry vs Hakeem Dawodu,Danny-Henry,3.6,Hakeem-Dawodu,1.4
788,Paul Craig vs Magomed Ankalaev,Paul-Craig,6.0,Magomed-Ankalaev,1.17
789,Danny Roberts vs Oliver Enkamp,Danny-Roberts,1.67,Oliver-Enkamp,2.53
790,Dmitriy Sosnovskiy vs Mark Godbeer,Dmitriy-Sosnovskiy,1.41,Mark-Godbeer,3.35
791,Cristiane Justino vs Yana Kunitskaya,Cristiane-Justino,1.11,Yana-Kunitskaya,9.8
792,Brian Ortega vs Frankie Edgar,Brian-Ortega,2.5,Frankie-Edgar,1.69
793,Sean O'Malley vs Andre Soukhamthath,Sean-O'Malley,2.08,Andre-Soukhamthath,2.37
794,Andrei Arlovski vs Stefan Struve,Andrei-Arlovski,2.7,Stefan-Struve,1.59
795,Cat Zingano vs Ketlen Vieira,Ketlen-Vieira,1.83,Cat-Zingano,2.8
796,Ashley Yoder vs Mackenzie Dern,Mackenzie-Dern,1.25,Ashley-Yoder,5.05
797,Beneil Dariush vs Alexander Hernandez,Alexander-Hernandez,4.75,Beneil-Dariush,1.27
798,John Dodson vs Pedro Munhoz,John-Dodson,1.9,Pedro-Munhoz,3.6
799,C.B. Dollaway vs Hector Lombard,C.B.-Dollaway,2.22,Hector-Lombard,1.95
800,Mike Pyle vs Zak Ottow,Zak-Ottow,1.34,Mike-Pyle,3.85
801,Bryan Caraway vs Cody Stamann,Cody-Stamann,1.91,Bryan-Caraway,2.3
802,Jordan Johnson vs Adam Milstead,Jordan-Johnson,1.43,Adam-Milstead,3.35
803,Jeremy Stephens vs Josh Emmett,Jeremy-Stephens,1.82,Josh-Emmett,2.3
804,Jessica Andrade vs Tecia Torres,Jessica-Andrade,1.44,Tecia-Torres,3.4
805,Ovince St Preux vs Ilir Latifi,Ilir-Latifi,2.55,Ovince-St-Preux,1.8
806,Mike Perry vs Max Griffin,Max-Griffin,4.75,Mike-Perry,1.36
807,Renan Barao vs Brian Kelleher,Brian-Kelleher,2.65,Renan-Barao,1.66
808,Marion Reneau vs Sara McMann,Marion-Reneau,2.75,Sara-McMann,1.57
809,Angela Hill vs Maryna Moroz,Angela-Hill,1.77,Maryna-Moroz,2.35
810,Alan Jouban vs Ben Saunders,Alan-Jouban,1.43,Ben-Saunders,3.35
811,Sam Alvey vs Marcin Prachnio,Sam-Alvey,3.15,Marcin-Prachnio,1.47
812,Rani Yahya vs Russell Doane,Rani-Yahya,1.5,Russell-Doane,3.15
813,Eric Shelton vs Alex Perez,Alex-Perez,2.25,Eric-Shelton,2.1
814,Albert Morales vs Manny Bermudez,Manny-Bermudez,1.65,Albert-Morales,2.58
815,Donald Cerrone vs Yancy Medeiros,Donald-Cerrone,2.09,Yancy-Medeiros,2.25
816,Derrick Lewis vs Marcin Tybura,Derrick-Lewis,2.2,Marcin-Tybura,2.0
817,James Vick vs Francisco Trinaldo,James-Vick,1.5,Francisco-Trinaldo,3.0
818,Curtis Millender vs Thiago Alves,Curtis-Millender,2.45,Thiago-Alves,1.69
819,Brandon Davis vs Steven Peterson,Brandon-Davis,1.69,Steven-Peterson,2.54
820,Sage Northcutt vs Thibault Gouti,Sage-Northcutt,1.35,Thibault-Gouti,4.25
821,Jared Gordon vs Carlos Diego Ferreira,Carlos-Diego-Ferreira,3.2,Jared-Gordon,1.59
822,Brian Camozzi vs Geoff Neal,Geoff-Neal,0.0,Brian-Camozzi,0.0
823,Roberto Sanchez vs Joby Sanchez,Roberto-Sanchez,2.35,Joby-Sanchez,1.75
824,Sarah Moras vs Lucie Pudilova,Lucie-Pudilova,1.74,Sarah-Moras,2.4
825,Alex Morono vs Josh Burkman,Alex-Morono,1.36,Josh-Burkman,4.15
826,Tim Williams vs Oskar Piechota,Oskar-Piechota,1.35,Tim-Williams,3.95
827,Yoel Romero vs Luke Rockhold,Yoel-Romero,2.67,Luke-Rockhold,2.5
828,Mark Hunt vs Curtis Blaydes,Curtis-Blaydes,1.65,Mark-Hunt,2.69
829,Cyril Asker vs Tai Tuivasa,Tai-Tuivasa,1.39,Cyril-Asker,3.75
830,Jake Matthews vs Li Jingliang,Jake-Matthews,2.55,Li-Jingliang,1.71
831,Tyson Pedro vs Saparbek Safarov,Tyson-Pedro,1.37,Saparbek-Safarov,3.55
832,Damien Brown vs Dong Hyun Ma,Dong-Hyun-Ma,1.77,Damien-Brown,2.25
833,Rob Wilkinson vs Israel Adesanya,Israel-Adesanya,1.33,Rob-Wilkinson,3.8
834,Jeremy Kennedy vs Alex Volkanovski,Alex-Volkanovski,1.74,Jeremy-Kennedy,2.9
835,Ben Nguyen vs Jussier Formiga,Jussier-Formiga,1.98,Ben-Nguyen,2.0
836,Ross Pearson vs Mizuto Hirota,Ross-Pearson,1.69,Mizuto-Hirota,2.6
837,Teruto Ishihara vs Jose Quinonez,Jose-Quinonez,1.66,Teruto-Ishihara,2.7
838,Luke Jumeau vs Daichi Abe,Luke-Jumeau,2.45,Daichi-Abe,1.71
839,Lyoto Machida vs Eryk Anders,Lyoto-Machida,3.25,Eryk-Anders,1.44
840,Valentina Shevchenko vs Priscila Cachoeira,Valentina-Shevchenko,1.12,Priscila-Cachoeira,8.95
841,Desmond Green vs Michel Prazeres,Michel-Prazeres,1.87,Desmond-Green,2.3
842,Timothy Johnson vs Marcelo Golm,Timothy-Johnson,2.55,Marcelo-Golm,1.62
843,Douglas Silva de Andrade vs Marlon Vera,Douglas-Silva-de-Andrade,2.75,Marlon-Vera,1.71
844,Thiago Santos vs Anthony Smith,Thiago-Santos,1.4,Anthony-Smith,3.4
845,Sergio Moraes vs Tim Means,Sergio-Moraes,2.95,Tim-Means,1.53
846,Alan Patrick vs Damir Hadzovic,Alan-Patrick,1.46,Damir-Hadzovic,3.15
847,Maia Stevenson vs Polyana Viana,Polyana-Viana,1.3,Maia-Stevenson,4.75
848,Yuri Alcantara vs Joe Soto,Yuri-Alcantara,2.0,Joe-Soto,2.0
849,Deiveson Figueiredo vs Joseph Morales,Deiveson-Figueiredo,2.2,Joseph-Morales,2.2
850,Ronaldo Souza vs Derek Brunson,Ronaldo-Souza,2.2,Derek-Brunson,2.25
851,Andre Fili vs Dennis Bermudez,Andre-Fili,2.55,Dennis-Bermudez,1.67
852,Gregor Gillespie vs Jordan Rinaldi,Gregor-Gillespie,1.36,Jordan-Rinaldi,5.5
853,Drew Dober vs Frank Camacho,Drew-Dober,1.67,Frank-Camacho,2.5
854,Bobby Green vs Erik Koch,Bobby-Green,1.62,Erik-Koch,2.62
855,Godofredo Pepey vs Mirsad Bektic,Mirsad-Bektic,1.21,Godofredo-Pepey,5.65
856,Mara Romero Borella vs Katlyn Chookagian,Katlyn-Chookagian,1.65,Mara-Romero-Borella,2.75
857,Randa Markos vs Juliana Lima,Randa-Markos,1.68,Juliana-Lima,2.4
858,Ji Yeon Kim vs Justine Kish,Ji-Yeon-Kim,3.4,Justine-Kish,1.65
859,Vinc Pichel vs Joaquim Silva,Vinc-Pichel,2.18,Joaquim-Silva,1.91
860,Niko Price vs George Sullivan,Niko-Price,1.39,George-Sullivan,4.14
861,Cory Sandhagen vs Austin Arnett,Cory-Sandhagen,2.2,Austin-Arnett,2.87
862,Stipe Miocic vs Francis Ngannou,Stipe-Miocic,2.65,Francis-Ngannou,1.61
863,Daniel Cormier vs Volkan Oezdemir,Daniel-Cormier,1.33,Volkan-Oezdemir,4.0
864,Calvin Kattar vs Shane Burgos,Calvin-Kattar,2.69,Shane-Burgos,1.67
865,Gian Villante vs Francimar Barroso,Gian-Villante,1.62,Francimar-Barroso,2.55
866,Thomas Almeida vs Rob Font,Rob-Font,2.0,Thomas-Almeida,1.9
867,Kyle Bochniak vs Brandon Davis,Kyle-Bochniak,2.1,Brandon-Davis,1.87
868,Abdul Razak Alhassan vs Sabah Homasi,Abdul-Razak-Alhassan,1.52,Sabah-Homasi,2.8
869,Dustin Ortiz vs Alexandre Pantoja,Dustin-Ortiz,2.45,Alexandre-Pantoja,1.74
870,Dan Ige vs Julio Arce,Julio-Arce,1.71,Dan-Ige,2.33
871,Enrique Barzola vs Matt Bessette,Enrique-Barzola,1.48,Matt-Bessette,3.01
872,Gleison Tibau vs Islam Makhachev,Islam-Makhachev,1.48,Gleison-Tibau,3.16
873,Doo Ho Choi vs Jeremy Stephens,Jeremy-Stephens,2.5,Doo-Ho-Choi,1.67
874,Michael Johnson vs Darren Elkins,Darren-Elkins,2.75,Michael-Johnson,1.65
875,Kamaru Usman vs Emil Meek,Kamaru-Usman,1.17,Emil-Meek,6.7
876,James Krause vs Alex White,James-Krause,1.62,Alex-White,2.61
877,Paige VanZant vs Jessica-Rose Clark,Jessica-Rose-Clark,2.03,Paige-VanZant,2.0
878,Kalindra Faria vs Jessica Eye,Jessica-Eye,1.84,Kalindra-Faria,2.18
879,Irene Aldana vs Talita Bernardo,Irene-Aldana,1.76,Talita-Bernardo,3.0
880,Marco Polo Reyes vs Matt Frevola,Marco-Polo-Reyes,2.9,Matt-Frevola,1.5
881,Kyung Ho Kang vs Guido Cannetti,Kyung-Ho-Kang,1.36,Guido-Cannetti,3.85
882,Danielle Taylor vs J.J. Aldrich,J.J.-Aldrich,1.91,Danielle-Taylor,2.1
883,Mike Santiago vs Mads Burnell,Mads-Burnell,2.75,Mike-Santiago,1.56
884,Cristiane Justino vs Holly Holm,Cristiane-Justino,1.43,Holly-Holm,3.75
885,Edson Barboza vs Khabib Nurmagomedov,Khabib-Nurmagomedov,1.35,Edson-Barboza,4.4
886,Marc Diakiese vs Daniel Hooker,Daniel-Hooker,2.69,Marc-Diakiese,1.57
887,Cynthia Calvillo vs Carla Esparza,Carla-Esparza,3.45,Cynthia-Calvillo,1.5
888,Carlos Condit vs Neil Magny,Neil-Magny,2.55,Carlos-Condit,1.78
889,Michal Oleksiejczuk vs Khalil Rountree,Michal-Oleksiejczuk,4.2,Khalil-Rountree,1.33
890,Myles Jury vs Rick Glenn,Myles-Jury,1.5,Rick-Glenn,3.1
891,Louis Smolka vs Matheus Nicolau,Matheus-Nicolau,1.48,Louis-Smolka,3.55
892,Tim Elliott vs Mark Delarosa,Tim-Elliott,1.54,Mark-Delarosa,2.8
893,Robbie Lawler vs Rafael dos Anjos,Rafael-dos-Anjos,1.91,Robbie-Lawler,2.1
894,Josh Emmett vs Ricardo Lamas,Josh-Emmett,3.45,Ricardo-Lamas,1.4
895,Santiago Ponzinibbio vs Mike Perry,Santiago-Ponzinibbio,1.69,Mike-Perry,2.6
896,Glover Teixeira vs Misha Cirkunov,Glover-Teixeira,2.55,Misha-Cirkunov,1.62
897,Jan Blachowicz vs Jared Cannonier,Jan-Blachowicz,2.69,Jared-Cannonier,1.56
898,Darren Stewart vs Julian Marquez,Julian-Marquez,1.38,Darren-Stewart,4.0
899,Chad Laprise vs Galore Bofando,Chad-Laprise,1.74,Galore-Bofando,2.35
900,Nordine Taleb vs Danny Roberts,Nordine-Taleb,1.74,Danny-Roberts,2.45
901,Abel Trujillo vs John Makdessi,John-Makdessi,2.7,Abel-Trujillo,1.74
902,Alessio Di Chirico vs Oluwale Bamgbose,Alessio-Di-Chirico,1.87,Oluwale-Bamgbose,2.21
903,Erick Silva vs Jordan Mein,Jordan-Mein,1.77,Erick-Silva,2.45
904,Cub Swanson vs Brian Ortega,Brian-Ortega,1.95,Cub-Swanson,2.05
905,Jason Knight vs Gabriel Benitez,Gabriel-Benitez,3.75,Jason-Knight,1.34
906,Aljamain Sterling vs Marlon Moraes,Marlon-Moraes,1.71,Aljamain-Sterling,2.36
907,Scott Holtzman vs Darrell Horcher,Scott-Holtzman,1.86,Darrell-Horcher,2.31
908,Eryk Anders vs Markus Perez,Eryk-Anders,1.36,Markus-Perez,5.0
909,Benito Lopez vs Albert Morales,Benito-Lopez,1.83,Albert-Morales,2.1
910,Liz Carmouche vs Alexis Davis,Alexis-Davis,2.5,Liz-Carmouche,1.87
911,Luke Sanders vs Andre Soukhamthath,Andre-Soukhamthath,3.95,Luke-Sanders,1.4
912,Alex Perez vs Carls John de Tomas,Alex-Perez,1.29,Carls-John-de-Tomas,4.48
