,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,W_L_FIGHTERS
4689,Rampage Jackson Marvin Eastman,1  0,45 of 74  15 of 54,60%  27%,55 of 84  25 of 64,0 of 1  0 of 1,0%  0%,0  0,0  0,0  0,45 of 74  15 of 54,31 of 59  9 of 47,12 of 13  5 of 5,2 of 2  1 of 2,13 of 34  5 of 41,31 of 39  10 of 13,1 of 1  0 of 0,Rampage Jackson  Marvin Eastman
4690,Patrick Cote Scott Smith,0  0,50 of 86  34 of 90,58%  37%,58 of 94  35 of 91,1 of 3  0 of 3,33%  0%,0  0,0  0,0  0,50 of 86  34 of 90,24 of 56  28 of 76,10 of 12  2 of 5,16 of 18  4 of 9,28 of 47  19 of 58,19 of 32  15 of 32,3 of 7  0 of 0,Patrick Cote  Scott Smith
4691,Terry Martin  Jorge Rivera,1  0,4 of 4  1 of 2,100%  50%,4 of 4  1 of 2,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,4 of 4  1 of 2,4 of 4  0 of 0,0 of 0  0 of 1,0 of 0  1 of 1,1 of 1  1 of 2,0 of 0  0 of 0,3 of 3  0 of 0,Terry Martin  Jorge Rivera
4692,Frankie Edgar Tyson Griffin,0  0,55 of 100  38 of 115,55%  33%,92 of 141  42 of 119,8 of 15  3 of 6,53%  50%,0  4,6  0,1  0,55 of 100  38 of 115,43 of 86  18 of 91,11 of 12  10 of 13,1 of 2  10 of 11,13 of 46  33 of 109,24 of 31  4 of 5,18 of 23  1 of 1,Frankie Edgar  Tyson Griffin
4693,Lyoto Machida Sam Hoger,1  0,62 of 95  11 of 47,65%  23%,84 of 117  40 of 78,4 of 4  1 of 7,100%  14%,0  0,13  1,1  0,62 of 95  11 of 47,42 of 69  6 of 37,6 of 8  3 of 6,14 of 18  2 of 4,35 of 53  11 of 41,5 of 9  0 of 5,22 of 33  0 of 1,Lyoto Machida  Sam Hoger
4694,Dustin Hazelett  Diego Saraiva,0  0,44 of 105  14 of 32,41%  43%,83 of 147  59 of 78,1 of 1  4 of 8,100%  50%,1  0,0  5,0  0,44 of 105  14 of 32,39 of 96  12 of 29,2 of 2  1 of 1,3 of 7  1 of 2,18 of 47  10 of 26,5 of 7  0 of 0,21 of 51  4 of 6,Dustin Hazelett  Diego Saraiva
4695,Rashad Evans Sean Salmon,1  0,13 of 35  10 of 28,37%  35%,13 of 35  15 of 33,0 of 0  2 of 3,0%  66%,0  0,0  2,0  0,13 of 35  10 of 28,10 of 30  10 of 27,3 of 5  0 of 1,0 of 0  0 of 0,6 of 26  2 of 16,6 of 8  2 of 5,1 of 1  6 of 7,Rashad Evans  Sean Salmon
4696,Jake O'Brien  Heath Herring,0  1,13 of 41  11 of 61,31%  18%,46 of 76  32 of 83,6 of 8  1 of 1,75%  100%,1  1,17  0,2  0,13 of 41  11 of 61,12 of 40  9 of 59,1 of 1  2 of 2,0 of 0  0 of 0,2 of 20  4 of 49,0 of 0  0 of 3,11 of 21  7 of 9,Jake O'Brien  Heath Herring
4697,Hermes Franca  Spencer Fisher,0  0,25 of 80  24 of 61,31%  39%,57 of 118  52 of 90,2 of 5  0 of 0,40%  0%,2  0,3  0,1  0,25 of 80  24 of 61,23 of 76  10 of 43,2 of 4  8 of 11,0 of 0  6 of 7,12 of 43  22 of 53,5 of 10  1 of 7,8 of 27  1 of 1,Hermes Franca  Spencer Fisher
4698,Nate Marquardt Dean Lister,4  0,53 of 98  18 of 43,54%  41%,66 of 112  27 of 55,2 of 2  0 of 11,100%  0%,0  0,4  0,0  0,53 of 98  18 of 43,42 of 84  9 of 32,5 of 8  0 of 0,6 of 6  9 of 11,24 of 59  17 of 40,12 of 14  0 of 2,17 of 25  1 of 1,Nate Marquardt  Dean Lister
4699,Joshua Burkman Chad Reiner,0  0,27 of 49  6 of 30,55%  20%,69 of 94  41 of 68,9 of 12  1 of 3,75%  33%,0  2,4  1,1  0,27 of 49  6 of 30,16 of 37  3 of 22,3 of 3  2 of 4,8 of 9  1 of 4,4 of 15  3 of 24,9 of 10  3 of 6,14 of 24  0 of 0,Joshua Burkman  Chad Reiner
4700,Ed Herman Chris Price,0  0,5 of 9  5 of 5,55%  100%,13 of 22  8 of 9,1 of 2  0 of 0,50%  0%,1  1,1  0,0  0,5 of 9  5 of 5,5 of 9  1 of 1,0 of 0  4 of 4,0 of 0  0 of 0,0 of 1  1 of 1,1 of 1  4 of 4,4 of 7  0 of 0,Ed Herman  Chris Price
4701,Din Thomas  Clay Guida,0  0,33 of 113  33 of 105,29%  31%,51 of 131  93 of 170,0 of 0  5 of 16,0%  31%,1  0,0  2,0  0,33 of 113  33 of 105,28 of 108  29 of 99,1 of 1  1 of 3,4 of 4  3 of 3,27 of 103  13 of 69,4 of 7  1 of 3,2 of 3  19 of 33,Din Thomas  Clay Guida
4702,Rich Clementi  Ross Pointon,0  0,23 of 63  23 of 104,36%  22%,26 of 66  23 of 104,1 of 1  0 of 0,100%  0%,1  0,4  0,0  0,23 of 63  23 of 104,8 of 43  6 of 86,5 of 7  2 of 3,10 of 13  15 of 15,23 of 63  21 of 100,0 of 0  2 of 4,0 of 0  0 of 0,Rich Clementi  Ross Pointon
4703,Chuck Liddell  Tito Ortiz,1  0,49 of 132  21 of 76,37%  27%,51 of 138  21 of 76,0 of 0  1 of 8,0%  12%,0  0,0  0,0  0,49 of 132  21 of 76,40 of 123  7 of 55,5 of 5  5 of 6,4 of 4  9 of 15,33 of 86  19 of 74,1 of 2  2 of 2,15 of 44  0 of 0,Chuck Liddell  Tito Ortiz
4704,Keith Jardine  Forrest Griffin,0  0,36 of 63  17 of 56,57%  30%,36 of 63  17 of 56,0 of 0  0 of 1,0%  0%,0  0,0  0,0  0,36 of 63  17 of 56,28 of 55  8 of 44,2 of 2  0 of 0,6 of 6  9 of 12,24 of 51  16 of 55,4 of 4  1 of 1,8 of 8  0 of 0,Keith Jardine  Forrest Griffin
4705,Jason MacDonald Chris Leben,0  0,9 of 27  15 of 34,33%  44%,35 of 53  52 of 71,1 of 5  2 of 2,20%  100%,1  0,1  2,0  0,9 of 27  15 of 34,2 of 14  13 of 30,4 of 6  2 of 2,3 of 7  0 of 2,4 of 17  3 of 11,5 of 10  10 of 18,0 of 0  2 of 5,Jason MacDonald  Chris Leben
4706,Andrei Arlovski Marcio Cruz,0  0,7 of 11  0 of 2,63%  0%,32 of 37  0 of 2,0 of 0  0 of 5,0%  0%,1  2,1  0,0  0,7 of 11  0 of 2,5 of 9  0 of 2,0 of 0  0 of 0,2 of 2  0 of 0,2 of 6  0 of 2,0 of 0  0 of 0,5 of 5  0 of 0,Andrei Arlovski  Marcio Cruz
4707,Michael Bisping Eric Schafer,0  0,19 of 33  3 of 6,57%  50%,21 of 35  10 of 13,0 of 1  3 of 7,0%  42%,0  2,0  3,1  0,19 of 33  3 of 6,15 of 28  1 of 3,3 of 4  2 of 3,1 of 1  0 of 0,7 of 15  0 of 1,2 of 2  2 of 4,10 of 16  1 of 1,Michael Bisping  Eric Schafer
4708,Thiago Alves Tony DeSouza,2  0,26 of 49  1 of 10,53%  10%,41 of 65  2 of 11,0 of 0  0 of 8,0%  0%,1  0,3  0,0  0,26 of 49  1 of 10,26 of 48  0 of 9,0 of 0  1 of 1,0 of 1  0 of 0,3 of 8  0 of 9,0 of 0  1 of 1,23 of 41  0 of 0,Thiago Alves  Tony DeSouza
4709,Gabriel Gonzaga Carmelo Marrero,0  0,4 of 10  1 of 2,40%  50%,23 of 33  6 of 7,1 of 1  0 of 1,100%  0%,3  0,4  0,0  0,4 of 10  1 of 2,4 of 10  1 of 2,0 of 0  0 of 0,0 of 0  0 of 0,1 of 3  0 of 1,0 of 0  0 of 0,3 of 7  1 of 1,Gabriel Gonzaga  Carmelo Marrero
4710,Yushin Okami Rory Singer,0  0,35 of 83  28 of 93,42%  30%,74 of 125  35 of 101,3 of 4  0 of 1,75%  0%,0  0,8  0,0  0,35 of 83  28 of 93,24 of 70  5 of 68,5 of 5  5 of 5,6 of 8  18 of 20,10 of 52  10 of 72,7 of 7  18 of 21,18 of 24  0 of 0,Yushin Okami  Rory Singer
4711,Christian Wellisch  Anthony Perosh,1  1,61 of 206  48 of 107,29%  44%,98 of 249  76 of 137,1 of 1  3 of 11,100%  27%,0  0,1  0,1  0,61 of 206  48 of 107,56 of 200  40 of 98,1 of 2  0 of 1,4 of 4  8 of 8,37 of 157  25 of 71,16 of 28  16 of 27,8 of 21  7 of 9,Christian Wellisch  Anthony Perosh
4712,Diego Sanchez Joe Riggs,2  0,6 of 10  3 of 6,60%  50%,6 of 10  3 of 6,0 of 1  0 of 0,0%  0%,0  0,0  0,0  0,6 of 10  3 of 6,5 of 9  2 of 4,1 of 1  1 of 2,0 of 0  0 of 0,3 of 7  3 of 6,0 of 0  0 of 0,3 of 3  0 of 0,Diego Sanchez  Joe Riggs
4713,Josh Koscheck Jeff Joslin,0  0,14 of 44  18 of 54,31%  33%,48 of 80  83 of 119,6 of 12  0 of 0,50%  0%,1  1,2  0,0  0,14 of 44  18 of 54,12 of 42  8 of 43,1 of 1  1 of 2,1 of 1  9 of 9,3 of 20  18 of 54,0 of 0  0 of 0,11 of 24  0 of 0,Josh Koscheck  Jeff Joslin
4714,Karo Parisyan  Drew Fickett,0  0,56 of 147  47 of 128,38%  36%,101 of 196  63 of 145,3 of 4  1 of 7,75%  14%,0  0,5  0,0  0,56 of 147  47 of 128,55 of 146  21 of 92,1 of 1  11 of 13,0 of 0  15 of 23,33 of 96  27 of 91,10 of 27  9 of 17,13 of 24  11 of 20,Karo Parisyan  Drew Fickett
4715,Marcus Davis  Shonie Carter,1  0,54 of 106  27 of 86,50%  31%,69 of 122  39 of 102,1 of 2  0 of 0,50%  0%,2  0,2  0,0  1,54 of 106  27 of 86,38 of 86  9 of 63,7 of 10  3 of 6,9 of 10  15 of 17,44 of 93  22 of 72,9 of 12  2 of 5,1 of 1  3 of 9,Marcus Davis  Shonie Carter
4716,David Heath  Victor Valimaki,0  0,44 of 132  66 of 209,33%  31%,48 of 136  83 of 226,0 of 0  1 of 3,0%  33%,0  0,0  1,0  0,44 of 132  66 of 209,24 of 103  46 of 181,9 of 15  8 of 13,11 of 14  12 of 15,36 of 118  53 of 183,7 of 13  8 of 17,1 of 1  5 of 9,David Heath  Victor Valimaki
4717,Alan Belcher Jorge Santiago,1  0,29 of 76  14 of 59,38%  23%,71 of 122  24 of 69,1 of 2  0 of 3,50%  0%,2  3,0  2,0  1,29 of 76  14 of 59,11 of 54  11 of 53,1 of 2  1 of 3,17 of 20  2 of 3,14 of 50  12 of 54,5 of 5  1 of 2,10 of 21  1 of 3,Alan Belcher  Jorge Santiago
