,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,W_L_FIGHTERS
370,Magomed Mustafaev Rafael Fiziev,1  0,10 of 12  1 of 1,83%  100%,11 of 13  1 of 1,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,10 of 12  1 of 1,7 of 9  0 of 0,1 of 1  0 of 0,2 of 2  1 of 1,4 of 6  1 of 1,0 of 0  0 of 0,6 of 6  0 of 0,Magomed Mustafaev  Rafael Fiziev
371,Max Holloway Dustin Poirier,0  0,181 of 446  178 of 381,40%  46%,208 of 473  180 of 383,0 of 0  1 of 8,0%  12%,1  0,0  0,0  0,181 of 446  178 of 381,141 of 394  153 of 349,39 of 50  18 of 24,1 of 2  7 of 8,167 of 425  165 of 365,14 of 21  13 of 16,0 of 0  0 of 0,Dustin Poirier  Max Holloway
372,Kelvin Gastelum Israel Adesanya,0  4,91 of 220  109 of 237,41%  45%,92 of 222  119 of 247,1 of 9  0 of 0,11%  0%,0  2,0  0,1  0,91 of 220  109 of 237,68 of 191  70 of 186,12 of 16  16 of 23,11 of 13  23 of 28,91 of 219  100 of 225,0 of 1  1 of 1,0 of 0  8 of 11,Israel Adesanya  Kelvin Gastelum
373,Eryk Anders Khalil Rountree Jr.,0  4,16 of 69  79 of 157,23%  50%,19 of 72  83 of 162,0 of 1  0 of 0,0%  0%,0  0,0  0,0  0,16 of 69  79 of 157,12 of 62  26 of 89,4 of 7  15 of 23,0 of 0  38 of 45,16 of 68  75 of 145,0 of 1  0 of 0,0 of 0  4 of 12,Khalil Rountree Jr.  Eryk Anders
374,Alan Jouban Dwight Grant,0  0,24 of 100  38 of 122,24%  31%,25 of 101  39 of 123,1 of 2  0 of 0,50%  0%,0  0,1  0,0  0,24 of 100  38 of 122,9 of 77  13 of 88,3 of 6  4 of 8,12 of 17  21 of 26,19 of 89  37 of 121,1 of 4  1 of 1,4 of 7  0 of 0,Dwight Grant  Alan Jouban
375,Ovince Saint Preux Nikita Krylov,0  0,4 of 8  27 of 44,50%  61%,8 of 12  60 of 79,3 of 8  1 of 2,37%  50%,0  2,2  2,1  0,4 of 8  27 of 44,3 of 6  15 of 27,1 of 2  7 of 11,0 of 0  5 of 6,2 of 5  17 of 32,1 of 1  6 of 8,1 of 2  4 of 4,Nikita Krylov  Ovince Saint Preux
376,Jalin Turner Matt Frevola,0  0,35 of 116  31 of 77,30%  40%,42 of 124  49 of 95,0 of 0  4 of 13,0%  30%,1  2,0  7,1  2,35 of 116  31 of 77,27 of 101  18 of 50,8 of 15  5 of 18,0 of 0  8 of 9,31 of 107  24 of 67,1 of 5  0 of 2,3 of 4  7 of 8,Matt Frevola  Jalin Turner
377,Wilson Reis Alexandre Pantoja,0  1,1 of 6  23 of 33,16%  69%,2 of 7  26 of 36,1 of 4  0 of 0,25%  0%,0  0,0  0,0  0,1 of 6  23 of 33,0 of 4  19 of 28,0 of 1  4 of 5,1 of 1  0 of 0,1 of 6  7 of 12,0 of 0  0 of 0,0 of 0  16 of 21,Alexandre Pantoja  Wilson Reis
378,Max Griffin Zelim Imadaev,0  0,47 of 92  64 of 150,51%  42%,72 of 121  78 of 165,6 of 11  0 of 1,54%  0%,3  0,2  0,0  0,47 of 92  64 of 150,23 of 65  46 of 120,16 of 19  12 of 22,8 of 8  6 of 8,34 of 71  47 of 126,11 of 18  17 of 24,2 of 3  0 of 0,Max Griffin  Zelim Imadaev
379,Boston Salmon Khalid Taha,0  1,0 of 0  5 of 5,0%  100%,0 of 0  5 of 5,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,0 of 0  5 of 5,0 of 0  5 of 5,0 of 0  0 of 0,0 of 0  0 of 0,0 of 0  2 of 2,0 of 0  0 of 0,0 of 0  3 of 3,Khalid Taha  Boston Salmon
380,Curtis Millender Belal Muhammad,0  0,48 of 96  47 of 107,50%  43%,50 of 98  126 of 217,0 of 0  2 of 6,0%  33%,0  0,1  6,0  0,48 of 96  47 of 107,19 of 61  39 of 96,7 of 12  4 of 7,22 of 23  4 of 4,46 of 94  33 of 78,2 of 2  0 of 1,0 of 0  14 of 28,Belal Muhammad  Curtis Millender
381,Montel Jackson Andre Soukhamthath,0  0,64 of 107  30 of 62,59%  48%,160 of 218  41 of 73,3 of 4  1 of 1,75%  100%,0  0,3  0,1  0,64 of 107  30 of 62,38 of 78  6 of 33,17 of 19  7 of 10,9 of 10  17 of 19,38 of 78  26 of 58,11 of 14  4 of 4,15 of 15  0 of 0,Montel Jackson  Andre Soukhamthath
382,Lauren Mueller Poliana Botelho,0  0,47 of 116  47 of 84,40%  55%,105 of 182  152 of 202,0 of 0  2 of 2,0%  100%,0  0,1  2,0  0,47 of 116  47 of 84,28 of 87  19 of 45,9 of 18  14 of 22,10 of 11  14 of 17,42 of 109  33 of 70,4 of 5  8 of 8,1 of 2  6 of 6,Poliana Botelho  Lauren Mueller
383,Brandon Davis Randy Costa,0  0,35 of 88  46 of 101,39%  45%,40 of 93  49 of 104,0 of 0  0 of 0,0%  0%,1  0,0  0,0  0,35 of 88  46 of 101,20 of 67  37 of 89,6 of 11  8 of 11,9 of 10  1 of 1,30 of 82  44 of 98,5 of 6  2 of 3,0 of 0  0 of 0,Brandon Davis  Randy Costa
384,Edson Barboza Justin Gaethje,0  1,13 of 32  20 of 35,40%  57%,13 of 32  22 of 37,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,13 of 32  20 of 35,6 of 21  13 of 28,3 of 5  2 of 2,4 of 6  5 of 5,11 of 30  12 of 22,2 of 2  8 of 13,0 of 0  0 of 0,Justin Gaethje  Edson Barboza
385,David Branch Jack Hermansson,0  0,1 of 6  3 of 10,16%  30%,1 of 6  3 of 10,0 of 0  1 of 2,0%  50%,0  1,0  1,0  0,1 of 6  3 of 10,1 of 6  1 of 6,0 of 0  0 of 2,0 of 0  2 of 2,1 of 6  3 of 10,0 of 0  0 of 0,0 of 0  0 of 0,Jack Hermansson  David Branch
386,Josh Emmett Michael Johnson,1  0,22 of 87  24 of 128,25%  18%,22 of 87  24 of 128,0 of 3  0 of 0,0%  0%,0  0,0  0,0  0,22 of 87  24 of 128,7 of 65  13 of 110,7 of 14  9 of 14,8 of 8  2 of 4,22 of 87  24 of 128,0 of 0  0 of 0,0 of 0  0 of 0,Josh Emmett  Michael Johnson
387,Karolina Kowalkiewicz Michelle Waterson,0  0,57 of 118  64 of 149,48%  42%,77 of 141  82 of 167,0 of 0  2 of 4,0%  50%,0  1,0  1,0  0,57 of 118  64 of 149,16 of 61  25 of 93,20 of 27  17 of 26,21 of 30  22 of 30,42 of 103  41 of 121,13 of 13  17 of 21,2 of 2  6 of 7,Michelle Waterson  Karolina Kowalkiewicz
388,Kennedy Nzechukwu Paul Craig,0  0,40 of 72  25 of 77,55%  32%,47 of 80  31 of 83,0 of 0  1 of 16,0%  6%,0  2,1  0,0  1,40 of 72  25 of 77,33 of 64  6 of 51,7 of 8  13 of 20,0 of 0  6 of 6,11 of 36  21 of 71,7 of 7  4 of 6,22 of 29  0 of 0,Paul Craig  Kennedy Nzechukwu
389,Sodiq Yusuff Sheymon Moraes,1  0,73 of 148  54 of 118,49%  45%,99 of 177  58 of 122,0 of 3  0 of 0,0%  0%,0  0,1  0,0  0,73 of 148  54 of 118,32 of 88  21 of 70,25 of 35  26 of 40,16 of 25  7 of 8,49 of 115  42 of 102,15 of 21  12 of 16,9 of 12  0 of 0,Sodiq Yusuff  Sheymon Moraes
390,Marina Rodriguez Jessica Aguilar,1  0,118 of 202  50 of 114,58%  43%,129 of 213  63 of 127,0 of 1  0 of 1,0%  0%,0  1,0  1,1  0,118 of 202  50 of 114,58 of 123  23 of 76,38 of 53  27 of 38,22 of 26  0 of 0,67 of 143  22 of 75,39 of 47  27 of 38,12 of 12  1 of 1,Marina Rodriguez  Jessica Aguilar
391,Ross Pearson Desmond Green,0  1,12 of 24  25 of 32,50%  78%,12 of 24  25 of 32,0 of 1  1 of 2,0%  50%,0  0,0  0,0  0,12 of 24  25 of 32,1 of 6  17 of 23,4 of 11  6 of 6,7 of 7  2 of 3,12 of 24  10 of 16,0 of 0  1 of 1,0 of 0  14 of 15,Desmond Green  Ross Pearson
392,Enrique Barzola Kevin Aguilar,0  0,52 of 126  58 of 243,41%  23%,53 of 127  58 of 243,0 of 8  0 of 0,0%  0%,0  0,0  0,0  0,52 of 126  58 of 243,28 of 96  36 of 208,9 of 13  20 of 31,15 of 17  2 of 4,50 of 121  58 of 240,2 of 5  0 of 3,0 of 0  0 of 0,Kevin Aguilar  Enrique Barzola
393,Kevin Holland Gerald Meerschaert,0  0,27 of 43  10 of 13,62%  76%,76 of 98  44 of 56,1 of 2  6 of 11,50%  54%,2  4,4  9,2  2,27 of 43  10 of 13,19 of 35  4 of 6,4 of 4  3 of 4,4 of 4  3 of 3,10 of 19  4 of 4,0 of 1  4 of 7,17 of 23  2 of 2,Kevin Holland  Gerald Meerschaert
394,Ray Borg Casey Kenney,0  0,17 of 35  32 of 52,48%  61%,22 of 40  46 of 68,7 of 10  2 of 3,70%  66%,0  0,3  4,1  3,17 of 35  32 of 52,8 of 23  9 of 27,8 of 11  19 of 20,1 of 1  4 of 5,2 of 14  9 of 23,13 of 19  19 of 25,2 of 2  4 of 4,Casey Kenney  Ray Borg
395,Sabina Mazo Maryna Moroz,0  0,64 of 144  56 of 190,44%  29%,73 of 157  74 of 208,0 of 0  1 of 9,0%  11%,0  0,0  0,0  0,64 of 144  56 of 190,21 of 87  27 of 150,19 of 25  18 of 28,24 of 32  11 of 12,61 of 138  47 of 174,2 of 5  4 of 9,1 of 1  5 of 7,Maryna Moroz  Sabina Mazo
396,Alex Perez Mark De La Rosa,0  0,60 of 110  26 of 84,54%  30%,150 of 220  74 of 140,2 of 4  0 of 0,50%  0%,0  0,1  0,0  0,60 of 110  26 of 84,37 of 74  19 of 73,2 of 5  2 of 2,21 of 31  5 of 9,26 of 64  15 of 70,1 of 2  2 of 2,33 of 44  9 of 12,Alex Perez  Mark De La Rosa
397,Stephen Thompson Anthony Pettis,0  1,47 of 107  32 of 55,43%  58%,47 of 107  32 of 55,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,47 of 107  32 of 55,28 of 70  5 of 21,9 of 20  7 of 12,10 of 17  20 of 22,47 of 107  30 of 53,0 of 0  0 of 0,0 of 0  2 of 2,Anthony Pettis  Stephen Thompson
398,Curtis Blaydes Justin Willis,0  0,22 of 33  2 of 9,66%  22%,72 of 90  9 of 16,7 of 11  0 of 0,63%  0%,0  0,4  0,0  0,22 of 33  2 of 9,10 of 19  2 of 9,1 of 3  0 of 0,11 of 11  0 of 0,8 of 11  2 of 9,1 of 2  0 of 0,13 of 20  0 of 0,Curtis Blaydes  Justin Willis
399,John Makdessi Jesus Pinedo,0  0,73 of 137  37 of 113,53%  32%,75 of 139  37 of 114,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,73 of 137  37 of 113,25 of 60  18 of 74,8 of 21  10 of 18,40 of 56  9 of 21,73 of 137  37 of 113,0 of 0  0 of 0,0 of 0  0 of 0,John Makdessi  Jesus Pinedo
400,Jussier Formiga Deiveson Figueiredo,0  0,26 of 51  14 of 50,50%  28%,51 of 78  41 of 80,3 of 5  0 of 2,60%  0%,0  0,7  0,0  0,26 of 51  14 of 50,19 of 43  6 of 36,5 of 6  7 of 11,2 of 2  1 of 3,15 of 35  9 of 45,2 of 2  3 of 3,9 of 14  2 of 2,Jussier Formiga  Deiveson Figueiredo
401,Luis Pena Steven Peterson,0  0,52 of 112  34 of 85,46%  40%,66 of 127  57 of 109,1 of 3  4 of 8,33%  50%,0  1,1  2,2  0,52 of 112  34 of 85,43 of 102  15 of 63,9 of 10  9 of 12,0 of 0  10 of 10,36 of 83  27 of 75,12 of 24  7 of 10,4 of 5  0 of 0,Luis Pena  Steven Peterson
402,Maycee Barber JJ Aldrich,0  0,55 of 110  25 of 85,50%  29%,59 of 115  28 of 88,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,55 of 110  25 of 85,34 of 83  23 of 82,6 of 8  1 of 2,15 of 19  1 of 1,39 of 87  19 of 74,16 of 23  5 of 9,0 of 0  1 of 2,Maycee Barber  JJ Aldrich
403,Bryce Mitchell Bobby Moffett,0  0,17 of 44  9 of 42,38%  21%,28 of 56  25 of 63,0 of 3  5 of 8,0%  62%,2  2,1  4,1  1,17 of 44  9 of 42,7 of 29  5 of 37,7 of 11  1 of 2,3 of 4  3 of 3,16 of 41  8 of 41,1 of 3  1 of 1,0 of 0  0 of 0,Bryce Mitchell  Bobby Moffett
404,Marlon Vera Frankie Saenz,1  0,12 of 16  4 of 10,75%  40%,13 of 17  4 of 10,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,12 of 16  4 of 10,7 of 9  1 of 5,0 of 1  1 of 3,5 of 6  2 of 2,7 of 11  4 of 10,0 of 0  0 of 0,5 of 5  0 of 0,Marlon Vera  Frankie Saenz
405,Alexis Davis Jennifer Maia,0  0,72 of 122  60 of 128,59%  46%,107 of 174  70 of 142,1 of 2  0 of 0,50%  0%,0  0,2  0,0  0,72 of 122  60 of 128,16 of 54  44 of 112,28 of 37  12 of 12,28 of 31  4 of 4,50 of 94  49 of 113,21 of 27  11 of 15,1 of 1  0 of 0,Jennifer Maia  Alexis Davis
406,Randa Markos Angela Hill,0  0,13 of 26  2 of 7,50%  28%,20 of 33  2 of 7,1 of 1  0 of 0,100%  0%,1  0,2  0,0  0,13 of 26  2 of 7,9 of 21  1 of 6,4 of 4  1 of 1,0 of 1  0 of 0,0 of 13  2 of 5,5 of 5  0 of 2,8 of 8  0 of 0,Randa Markos  Angela Hill
407,Ryan MacDonald Chris Gutierrez,0  0,15 of 75  69 of 121,20%  57%,15 of 75  70 of 123,0 of 3  0 of 0,0%  0%,0  0,0  0,0  0,15 of 75  69 of 121,4 of 56  15 of 51,1 of 6  21 of 29,10 of 13  33 of 41,15 of 74  69 of 119,0 of 1  0 of 2,0 of 0  0 of 0,Chris Gutierrez  Ryan MacDonald
408,Eric Shelton Jordan Espinosa,0  0,25 of 81  47 of 105,30%  44%,25 of 81  47 of 105,0 of 0  1 of 3,0%  33%,0  0,0  0,0  0,25 of 81  47 of 105,18 of 69  19 of 63,1 of 3  10 of 14,6 of 9  18 of 28,25 of 79  46 of 102,0 of 2  1 of 3,0 of 0  0 of 0,Jordan Espinosa  Eric Shelton
409,Darren Till Jorge Masvidal,1  1,21 of 43  35 of 72,48%  48%,22 of 44  41 of 79,1 of 1  1 of 2,100%  50%,0  0,0  0,0  0,21 of 43  35 of 72,17 of 39  18 of 51,3 of 3  10 of 12,1 of 1  7 of 9,20 of 39  31 of 65,1 of 2  3 of 6,0 of 2  1 of 1,Jorge Masvidal  Darren Till
410,Leon Edwards Gunnar Nelson,1  0,31 of 49  9 of 18,63%  50%,47 of 69  27 of 38,2 of 3  3 of 4,66%  75%,0  0,1  1,0  0,31 of 49  9 of 18,17 of 30  3 of 10,13 of 17  4 of 5,1 of 2  2 of 3,4 of 16  4 of 12,16 of 19  5 of 6,11 of 14  0 of 0,Leon Edwards  Gunnar Nelson
411,Volkan Oezdemir Dominick Reyes,0  0,35 of 99  44 of 121,35%  36%,48 of 112  47 of 124,1 of 7  0 of 2,14%  0%,0  0,0  0,0  0,35 of 99  44 of 121,24 of 81  16 of 81,4 of 6  16 of 26,7 of 12  12 of 14,30 of 91  41 of 117,5 of 7  3 of 4,0 of 1  0 of 0,Dominick Reyes  Volkan Oezdemir
412,Nathaniel Wood Jose Quinonez,0  0,30 of 81  34 of 60,37%  56%,39 of 91  35 of 61,2 of 3  1 of 4,66%  25%,2  0,3  1,1  0,30 of 81  34 of 60,14 of 53  7 of 28,4 of 9  5 of 6,12 of 19  22 of 26,27 of 76  33 of 59,3 of 5  1 of 1,0 of 0  0 of 0,Nathaniel Wood  Jose Quinonez
413,Danny Roberts Claudio Silva,0  0,26 of 45  19 of 38,57%  50%,29 of 48  35 of 56,0 of 0  3 of 5,0%  60%,0  4,2  5,3  0,26 of 45  19 of 38,24 of 43  10 of 28,2 of 2  2 of 3,0 of 0  7 of 7,6 of 18  11 of 26,2 of 2  1 of 1,18 of 25  7 of 11,Claudio Silva  Danny Roberts
414,Jack Marshman John Phillips,0  1,31 of 149  32 of 95,20%  33%,31 of 149  35 of 99,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,31 of 149  32 of 95,19 of 135  15 of 70,10 of 11  8 of 15,2 of 3  9 of 10,31 of 149  29 of 90,0 of 0  3 of 5,0 of 0  0 of 0,Jack Marshman  John Phillips
415,Arnold Allen Jordan Rinaldi,1  0,37 of 111  30 of 104,33%  28%,41 of 117  30 of 105,0 of 0  0 of 3,0%  0%,0  0,0  0,0  0,37 of 111  30 of 104,25 of 90  5 of 61,10 of 13  6 of 13,2 of 8  19 of 30,35 of 102  30 of 103,0 of 1  0 of 1,2 of 8  0 of 0,Arnold Allen  Jordan Rinaldi
416,Marc Diakiese Joe Duffy,1  0,63 of 106  15 of 60,59%  25%,80 of 125  24 of 71,3 of 4  1 of 3,75%  33%,0  0,2  0,0  0,63 of 106  15 of 60,19 of 56  8 of 50,22 of 25  3 of 6,22 of 25  4 of 4,55 of 94  14 of 58,6 of 9  1 of 1,2 of 3  0 of 1,Marc Diakiese  Joe Duffy
417,Nicolae Negumereanu Saparbeg Safarov,0  0,11 of 27  70 of 86,40%  81%,20 of 36  139 of 156,0 of 0  3 of 5,0%  60%,0  0,0  7,0  0,11 of 27  70 of 86,5 of 17  60 of 74,3 of 7  2 of 2,3 of 3  8 of 10,7 of 19  16 of 24,4 of 8  4 of 6,0 of 0  50 of 56,Saparbeg Safarov  Nicolae Negumereanu
418,Danny Henry Dan Ige,0  1,4 of 7  10 of 17,57%  58%,4 of 7  10 of 17,0 of 0  1 of 1,0%  100%,0  1,0  1,0  0,4 of 7  10 of 17,2 of 5  7 of 14,1 of 1  3 of 3,1 of 1  0 of 0,4 of 7  4 of 8,0 of 0  0 of 0,0 of 0  6 of 9,Dan Ige  Danny Henry
419,Molly McCann Priscila Cachoeira,0  0,107 of 197  75 of 234,54%  32%,110 of 200  77 of 238,2 of 11  0 of 0,18%  0%,2  0,2  0,1  0,107 of 197  75 of 234,81 of 167  54 of 206,13 of 16  15 of 21,13 of 14  6 of 7,90 of 169  68 of 222,12 of 21  7 of 12,5 of 7  0 of 0,Molly McCann  Priscila Cachoeira
420,Mike Grundy Nad Narimani,1  0,33 of 56  22 of 95,58%  23%,36 of 59  22 of 95,1 of 3  0 of 1,33%  0%,0  0,1  0,0  0,33 of 56  22 of 95,32 of 54  16 of 82,1 of 2  1 of 5,0 of 0  5 of 8,20 of 40  20 of 91,9 of 11  2 of 4,4 of 5  0 of 0,Mike Grundy  Nad Narimani
421,Derrick Lewis Junior Dos Santos,0  1,7 of 25  29 of 55,28%  52%,7 of 25  29 of 55,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,7 of 25  29 of 55,2 of 17  15 of 37,3 of 6  7 of 10,2 of 2  7 of 8,7 of 24  20 of 35,0 of 0  6 of 11,0 of 1  3 of 9,Junior Dos Santos  Derrick Lewis
422,Elizeu Zaleski dos Santos Curtis Millender,0  0,6 of 9  0 of 1,66%  0%,10 of 13  0 of 1,1 of 1  0 of 0,100%  0%,1  0,2  0,0  0,6 of 9  0 of 1,4 of 6  0 of 1,1 of 1  0 of 0,1 of 2  0 of 0,3 of 4  0 of 1,0 of 0  0 of 0,3 of 5  0 of 0,Elizeu Zaleski dos Santos  Curtis Millender
423,Tim Means Niko Price,0  1,31 of 48  32 of 67,64%  47%,35 of 54  36 of 73,1 of 1  0 of 0,100%  0%,0  0,1  0,0  0,31 of 48  32 of 67,27 of 44  21 of 48,3 of 3  3 of 9,1 of 1  8 of 10,24 of 39  23 of 52,1 of 2  4 of 9,6 of 7  5 of 6,Niko Price  Tim Means
424,Blagoy Ivanov Ben Rothwell,0  0,72 of 178  70 of 163,40%  42%,73 of 179  70 of 163,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,72 of 178  70 of 163,50 of 156  47 of 135,19 of 19  6 of 10,3 of 3  17 of 18,70 of 175  69 of 162,2 of 3  1 of 1,0 of 0  0 of 0,Blagoy Ivanov  Ben Rothwell
425,Beneil Dariush Drew Dober,0  0,37 of 65  31 of 58,56%  53%,41 of 69  38 of 66,2 of 5  0 of 0,40%  0%,1  0,4  0,0  0,37 of 65  31 of 58,22 of 47  17 of 44,12 of 14  9 of 9,3 of 4  5 of 5,17 of 39  17 of 43,10 of 14  14 of 15,10 of 12  0 of 0,Beneil Dariush  Drew Dober
426,Tim Boetsch Omari Akhmedov,0  0,41 of 97  52 of 135,42%  38%,64 of 121  58 of 141,0 of 2  0 of 2,0%  0%,0  0,0  0,0  0,41 of 97  52 of 135,20 of 66  32 of 110,12 of 20  13 of 17,9 of 11  7 of 8,32 of 85  35 of 113,9 of 12  17 of 22,0 of 0  0 of 0,Omari Akhmedov  Tim Boetsch
427,Anthony Rocco Martin Sergio Moraes,0  0,50 of 152  19 of 83,32%  22%,70 of 172  24 of 88,0 of 0  3 of 3,0%  100%,0  0,1  2,1  0,50 of 152  19 of 83,29 of 123  13 of 75,4 of 5  5 of 7,17 of 24  1 of 1,48 of 150  19 of 82,2 of 2  0 of 0,0 of 0  0 of 1,Anthony Rocco Martin  Sergio Moraes
428,Marion Reneau Yana Kunitskaya,0  0,58 of 142  98 of 223,40%  43%,64 of 148  113 of 239,1 of 1  1 of 1,100%  100%,0  0,0  0,0  0,58 of 142  98 of 223,42 of 121  35 of 138,10 of 14  27 of 40,6 of 7  36 of 45,54 of 133  78 of 197,2 of 3  19 of 23,2 of 6  1 of 3,Yana Kunitskaya  Marion Reneau
429,Grant Dawson Julian Erosa,0  0,57 of 128  49 of 85,44%  57%,86 of 166  70 of 109,6 of 11  0 of 0,54%  0%,1  1,5  0,0  0,57 of 128  49 of 85,48 of 115  37 of 67,2 of 5  9 of 15,7 of 8  3 of 3,28 of 75  30 of 62,5 of 12  8 of 10,24 of 41  11 of 13,Grant Dawson  Julian Erosa
430,Maurice Greene Jeff Hughes,0  0,70 of 161  66 of 143,43%  46%,72 of 163  67 of 144,0 of 0  0 of 1,0%  0%,0  0,0  0,0  0,70 of 161  66 of 143,42 of 114  42 of 107,10 of 20  11 of 15,18 of 27  13 of 21,58 of 145  62 of 139,12 of 16  4 of 4,0 of 0  0 of 0,Maurice Greene  Jeff Hughes
431,Louis Smolka Matt Schnell,0  0,13 of 24  14 of 40,54%  35%,14 of 25  16 of 42,0 of 0  1 of 1,0%  100%,0  2,0  1,0  0,13 of 24  14 of 40,9 of 17  11 of 35,1 of 2  2 of 4,3 of 5  1 of 1,12 of 23  13 of 39,0 of 0  1 of 1,1 of 1  0 of 0,Matt Schnell  Louis Smolka
432,Alex Morono Zak Ottow,0  0,25 of 55  10 of 31,45%  32%,25 of 55  10 of 31,0 of 0  1 of 1,0%  100%,1  0,2  0,1  0,25 of 55  10 of 31,22 of 50  6 of 20,3 of 5  2 of 7,0 of 0  2 of 4,10 of 28  10 of 31,0 of 0  0 of 0,15 of 27  0 of 0,Alex Morono  Zak Ottow
433,Alex White Dan Moret,0  0,49 of 82  42 of 88,59%  47%,70 of 104  50 of 96,2 of 3  1 of 9,66%  11%,3  0,0  0,0  0,49 of 82  42 of 88,31 of 63  29 of 71,17 of 18  6 of 9,1 of 1  7 of 8,27 of 51  16 of 51,22 of 31  20 of 30,0 of 0  6 of 7,Alex White  Dan Moret
434,Jon Jones Anthony Smith,0  0,125 of 167  36 of 66,74%  54%,238 of 287  45 of 75,3 of 8  0 of 0,37%  0%,0  0,0  0,0  0,125 of 167  36 of 66,45 of 80  15 of 40,35 of 40  9 of 14,45 of 47  12 of 12,64 of 102  31 of 59,31 of 34  5 of 7,30 of 31  0 of 0,Jon Jones  Anthony Smith
435,Tyron Woodley Kamaru Usman,0  0,34 of 51  141 of 194,66%  72%,60 of 79  336 of 390,0 of 1  2 of 6,0%  33%,0  0,0  7,0  0,34 of 51  141 of 194,12 of 28  56 of 104,18 of 19  83 of 87,4 of 4  2 of 3,10 of 24  27 of 73,24 of 27  78 of 82,0 of 0  36 of 39,Kamaru Usman  Tyron Woodley
436,Robbie Lawler Ben Askren,0  0,26 of 29  0 of 1,89%  0%,30 of 33  3 of 5,1 of 1  1 of 2,100%  50%,0  1,1  0,0  0,26 of 29  0 of 1,21 of 24  0 of 1,5 of 5  0 of 0,0 of 0  0 of 0,1 of 2  0 of 1,9 of 9  0 of 0,16 of 18  0 of 0,Ben Askren  Robbie Lawler
437,Tecia Torres Weili Zhang,0  0,30 of 62  63 of 142,48%  44%,33 of 65  118 of 204,0 of 1  2 of 8,0%  25%,0  0,0  4,0  1,30 of 62  63 of 142,14 of 41  29 of 76,5 of 7  6 of 21,11 of 14  28 of 45,25 of 54  43 of 117,2 of 3  6 of 8,3 of 5  14 of 17,Weili Zhang  Tecia Torres
438,Cody Garbrandt Pedro Munhoz,0  1,21 of 60  25 of 47,35%  53%,21 of 60  28 of 51,0 of 0  0 of 1,0%  0%,0  0,0  1,0  0,21 of 60  25 of 47,19 of 50  16 of 36,1 of 6  3 of 3,1 of 4  6 of 8,20 of 59  18 of 38,0 of 0  1 of 2,1 of 1  6 of 7,Pedro Munhoz  Cody Garbrandt
439,Jeremy Stephens Zabit Magomedsharipov,0  0,41 of 121  70 of 129,33%  54%,45 of 125  83 of 146,0 of 0  3 of 8,0%  37%,0  0,0  4,0  0,41 of 121  70 of 129,20 of 92  43 of 95,11 of 16  12 of 17,10 of 13  15 of 17,41 of 121  60 of 117,0 of 0  1 of 1,0 of 0  9 of 11,Zabit Magomedsharipov  Jeremy Stephens
440,Misha Cirkunov Johnny Walker,0  1,1 of 2  4 of 8,50%  50%,1 of 2  4 of 8,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,1 of 2  4 of 8,0 of 1  4 of 8,0 of 0  0 of 0,1 of 1  0 of 0,1 of 2  1 of 2,0 of 0  0 of 0,0 of 0  3 of 6,Johnny Walker  Misha Cirkunov
441,Cody Stamann Alejandro Perez,0  0,48 of 121  41 of 121,39%  33%,49 of 122  51 of 133,0 of 8  1 of 2,0%  50%,0  0,0  0,0  0,48 of 121  41 of 121,21 of 77  17 of 87,19 of 30  8 of 13,8 of 14  16 of 21,46 of 117  33 of 108,2 of 4  3 of 8,0 of 0  5 of 5,Cody Stamann  Alejandro Perez
442,Diego Sanchez Mickey Gall,0  0,56 of 87  23 of 65,64%  35%,61 of 92  35 of 80,4 of 4  0 of 0,100%  0%,0  0,5  0,0  0,56 of 87  23 of 65,37 of 63  19 of 59,13 of 18  2 of 3,6 of 6  2 of 3,7 of 28  8 of 44,10 of 11  9 of 14,39 of 48  6 of 7,Diego Sanchez  Mickey Gall
443,Edmen Shahbazyan Charles Byrd,1  0,13 of 21  1 of 6,61%  16%,13 of 21  1 of 6,0 of 0  0 of 1,0%  0%,0  0,0  0,0  0,13 of 21  1 of 6,13 of 20  0 of 5,0 of 0  0 of 0,0 of 1  1 of 1,4 of 10  1 of 6,7 of 7  0 of 0,2 of 4  0 of 0,Edmen Shahbazyan  Charles Byrd
444,Gina Mazany Macy Chiasson,0  1,14 of 25  25 of 49,56%  51%,24 of 36  25 of 49,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,14 of 25  25 of 49,6 of 16  15 of 37,6 of 7  9 of 11,2 of 2  1 of 1,13 of 24  18 of 41,1 of 1  3 of 3,0 of 0  4 of 5,Macy Chiasson  Gina Mazany
