,winner,loser,time,weightclass,method,location,date,KDpm_w,KDpm_l,KDpm_ratio_w,KDpm_ratio_l,SLPM_w,SLPM_l,SLPMratio_w,SLPMratio_l,Str_Acc_w,Str_Acc_l,Str_Acc_ratio_w,Str_Acc_ratio_l,SAPM_w,SAPM_l,SAPM_ratio_w,SAPM_ratio_l,Str_Def_w,Str_Def_l,TDPM_w,TDPM_l,TD_Acc_w,TD_Acc_l,TD_Def_w,TD_Def_l,SubPM_w,SubPM_l,PassPM_w,PassPM_l,RevPM_w,RevPM_l,Head_SLPM_w,Head_SLPM_l,Body_SLPM_w,Body_SLPM_l,Leg_SLPM_w,Leg_SLPM_l,Dist_SLPM_w,Dist_SLPM_l,Clinch_SLPM_w,Clinch_SLPM_l,Ground_SLPM_w,Ground_SLPM_l,Str_Att_w,Str_Att_l,TD_Att_w,TD_Att_l
4567,Yushin-Okami,Jason-MacDonald,7.0,Middleweight,U-DEC,"Cincinnati, Ohio, USA",2007-10-20,0.0,0.0,0.0,0.0,5.857142857142857,3.5714285714285716,1.64,0.6097560975609757,0.5,0.5102040816326531,0.98,1.0204081632653061,3.5714285714285716,5.857142857142857,0.6097560975609757,1.64,0.4897959183673469,0.5,0.14285714285714285,0.0,1.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.0,4.714285714285714,0.0,0.8571428571428571,0.2857142857142857,0.2857142857142857,3.2857142857142856,1.7142857142857142,0.2857142857142857,1.4285714285714286,3.2857142857142856,2.7142857142857144,0.0,82.0,49.0,1.0,9.0
4568,Demian-Maia,Ryan-Jensen,2.6666666666666665,Middleweight,SUB  Rear Naked Choke,"Cincinnati, Ohio, USA",2007-10-20,0.0,0.0,0.0,0.0,1.125,0.75,1.5,0.6666666666666666,1.0,0.6666666666666666,1.5,0.6666666666666666,0.75,1.125,0.6666666666666666,1.5,0.3333333333333333,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.375,0.0,0.75,0.0,0.0,0.0,0.375,0.75,0.375,0.0,0.375,0.0,0.375,0.0,0.0,0.0,0.75,0.75,3.0,3.0,2.0,0.0
4569,Joshua-Burkman,Forrest-Petz,7.0,Welterweight,S-DEC,"Cincinnati, Ohio, USA",2007-10-20,0.14285714285714285,0.0,0.0,0.0,6.285714285714286,9.285714285714286,0.6769230769230768,1.4772727272727275,0.5057471264367817,0.47101449275362317,1.073740053050398,0.9313241106719367,9.285714285714286,6.285714285714286,1.4772727272727275,0.6769230769230768,0.5289855072463768,0.4942528735632184,0.42857142857142855,0.0,0.23076923076923078,0.0,0.0,0.7692307692307693,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,4.857142857142857,4.285714285714286,0.7142857142857143,4.714285714285714,0.7142857142857143,0.2857142857142857,4.714285714285714,5.714285714285714,0.7142857142857143,3.4285714285714284,0.8571428571428571,0.14285714285714285,87.0,138.0,13.0,0.0
4570,Matt-Grice,Jason-Black,7.0,Lightweight,S-DEC,"Cincinnati, Ohio, USA",2007-10-20,0.14285714285714285,0.0,0.0,0.0,6.285714285714286,1.4285714285714286,4.3999999999999995,0.2272727272727273,0.6027397260273972,0.5,1.2054794520547945,0.8295454545454546,1.4285714285714286,6.285714285714286,0.2272727272727273,4.3999999999999995,0.5,0.3972602739726027,0.42857142857142855,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.2857142857142858,0.14285714285714285,0.0,0.14285714285714285,5.428571428571429,1.0,0.8571428571428571,0.42857142857142855,0.0,0.0,1.1428571428571428,0.2857142857142857,0.7142857142857143,0.42857142857142855,4.428571428571429,0.7142857142857143,73.0,20.0,3.0,1.0
4571,Keith-Jardine,Chuck-Liddell,7.0,Light Heavyweight,S-DEC,"Anaheim, California, USA",2007-09-22,0.14285714285714285,0.0,0.0,0.0,11.857142857142858,4.428571428571429,2.6774193548387095,0.37349397590361444,0.4715909090909091,0.2246376811594203,2.0993401759530794,0.4763401431814213,4.428571428571429,11.857142857142858,0.37349397590361444,2.6774193548387095,0.7753623188405797,0.5284090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.428571428571429,3.5714285714285716,2.142857142857143,0.8571428571428571,4.285714285714286,0.0,11.714285714285714,4.285714285714286,0.14285714285714285,0.14285714285714285,0.0,0.0,176.0,138.0,0.0,0.0
4572,Forrest-Griffin,Mauricio-Rua,6.75,Light Heavyweight,SUB  Rear Naked Choke,"Anaheim, California, USA",2007-09-22,0.0,0.0,0.0,0.0,9.777777777777779,4.0,2.4444444444444446,0.40909090909090906,0.5076923076923077,0.36,1.4102564102564101,0.7090909090909091,4.0,9.777777777777779,0.40909090909090906,2.4444444444444446,0.64,0.49230769230769234,0.2962962962962963,0.7407407407407407,1.0,0.4166666666666667,0.5833333333333334,0.0,0.4444444444444444,0.0,0.7407407407407407,0.0,0.2962962962962963,0.0,6.518518518518518,3.111111111111111,1.9259259259259258,0.4444444444444444,1.3333333333333333,0.4444444444444444,3.111111111111111,2.074074074074074,0.5925925925925926,0.4444444444444444,6.074074074074074,1.4814814814814814,130.0,75.0,2.0,12.0
4573,Jon-Fitch,Diego-Sanchez,7.0,Welterweight,S-DEC,"Anaheim, California, USA",2007-09-22,0.0,0.0,0.0,0.0,3.5714285714285716,1.5714285714285714,2.272727272727273,0.43999999999999995,0.625,0.6111111111111112,1.0227272727272727,0.9777777777777779,1.5714285714285714,3.5714285714285716,0.43999999999999995,2.272727272727273,0.3888888888888889,0.375,0.42857142857142855,0.2857142857142857,1.0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.14285714285714285,2.5714285714285716,0.42857142857142855,0.8571428571428571,1.0,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.8571428571428571,1.0,1.8571428571428572,0.14285714285714285,40.0,18.0,3.0,9.0
4574,Lyoto-Machida,Kazuhiro-Nakamura,7.0,Light Heavyweight,U-DEC,"Anaheim, California, USA",2007-09-22,0.0,0.0,0.0,0.0,10.0,2.142857142857143,4.666666666666667,0.21428571428571427,0.7865168539325843,0.4838709677419355,1.6254681647940075,0.6152073732718893,2.142857142857143,10.0,0.21428571428571427,4.666666666666667,0.5161290322580645,0.21348314606741572,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.2,0.8,0.3333333333333333,0.14285714285714285,0.0,1.2857142857142858,0.14285714285714285,0.0,0.0,5.142857142857143,0.8571428571428571,3.7142857142857144,0.7142857142857143,1.1428571428571428,0.5714285714285714,2.4285714285714284,0.42857142857142855,4.571428571428571,1.7142857142857142,3.0,0.0,89.0,31.0,3.0,10.0
4575,Tyson-Griffin,Thiago-Tavares,7.0,Lightweight,U-DEC,"Anaheim, California, USA",2007-09-22,0.0,0.0,0.0,0.0,4.142857142857143,0.8571428571428571,4.833333333333334,0.2068965517241379,0.4393939393939394,0.2857142857142857,1.537878787878788,0.6502463054187192,0.8571428571428571,4.142857142857143,0.2068965517241379,4.833333333333334,0.7142857142857143,0.5606060606060606,0.2857142857142857,0.5714285714285714,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.14285714285714285,0.5714285714285714,0.0,0.8571428571428571,0.14285714285714285,0.2857142857142857,2.142857142857143,0.14285714285714285,0.42857142857142855,0.7142857142857143,1.5714285714285714,0.0,0.7142857142857143,0.2857142857142857,2.142857142857143,0.5714285714285714,1.2857142857142858,0.0,66.0,21.0,6.0,9.0
4576,Rich-Clementi,Anthony-Johnson,4.083333333333334,Welterweight,SUB  Rear Naked Choke,"Anaheim, California, USA",2007-09-22,0.0,0.24489795918367344,0.0,0.0,2.9387755102040813,5.387755102040815,0.5454545454545455,1.833333333333333,0.5,0.44,1.1363636363636365,0.88,5.387755102040815,2.9387755102040813,1.833333333333333,0.5454545454545455,0.56,0.5,0.24489795918367344,0.24489795918367344,0.5,0.5,0.5,0.5,0.48979591836734687,0.7346938775510203,0.48979591836734687,0.24489795918367344,0.24489795918367344,0.24489795918367344,2.204081632653061,3.6734693877551017,0.0,1.2244897959183672,0.7346938775510203,0.48979591836734687,1.2244897959183672,1.714285714285714,0.24489795918367344,0.9795918367346937,1.4693877551020407,2.6938775510204076,24.0,50.0,2.0,2.0
