,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
0,Efrain Escudero Leandro Silva,0  0,24 of 63  35 of 89,38%  39%,56 of 101  47 of 103,2 of 7  0 of 0,28%  0%,0  0,0  1,0  0,24 of 63  35 of 89,12 of 41  16 of 56,7 of 12  15 of 27,5 of 10  4 of 6,12 of 40  29 of 79,2 of 7  6 of 10,10 of 16  0 of 0
0,Erik Perez Taylor Lapilus,0  1,31 of 92  20 of 78,33%  25%,109 of 172  23 of 82,1 of 2  0 of 1,50%  0%,0  1,2  0,0  0,31 of 92  20 of 78,17 of 69  12 of 65,14 of 21  4 of 5,0 of 2  4 of 8,17 of 73  18 of 76,2 of 4  2 of 2,12 of 15  0 of 0
0,Hector Urbina Bartosz Fabinski,0  0,10 of 25  25 of 39,40%  64%,16 of 31  89 of 118,0 of 0  6 of 11,0%  54%,3  0,0  9,0  0,10 of 25  25 of 39,9 of 24  23 of 37,1 of 1  2 of 2,0 of 0  0 of 0,2 of 14  10 of 16,7 of 9  2 of 4,1 of 2  13 of 19
0,Alejandro Perez Scott Jorgensen,0  0,39 of 91  11 of 37,42%  29%,42 of 94  11 of 37,0 of 0  2 of 6,0%  33%,0  0,0  0,0  0,39 of 91  11 of 37,19 of 59  7 of 30,6 of 9  1 of 3,14 of 23  3 of 4,31 of 78  10 of 34,2 of 4  0 of 2,6 of 9  1 of 1
0,Gabriel Benitez Andre Fili,0  1,11 of 26  16 of 42,42%  38%,11 of 26  16 of 42,0 of 0  1 of 1,0%  100%,0  0,0  0,0  0,11 of 26  16 of 42,3 of 16  10 of 34,2 of 2  4 of 4,6 of 8  2 of 4,11 of 25  15 of 41,0 of 1  1 of 1,0 of 0  0 of 0
0,Vernon Ramos Alvaro Herrera,0  1,2 of 8  4 of 9,25%  44%,2 of 8  4 of 9,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,2 of 8  4 of 9,0 of 3  4 of 9,0 of 1  0 of 0,2 of 4  0 of 0,2 of 8  3 of 8,0 of 0  0 of 0,0 of 0  1 of 1
0,Cesar Arzamendia Polo Reyes,0  1,16 of 46  10 of 31,34%  32%,23 of 54  15 of 36,3 of 4  0 of 0,75%  0%,0  0,0  0,0  0,16 of 46  10 of 31,7 of 33  9 of 27,7 of 11  1 of 3,2 of 2  0 of 1,10 of 35  6 of 26,6 of 9  2 of 3,0 of 2  2 of 2
0,Valmir Lazaro Michel Prazeres,0  0,41 of 102  20 of 53,40%  37%,60 of 123  27 of 60,0 of 0  1 of 14,0%  7%,0  0,1  0,0  0,41 of 102  20 of 53,29 of 87  12 of 41,2 of 5  2 of 5,10 of 10  6 of 7,41 of 101  20 of 53,0 of 0  0 of 0,0 of 1  0 of 0
0,Ronda Rousey Holly Holm,0  1,17 of 65  38 of 53,26%  71%,21 of 69  38 of 53,0 of 1  1 of 1,0%  100%,0  0,0  0,0  0,17 of 65  38 of 53,13 of 59  29 of 44,4 of 6  4 of 4,0 of 0  5 of 5,13 of 59  31 of 45,4 of 6  4 of 4,0 of 0  3 of 4
0,Joanna Jedrzejczyk Valerie Letourneau,0  0,220 of 441  103 of 321,49%  32%,227 of 448  120 of 341,0 of 0  1 of 5,0%  20%,0  0,0  0,0  0,220 of 441  103 of 321,97 of 289  72 of 275,53 of 67  20 of 32,70 of 85  11 of 14,203 of 414  91 of 303,17 of 27  7 of 13,0 of 0  5 of 5
0,Mark Hunt Antonio Silva,1  0,12 of 18  9 of 17,66%  52%,13 of 19  9 of 17,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,12 of 18  9 of 17,7 of 13  2 of 6,2 of 2  2 of 5,3 of 3  5 of 6,10 of 15  9 of 17,0 of 1  0 of 0,2 of 2  0 of 0
0,Uriah Hall Robert Whittaker,0  0,45 of 94  67 of 144,47%  46%,58 of 107  108 of 186,0 of 1  1 of 2,0%  50%,0  0,0  6,1  0,45 of 94  67 of 144,17 of 58  39 of 107,10 of 15  6 of 11,18 of 21  22 of 26,40 of 87  43 of 110,4 of 5  12 of 17,1 of 2  12 of 17
0,Stefan Struve Jared Rosholt,0  0,33 of 58  16 of 37,56%  43%,34 of 59  38 of 59,1 of 1  4 of 7,100%  57%,0  0,1  7,0  0,33 of 58  16 of 37,23 of 41  6 of 23,7 of 14  2 of 5,3 of 3  8 of 9,21 of 42  11 of 27,1 of 2  0 of 1,11 of 14  5 of 9
0,Jake Matthews Akbarh Arreola,0  1,62 of 98  21 of 41,63%  51%,96 of 136  33 of 55,1 of 3  0 of 0,33%  0%,0  0,0  1,0  0,62 of 98  21 of 41,54 of 88  17 of 33,4 of 5  1 of 4,4 of 5  3 of 4,8 of 19  9 of 21,3 of 4  0 of 1,51 of 75  12 of 19
