,Date,Event,Favourite  Wins,Underdog  Wins,Avg Winner  Odds,Favourites  (ROI),Underdogs  (ROI),url
150,2017-11-25,UFC Fight Night 122 Bisping vs. Gastellum,8,3,-125,$15.13 (13%),$-19.50 (-16%),https://www.betmma.tips/mma_event_betting_history.php?Event=295
149,2017-11-18,UFC Fight Night 121 Sydney,10,3,-148,$20.20 (16%),$-28.00 (-22%),https://www.betmma.tips/mma_event_betting_history.php?Event=286
148,2017-11-11,UFC Fight Night 120 Virginia,8,5,-133,$-12.17 (-9%),$11.80 (9%),https://www.betmma.tips/mma_event_betting_history.php?Event=285
147,2017-11-04,UFC 217,4,5,+176,$-21.70 (-20%),$94.50 (86%),https://www.betmma.tips/mma_event_betting_history.php?Event=279
146,2017-10-21,UFC Fight Night 118 Gdansk,9,2,-175,$24.40 (22%),$-63.00 (-57%),https://www.betmma.tips/mma_event_betting_history.php?Event=280
145,2017-10-07,UFC 216,6,3,-124,$1.25 (1%),$22.00 (20%),https://www.betmma.tips/mma_event_betting_history.php?Event=275
144,2017-09-22,UFC Fight Night 117 St. Preux vs. Shogun 2,5,4,+102,$-14.50 (-15%),$18.80 (19%),https://www.betmma.tips/mma_event_betting_history.php?Event=274
143,2017-09-16,UFC Fight Night 116 Rockhold vs. Branch,8,2,-181,$15.80 (16%),$-42.50 (-43%),https://www.betmma.tips/mma_event_betting_history.php?Event=273
142,2017-09-09,UFC 215,4,7,+111,$-50.90 (-46%),$109.00 (99%),https://www.betmma.tips/mma_event_betting_history.php?Event=264
141,2017-09-02,UFC Fight Night Struve vs. Volkov,11,1,-200,$42.00 (35%),$-93.50 (-78%),https://www.betmma.tips/mma_event_betting_history.php?Event=263
140,2017-07-22,UFC on Fox 25,6,7,-105,$-40.90 (-31%),$61.60 (47%),https://www.betmma.tips/mma_event_betting_history.php?Event=252
139,2017-07-16,UFC Fight Night 113,9,2,-137,$22.70 (19%),$-58.00 (-48%),https://www.betmma.tips/mma_event_betting_history.php?Event=250
138,2017-07-08,UFC 213,10,0,-162,$51.00 (46%),$-100.00 (-91%),https://www.betmma.tips/mma_event_betting_history.php?Event=246
137,2017-07-07,TUF Season 25 Finale,7,4,-142,$-10.20 (-9%),$6.00 (5%),https://www.betmma.tips/mma_event_betting_history.php?Event=251
136,2017-06-25,UFC Fight Night 112,9,4,-134,$8.70 (7%),$-15.80 (-12%),https://www.betmma.tips/mma_event_betting_history.php?Event=240
135,2017-06-17,UFC Fight Night 111,10,2,-197,$18.80 (16%),$-45.90 (-38%),https://www.betmma.tips/mma_event_betting_history.php?Event=243
134,2017-06-10,UFC Fight Night 110 Hunt vs. Lewis,7,4,-146,$-7.30 (-7%),$-13.50 (-12%),https://www.betmma.tips/mma_event_betting_history.php?Event=241
133,2017-06-03,UFC 212 Aldo vs Holloway,9,3,-131,$22.00 (18%),$-29.00 (-24%),https://www.betmma.tips/mma_event_betting_history.php?Event=236
132,2017-05-28,UFC Fight Night 109 Gustafsson Vs Teixeira,7,5,-117,$-15.80 (-13%),$48.00 (40%),https://www.betmma.tips/mma_event_betting_history.php?Event=237
131,2017-05-13,UFC 211 - Miocic vs. Dos Santos,7,4,-131,$3.90 (4%),$-21.50 (-20%),https://www.betmma.tips/mma_event_betting_history.php?Event=233
130,2017-04-22,UFC Fight Night 108 Swanson vs. Lobov,11,2,-181,$35.70 (27%),$-84.50 (-65%),https://www.betmma.tips/mma_event_betting_history.php?Event=234
129,2017-04-15,UFC on Fox 24 - Johnson vs Reis,9,4,-147,$0.40 (0%),$-8.50 (-7%),https://www.betmma.tips/mma_event_betting_history.php?Event=235
128,2017-04-08,UFC 210 - Cormier vs. Johnson 2,8,5,-144,$-12.80 (-10%),$-6.90 (-5%),https://www.betmma.tips/mma_event_betting_history.php?Event=231
127,2017-03-18,UFC Fight Night 107 Manuwa vs. Anderson,6,5,-137,$-22.80 (-21%),$5.80 (5%),https://www.betmma.tips/mma_event_betting_history.php?Event=225
