,fight,date,fighter_1,cumultime_1,cumulStr_Att_fighter_1,cumulStr_Att_oponent_1,cumulTD_Att_fighter_1,cumulTD_Att_oponent_1,KDPM_1,KDPM_ratio_1,SLPM_1,SLPM_ratio_1,SAPM_1,SAPM_ratio_1,Str_Acc_1,Str_Def_1,TD_Acc_1,TD_Def_1,SubPM_1,PassPM_1,RevPM_1,Head_SLPM_1,Body_SLPM_1,Leg_SLPM_1,Dist_SLPM_1,Clinch_SLPM_1,Ground_SLPM_1,wins_1,losses_1,implied_prob_1,prev_1,height_1,weight_1,reach_1,age_1,stance_Orthodox_1,stance_Southpaw_1,stance_Switch_1,winner,fighter_2,cumultime_2,cumulStr_Att_fighter_2,cumulStr_Att_oponent_2,cumulTD_Att_fighter_2,cumulTD_Att_oponent_2,KDPM_2,KDPM_ratio_2,SLPM_2,SLPM_ratio_2,SAPM_2,SAPM_ratio_2,Str_Acc_2,Str_Def_2,TD_Acc_2,TD_Def_2,SubPM_2,PassPM_2,RevPM_2,Head_SLPM_2,Body_SLPM_2,Leg_SLPM_2,Dist_SLPM_2,Clinch_SLPM_2,Ground_SLPM_2,wins_2,losses_2,implied_prob_2,prev_2,height_2,weight_2,reach_2,age_2,stance_Orthodox_2,stance_Southpaw_2,stance_Switch_2
1157,Daniel Cormier vs Derrick Lewis,2018-11-03,Derrick-Lewis,68.36666666666667,809.0,599.0,21.0,56.0,0.014770275542646106,0.0,1.299025720814898,0.7814189896862952,1.0955553149265431,0.2900140650539969,0.01031526693814204,0.01137734376578439,0.15873015873015875,0.12443598068598068,0.0,0.06695859333545201,0.0055474023311343395,1.0774952280594676,0.17424636157776446,0.04728413117766615,0.4246833273762579,0.2106749992635742,0.6636673941750663,12,3,0.2127659574468085,15,75.0,260.0,79.0,33.0,1,0,0,1,Daniel-Cormier,63.01666666666666,1053.0,876.0,38.0,22.0,0.015539918920914506,0.0,1.5359269719381672,0.4070831208017306,1.056704903954101,0.12565034988333768,0.0059137700359279035,0.007198579377434406,0.1175438596491228,0.20108225108225108,0.024359340882735742,0.0729537728858158,0.0,1.1856243741828578,0.21885044207962884,0.13145215567568022,0.6764877858465682,0.4272360228268303,0.4322031632647688,10,1,0.7751937984496123,11,71.0,235.0,72.0,39.0,1,0,0
1194,Frankie Edgar vs Urijah Faber,2015-05-16,Urijah-Faber,59.06666666666666,952.0,1039.0,53.0,24.0,0.017383430392284963,0.0,1.4009361068512631,0.4763317809118908,0.9924336666152156,0.15468370866425726,0.005682189355662904,0.007080382848978756,0.07104059462550029,0.09134615384615384,0.03457014298662048,0.039834617398132495,0.010617517508395657,1.0487792154754605,0.2565020570079504,0.09565483436785148,0.8424253265533594,0.123186713755129,0.435324066542774,8,3,0.19011406844106465,11,66.0,135.0,67.0,36.0,1,0,0,1,Frankie-Edgar,117.35,2468.0,2062.0,136.0,44.0,0.002181837642462677,0.008521516829995739,1.1569409518020246,0.3809765192073389,0.6213904287335464,0.07977797190309863,0.002811517891103781,0.005587637775996625,0.04215061898885429,0.14242424242424245,0.0075752872781788706,0.04700665003045769,0.0021641947504751078,0.8006210642143471,0.21917933230713554,0.13714055528054192,0.6819486507084394,0.10022903015572436,0.3747632709378608,12,4,0.8,16,66.0,145.0,68.0,33.0,1,0,0
179,Donald Cerrone vs Darren Till,2017-10-21,Donald-Cerrone,115.85,2259.0,2288.0,53.0,53.0,0.03877281403355212,0.02589555459646094,1.9741687951917584,0.26237377880649504,2.2050513752272045,0.32543266432682977,0.005484514122237561,0.0058916731810154796,0.142722371967655,0.24555256064690026,0.023129813664605016,0.0465765360299565,0.0030252015503197905,0.9891886184876192,0.4459925992408815,0.5389875774632578,1.6473495621303065,0.15415646163477134,0.17266277142668074,19,6,0.591715976331361,25,73.0,155.0,73.0,34.0,1,0,0,1,Darren-Till,16.616666666666667,197.0,295.0,6.0,11.0,0.008597220232124945,0.0,1.2627509461961866,0.22174621649516926,1.0390041827027945,0.14907342171346166,0.008234770815656923,0.006609445168767203,0.2777777777777777,0.2727272727272727,0.0,0.022998933105047626,0.0,0.9381921925923355,0.14078632622161294,0.1837724273822377,0.8294400946241819,0.01719444046424989,0.41611641110775455,3,0,0.425531914893617,3,72.0,185.0,74.0,24.0,0,1,0
1370,Tamdan McCrory vs Krzysztof Jotko,2016-06-18,Tamdan-McCrory,35.11666666666667,270.0,182.0,23.0,14.0,0.0,0.0,0.8119998774433147,0.28225299986097324,0.5942555648919192,0.17995427571035758,0.013684335443974491,0.021272089713045044,0.12194616977225675,0.09183673469387754,0.05573402614322116,0.1302122242624387,0.01682202916184881,0.5653253965638538,0.1606837198922246,0.08599076098723618,0.2643014288288363,0.18883994375221028,0.3588585048622681,4,3,0.6329113924050632,7,76.0,185.0,78.0,29.0,0,0,1,1,Krzysztof-Jotko,33.98333333333333,440.0,278.0,15.0,38.0,0.0,0.0,0.8640737610233553,0.3022286448129566,0.4787581281602464,0.0995657956391872,0.005563553876135044,0.010400222019435692,0.12777777777777774,0.11359649122807015,0.0,0.03997652618351223,0.009121767398053905,0.4485356870121372,0.2375523686833371,0.1779857053278811,0.4107020150440856,0.3482782127346821,0.10509353324458767,4,1,0.3636363636363637,5,73.0,185.0,77.0,26.0,0,1,0
625,Elias Theodorou vs Thiago Santos,2015-12-10,Elias-Theodorou,17.8,322.0,120.0,14.0,10.0,0.0,0.0,1.4949203235982778,0.6033923941227313,0.4325921430145332,0.0539568328816318,0.004532704921736,0.015450954575378541,0.13775510204081634,0.08333333333333333,0.0,0.045706377710727115,0.0,0.9714217882333368,0.3552274554549608,0.1682710799099804,0.6066993927215671,0.28106500642341303,0.6071559244532976,3,0,0.6756756756756757,3,73.0,185.0,75.0,27.0,1,0,0,1,Thiago-Santos,11.083333333333332,188.0,148.0,3.0,1.0,0.3354841234511132,0.0,2.775515794784853,1.8990332975295383,0.9335664914303368,0.09063568010936432,0.010930324791444223,0.026977056069976427,0.0,0.0,0.0,0.0,0.0,1.602667324506079,0.4803783787939036,0.6924700914848699,1.4061904459075008,0.34445720211859704,1.024868146758755,3,2,0.3225806451612903,5,74.0,205.0,76.0,31.0,1,0,0
1261,Frankie Edgar vs Yair Rodriguez,2017-05-13,Yair-Rodriguez,34.65,789.0,479.0,20.0,21.0,0.029494315208600918,0.0,2.3260337546051835,0.6684344506539289,0.7541312303217065,0.0883635024964284,0.0035384813038260156,0.008255753714757721,0.15277777777777776,0.13378684807256236,0.028860028860028863,0.051377194234337085,0.008245722531436817,1.30980130980131,0.5619424667043714,0.454289978099502,1.6198968579920965,0.1841544698687556,0.5219824267443315,6,0,0.4545454545454545,6,71.0,145.0,71.0,24.0,1,0,0,1,Frankie-Edgar,144.81666666666666,3098.0,2564.0,175.0,47.0,0.004567458069387046,0.0069052825411439755,1.137656186064152,0.35380169691174423,0.6482934867677521,0.08398571896630792,0.0027412329875135017,0.00556098548006021,0.036995670995671,0.1546099290780142,0.008111457574923995,0.04455798124697075,0.0027401914845809425,0.7654885403717611,0.2123631788187966,0.15980446687359404,0.7179988291782136,0.10489433617686053,0.3147630207090775,15,5,0.53475935828877,20,66.0,145.0,68.0,35.0,1,0,0
1339,Nick Hein vs Tae Hyun Bang,2016-09-03,Tae-Hyun-Bang,21.95,316.0,300.0,4.0,28.0,0.029192822508449307,0.0,1.0452915342439626,0.21072004500820626,0.8960300182718901,0.17219040333069546,0.004936868429723019,0.00847331385707359,0.5,0.05683106575963719,0.013016596160104131,0.022684524428397246,0.029192822508449307,0.8815203446564707,0.10299030412802274,0.0607808854594693,0.8649225596519802,0.0390497884803124,0.14131918611167002,2,2,0.26666666666666666,4,69.0,155.0,71.0,33.0,0,0,1,1,Nick-Hein,28.0,428.0,452.0,10.0,9.0,0.010204081632653059,0.0,0.8928571428571429,0.17027806377296173,0.8112244897959184,0.14350011502185414,0.003760733265268725,0.005711701143345968,0.06666666666666668,0.3055555555555556,0.0,0.020408163265306117,0.005102040816326529,0.6275510204081634,0.1173469387755102,0.14795918367346936,0.8520408163265305,0.030612244897959183,0.010204081632653059,3,1,0.7352941176470588,4,66.0,155.0,66.0,32.0,0,1,0
1358,Joe Soto vs Chris Beal,2016-06-18,Chris-Beal,23.85,420.0,407.0,12.0,16.0,0.014711831990878662,0.0,1.06419087551163,0.1715359498608463,1.0864687925263894,0.17390693666690765,0.0034724448881097944,0.005905390618350801,0.14583333333333334,0.18055555555555555,0.005989817310572027,0.07786762503743637,0.01796945193171608,0.8822895813958376,0.13724037557205382,0.0446609185437388,0.489063329182495,0.2756366808005338,0.2994908655286013,2,2,0.4807692307692307,4,67.0,125.0,69.0,30.0,1,0,0,1,Joe-Soto,14.95,317.0,683.0,8.0,9.0,0.0,0.0,1.3746413062273306,0.11496388371757765,2.8014628510040054,1.286842861028508,0.003361109031335937,0.0028655116702794416,0.041666666666666664,0.0925925925925926,0.03822264691829909,0.019111323459149544,0.0,1.1171413690935263,0.10159177207232127,0.15590816506148314,1.3364186593090317,0.0,0.03822264691829909,0,3,0.5235602094240838,3,66.0,135.0,65.0,29.0,1,0,0
990,Keita Nakamura vs Elizeu Zaleski dos Santos,2016-10-01,Keita-Nakamura,38.266666666666666,539.0,719.0,17.0,28.0,0.01420168372203799,0.02613240418118467,0.8374921240229098,0.09046220429942256,1.4730514490500348,0.3566108021764704,0.004124868311677298,0.004302867953884036,0.14705882352941174,0.048214285714285716,0.017934884319350086,0.03413635097843712,0.007466401194624191,0.7370828540246477,0.07137157041926702,0.029037699578995317,0.6259099262557299,0.09733439585595677,0.11424780191122325,2,4,0.5319148936170213,6,71.0,170.0,73.0,32.0,0,1,0,1,Elizeu-Zaleski-dos-Santos,12.05,277.0,244.0,5.0,17.0,0.0,0.0,1.8589446377951369,0.2813480416961845,1.0776643758033182,0.10118657639950496,0.0033511378655173307,0.005582700116253601,0.0,0.057142857142857134,0.0164331785875683,0.0328663571751366,0.028288543140028287,1.260307417819435,0.4499169537582092,0.14872026621749312,1.0967972908731298,0.7220034392295187,0.04014390769248828,1,1,0.4878048780487805,2,71.0,170.0,73.0,29.0,1,0,0
95,Bobby Green vs Rashid Magomedov,2017-04-15,Bobby-Green,34.13333333333333,581.0,661.0,11.0,26.0,0.007642663043478261,0.0,1.3529914648801502,0.40858900177623697,1.2225929611589088,0.1769918840483757,0.004874642261262429,0.005979155013396085,0.13636363636363635,0.09401709401709404,0.004565746753246753,0.01826298701298701,0.009131493506493506,0.7984739293323226,0.309336609784567,0.2451809257632604,1.1111190512569236,0.10566096881803168,0.1362114448051948,4,2,0.2409638554216867,6,70.0,155.0,71.0,30.0,1,0,0,1,Rashid-Magomedov,34.95,618.0,461.0,6.0,22.0,0.02049617203845752,0.0,1.3147544502717874,0.2696347481755207,0.8150536590960218,0.09749371057678488,0.004310718266996545,0.0062417499042007295,0.3333333333333333,0.15795454545454546,0.004087471898630696,0.012262415695892093,0.0,0.6923118770464928,0.3684311900571511,0.2540113831681436,1.0525975295790344,0.1760553543676401,0.0861015663251128,4,1,0.7633587786259541,5,69.0,155.0,70.0,32.0,1,0,0
1438,Ryan Jimmo vs Francimar Barroso,2015-05-30,Ryan-Jimmo,27.41666666666667,252.0,251.0,7.0,18.0,0.3312533237057672,0.0,1.7088601555217957,0.3379442962595373,0.9100986989655356,0.16932979411077034,0.016848756864855742,0.013551057621091708,0.21428571428571427,0.2277777777777777,0.0,0.01563178462874511,0.0,1.1216685897749756,0.24125519373978066,0.34593637200703936,0.7747450863184023,0.4040980420721968,0.5300170271311968,3,3,0.7194244604316548,6,73.0,205.0,73.0,33.0,1,0,0,1,Francimar-Barroso,14.0,130.0,148.0,13.0,9.0,0.0,0.0,0.6836734693877552,0.17498291182501707,0.6428571428571429,0.13108038914490527,0.007918284037687023,0.007844363478166295,0.05961538461538464,0.2083333333333333,0.0,0.010204081632653059,0.0,0.21428571428571427,0.20408163265306128,0.2653061224489796,0.4081632653061225,0.19387755102040816,0.08163265306122447,1,1,0.3003003003003003,2,73.0,205.0,75.0,35.0,1,0,0
1062,Pedro Munhoz vs Justin Scoggins,2016-11-19,Justin-Scoggins,34.5,443.0,259.0,32.0,22.0,0.0,0.0,1.2302223965269956,1.0809842331581463,0.483101997761068,0.08608963319538092,0.008279534109050425,0.014806392147420022,0.12682291666666667,0.11120129870129868,0.012422360248447204,0.2110637539080974,0.0,0.7793026026815906,0.282385903247313,0.16853389059809215,0.7064102061826277,0.14265961416061276,0.3811525761837552,4,2,0.6172839506172839,6,67.0,125.0,66.0,24.0,0,1,0,1,Pedro-Munhoz,18.916666666666664,351.0,507.0,12.0,6.0,0.0,0.0,1.5503847559757769,0.27615061883784353,2.0591614128571054,0.3204702786200584,0.005153262884867917,0.004742134694104497,0.125,0.16666666666666666,0.05132450643081365,0.0,0.0,0.9144944849131192,0.2896819639512668,0.34620830711139083,1.383338106668978,0.05308954149598852,0.11395710781081013,2,2,0.3846153846153846,4,66.0,135.0,65.0,30.0,1,0,0
507,Tonya Evinger vs Lina Lansberg,2019-06-01,Tonya-Evinger,7.366666666666667,101.0,216.0,5.0,1.0,0.0,0.0,1.4602197887294053,0.08313562431209487,4.530769156310008,1.0680618401206636,0.009296738497379149,0.003692527665130405,0.05,1.0,0.0,0.0,0.0,0.5277297308969283,0.5478337206453826,0.3846563371870944,1.084945313424923,0.3752744753044824,0.0,0,2,0.7518796992481203,2,67.0,135.0,70.0,37.0,1,0,0,1,Lina-Lansberg,28.03333333333333,393.0,591.0,9.0,15.0,0.0,0.0,1.3859981741858394,0.14987601734269235,2.1865369460760946,0.37441373172822495,0.007207283497776135,0.003966734831474588,0.12698412698412698,0.09166666666666666,0.005095974180397486,0.0,0.0,0.4628263410432613,0.7460559086416616,0.17711592450091662,0.48825744664208703,0.8671648824613676,0.03057584508238492,2,3,0.2409638554216867,5,67.0,135.0,65.0,37.0,1,0,0
1204,Andrew Sanchez vs Markus Perez,2018-08-25,Markus-Perez,11.466666666666667,64.0,147.0,6.0,5.0,0.0,0.0,0.4518520355035454,0.14939652634677658,1.0427926811127088,0.2950581395348837,0.0234375,0.006392627973175085,0.2333333333333333,0.3,0.051507413100609904,0.09055635444042248,0.0,0.2080750731392869,0.19394307532106908,0.04983388704318936,0.18687707641196014,0.15656766003867706,0.1084072990529082,1,1,0.4484304932735426,2,73.0,185.0,73.0,30.0,1,0,0,1,Andrew-Sanchez,22.833333333333336,534.0,535.0,29.0,3.0,0.02952513737390305,0.0,2.5444461427197425,0.2328564236060155,3.1822801777898966,0.16248021921144126,0.004146132444383918,0.0036698163551939743,0.045812807881773394,0.6666666666666666,0.0,0.05367807375106645,0.0,2.1687108102264343,0.2659618942527168,0.10977343824059152,1.8564249659960308,0.2741324328095426,0.4138887439141683,2,2,0.5555555555555556,4,73.0,185.0,74.0,30.0,1,0,0
1231,Johnny Eduardo vs Eddie Wineland,2014-05-10,Eddie-Wineland,33.016666666666666,815.0,764.0,8.0,22.0,0.015939796496984442,0.0,1.4194082013546918,0.15844918286315182,1.7942561097961962,0.3601950772778555,0.0021133739855242408,0.0046097729531800104,0.16666666666666666,0.17355371900826447,0.0,0.01725250640579173,0.0,1.0993985935989126,0.23114053244894464,0.08886907530683477,1.1640587391608694,0.07816365959023369,0.17718580260358846,3,3,0.8849557522123894,6,67.0,135.0,69.0,29.0,1,0,0,1,Johnny-Eduardo,14.0,239.0,253.0,0.0,10.0,0.0,0.0,0.8061224489795917,0.15524736979393094,0.8571428571428571,0.17862144857943174,0.002763935547592944,0.005024901803681512,,0.1625,0.010204081632653059,0.0,0.0,0.4081632653061225,0.11224489795918367,0.2857142857142857,0.7653061224489797,0.040816326530612235,0.0,1,1,0.11976047904191615,2,67.0,135.0,71.0,35.0,1,0,0
382,Volkan Oezdemir vs Anthony Smith,2018-10-27,Volkan-Oezdemir,11.166666666666664,290.0,273.0,1.0,7.0,0.19189765458422176,0.0,4.678038379530917,0.7900301125949202,3.91044776119403,0.3345314505776637,0.0077925129184480265,0.007690876276274197,0.0,0.19047619047619047,0.0,0.0,0.0,3.5778251599147115,0.6737739872068229,0.4264392324093817,2.852878464818763,1.3134328358208955,0.511727078891258,3,1,0.5952380952380952,4,74.0,205.0,75.0,29.0,1,0,0,1,Anthony-Smith,35.15,550.0,593.0,11.0,23.0,0.06888155452140142,0.0,1.9784617680634955,0.5040621296292802,2.2846500522561195,0.3732432843898579,0.008258459306715106,0.008032017691612313,0.06666666666666668,0.16376811594202895,0.010457361137432102,0.0268555820545551,0.02009015166909904,1.5438058192538138,0.2289822632814945,0.2056736855281872,1.5375846231349897,0.2780129366619169,0.16286420826658893,6,3,0.4,9,76.0,205.0,76.0,30.0,1,0,0
