,TEAM,COUNTRY,WT CLASS
vladimir-matyushenko,VMAT,Belarus,Light Heavyweight
ben-rothwell,Rothwell MMA,USA,Heavyweight
chase-gormley,Reign MMA,USA,
alexander-gustafsson,Allstars Training Center,Sweden,Light Heavyweight
jared-hamman,Dynamix MMA,USA,Light Heavyweight
jacob-volkmann,,,
rogerio-nogueira,Team Nogueira,Brazil,Light Heavyweight
phil-baroni,AKA (American Kickboxing Academy),USA,Middleweight
fabricio-camoes,Black House MMA,Brazil,Middleweight
brendan-schaub,Reign MMA,USA,Heavyweight
roy-nelson,Country Club,USA,Heavyweight
kevin-ferguson,American Top Team,USA,Heavyweight
marcus-jones,,,Heavyweight
matt-mitrione,Integrated Fighting Academy,USA,Heavyweight
james-mcsweeney,Tiger Muay Thai,England,
darrill-schoonover,,USA,
jon-madsen,,USA,Heavyweight
justin-wren,,USA,
rodney-wallace,Chute Boxe,USA,Light Heavyweight
dennis-hallman,Victory MMA,USA,Lightweight
joe-brammer,,,Lightweight
gilbert-yvel,,Netherlands,Heavyweight
john-gunderson,,,
mike-guymon,,,Welterweight
rory-macdonald,TriStar Gym,Canada,Welterweight
gerald-harris,,,
john-salter,,USA,Middleweight
ronys-torres,Nova Uniao,Brazil,
phil-davis,Alliance MMA,USA,Light Heavyweight
rolles-gracie,Renzo Gracie Jiu-Jitsu,Brazil,
joey-beltran,,,
james-te-huna,Pirtek Athletic Allstars,New Zealand,Middleweight
darren-elkins,Team Alpha Male,USA,Featherweight
daniel-roberts,,USA,Welterweight
julio-paulino,,,
greg-soto,Pellegrino MMA,USA,Welterweight
takanori-gomi,Kugayama Rascal,Japan,Lightweight
mario-miranda,Black House MMA,Brazil,Middleweight
jason-high,American Top Team,USA,
charlie-brenneman,AMA Fight Club,USA,Welterweight
renzo-gracie,Renzo Gracie Jiu-Jitsu,Brazil,Middleweight
waylon-lowe,American Top Team,USA,Lightweight
cyrille-diabate,Snake Team,France,Light Heavyweight
claude-patrick,Elite Mixed Fighters,Canada,Welterweight
court-mcgee,FactoryX Muay Thai,USA,Welterweight
kris-mccray,,USA,Middleweight
rich-attonito,American Top Team,USA,Middleweight
jamie-yager,,USA,Middleweight
mark-holst,,,Lightweight
seth-baczynski,Power MMA Team,USA,Welterweight
brad-tavares,Xtreme Couture,USA,Middleweight
josh-bryant,,,Middleweight
kyle-noke,Integrated MMA,Australia,Welterweight
james-hammortree,,,
chris-camozzi,FactoryX Muay Thai,USA,Middleweight
travis-browne,Glendale Fighting Club,USA,Heavyweight
ricardo-romero,AMA Fight Club,USA,Light Heavyweight
david-branch,Renzo Gracie Jiu-Jitsu,USA,Middleweight
karlos-vemola,London Shootfighters,Czech Republic,Light Heavyweight
charles-oliveira,Chute Boxe,Brazil,Lightweight
todd-brown,,USA,Light Heavyweight
christian-morecraft,,,
james-toney,,,Heavyweight
amilcar-alves,,,Welterweight
rafael-natal,Renzo Gracie Jiu-Jitsu,Brazil,Middleweight
david-mitchell,Team Alpha Male,USA,Welterweight
tj-waldburger,Grapplers Lair Fight Team,USA,Lightweight
pat-audinwood,Team BombSquad,USA,
mark-hunt,American Top Team,New Zealand,Heavyweight
sean-mccorkle,,USA,Heavyweight
rob-broughton,Wolfslair Academy,England,Heavyweight
vinicius-queiroz,,Brazil,
paul-sass,Team Kaobon,England,
curt-warburton,Nevt,England,Lightweight
fabio-maldonado,Team Nogueira,Brazil,Light Heavyweight
jake-shields,Cesar Gracie Jiu-Jitsu,USA,Middleweight
dongi-yang,Korean Top Team,South Korea,Middleweight
alexandre-ferreira,Chute Boxe,Brazil,Light Heavyweight
pascal-krauss,Roufusport,Germany,Welterweight
mark-scanlon,Team Kaobon,England,
carlos-eduardo-rocha,Team Nogueira,Brazil,Welterweight
maiquel-falcao,Independent MMA,Brazil,Light Heavyweight
