,fight,loser,odds_l,odds_w,winner,FIGHTERS
1397,Derrick Lewis vs Shamil Abdurakhimov,Shamil-Abdurakhimov,3.1,1.47,Derrick-Lewis,Derrick-Lewis vs. Shamil-Abdurakhimov
1398,Francis Ngannou vs Anthony Hamilton,Anthony-Hamilton,5.0,1.22,Francis-Ngannou,Anthony-Hamilton vs. Francis-Ngannou
1399,Corey Anderson vs Sean O'Connell,Sean-O'Connell,4.48,1.26,Corey-Anderson,"Corey-Anderson', ""Sean-O'Connell""]"
1400,Saparbek Safarov vs Gian Villante,Saparbek-Safarov,2.6,1.6,Gian-Villante,Gian-Villante vs. Saparbek-Safarov
1401,Justine Kish vs Ashley Yoder,Ashley-Yoder,2.96,1.48,Justine-Kish,Ashley-Yoder vs. Justine-Kish
1402,Randy Brown vs Brian Camozzi,Brian-Camozzi,2.4,1.67,Randy-Brown,Brian-Camozzi vs. Randy-Brown
1403,Gerald Meerschaert vs Joseph Gigliotti,Joseph-Gigliotti,2.9,1.52,Gerald-Meerschaert,Gerald-Meerschaert vs. Joseph-Gigliotti
1404,Andrew Sanchez vs Trevor Smith,Trevor-Smith,2.8,1.53,Andrew-Sanchez,Andrew-Sanchez vs. Trevor-Smith
1405,Tiago Trator vs Shane Burgos,Tiago-Trator,2.5,1.64,Shane-Burgos,Shane-Burgos vs. Tiago-Trator
1406,Frankie Perez vs Marc Diakiese,Frankie-Perez,3.41,1.37,Marc-Diakiese,Frankie-Perez vs. Marc-Diakiese
1407,Keith Berish vs Ryan Janes,Keith-Berish,3.12,1.43,Ryan-Janes,Keith-Berish vs. Ryan-Janes
1408,J.J. Aldrich vs Juliana Lima,J.J.-Aldrich,3.2,1.44,Juliana-Lima,J.J.-Aldrich vs. Juliana-Lima
1409,Demetrious Johnson vs Tim Elliott,Tim-Elliott,9.0,1.08,Demetrious-Johnson,Demetrious-Johnson vs. Tim-Elliott
1410,Joseph Benavidez vs Henry Cejudo,Henry-Cejudo,2.74,1.55,Joseph-Benavidez,Henry-Cejudo vs. Joseph-Benavidez
1411,Jorge Masvidal vs Jake Ellenberger,Jake-Ellenberger,2.8,1.49,Jorge-Masvidal,Jake-Ellenberger vs. Jorge-Masvidal
1412,Ion Cutelaba vs Jared Cannonier,Ion-Cutelaba,1.49,2.9,Jared-Cannonier,Ion-Cutelaba vs. Jared-Cannonier
1413,Sara McMann vs Alexis Davis,Alexis-Davis,2.67,1.55,Sara-McMann,Alexis-Davis vs. Sara-McMann
1414,Brandon Moreno vs Ryan Benoit,Ryan-Benoit,2.05,1.87,Brandon-Moreno,Brandon-Moreno vs. Ryan-Benoit
1415,Gray Maynard vs Ryan Hall,Gray-Maynard,1.88,2.1,Ryan-Hall,Gray-Maynard vs. Ryan-Hall
1416,Rob Font vs Matt Schnell,Matt-Schnell,3.1,1.44,Rob-Font,Matt-Schnell vs. Rob-Font
1417,Brendan O'Reilly vs Dong Hyun Ma,Brendan-O'Reilly,2.02,1.87,Dong-Hyun-Ma,"[""Brendan-O'Reilly"", 'Dong-Hyun-Ma"
1418,Kailin Curran vs Jamie Moyle,Kailin-Curran,1.68,2.36,Jamie-Moyle,Jamie-Moyle vs. Kailin-Curran
1419,Elvis Mutapcic vs Anthony Smith,Elvis-Mutapcic,2.01,1.89,Anthony-Smith,Anthony-Smith vs. Elvis-Mutapcic
1420,Josh Stansbury vs Devin Clark,Josh-Stansbury,1.87,2.02,Devin-Clark,Devin-Clark vs. Josh-Stansbury
1421,Robert Whittaker vs Derek Brunson,Derek-Brunson,1.75,2.25,Robert-Whittaker,Derek-Brunson vs. Robert-Whittaker
1422,Jake Matthews vs Andrew Holbrook,Jake-Matthews,1.22,5.0,Andrew-Holbrook,Andrew-Holbrook vs. Jake-Matthews
1423,Omari Akhmedov vs Kyle Noke,Kyle-Noke,2.35,1.72,Omari-Akhmedov,Kyle-Noke vs. Omari-Akhmedov
1424,Yusuke Kasuya vs Alex Volkanovski,Yusuke-Kasuya,2.65,1.57,Alex-Volkanovski,Alex-Volkanovski vs. Yusuke-Kasuya
1425,Khalil Rountree vs Tyson Pedro,Khalil-Rountree,1.89,2.15,Tyson-Pedro,Khalil-Rountree vs. Tyson-Pedro
1426,Seo Hee Ham vs Danielle Taylor,Seo-Hee-Ham,1.89,2.15,Danielle-Taylor,Danielle-Taylor vs. Seo-Hee-Ham
1427,Daniel Kelly vs Chris Camozzi,Chris-Camozzi,1.48,3.0,Daniel-Kelly,Chris-Camozzi vs. Daniel-Kelly
1428,Damien Brown vs Jon Tuck,Jon-Tuck,1.81,2.2,Damien-Brown,Damien-Brown vs. Jon-Tuck
1429,Richard Walsh vs Jonathan Meunier,Richard-Walsh,1.91,2.05,Jonathan-Meunier,Jonathan-Meunier vs. Richard-Walsh
1430,Geane Herrera vs Ben Nguyen,Geane-Herrera,2.1,1.91,Ben-Nguyen,Ben-Nguyen vs. Geane-Herrera
1431,Daniel Hooker vs Jason Knight,Daniel-Hooker,1.65,2.45,Jason-Knight,Daniel-Hooker vs. Jason-Knight
1432,Marlon Vera vs Ning Guangyou,Ning-Guangyou,2.15,2.05,Marlon-Vera,Marlon-Vera vs. Ning-Guangyou
1433,Jenel Lausa vs Zhuikui Yao,Zhuikui-Yao,2.17,1.87,Jenel-Lausa,Jenel-Lausa vs. Zhuikui-Yao
1434,Ryan Bader vs Rogerio Nogueira,Rogerio-Nogueira,3.65,1.3,Ryan-Bader,Rogerio-Nogueira vs. Ryan-Bader
1435,Thomas Almeida vs Albert Morales,Albert-Morales,3.69,1.35,Thomas-Almeida,Albert-Morales vs. Thomas-Almeida
1436,Claudia Gadelha vs Cortney Casey,Cortney-Casey,3.98,1.28,Claudia-Gadelha,Claudia-Gadelha vs. Cortney-Casey
1437,Thales Leites vs Krzysztof Jotko,Thales-Leites,1.65,2.26,Krzysztof-Jotko,Krzysztof-Jotko vs. Thales-Leites
1438,Warlley Alves vs Kamaru Usman,Warlley-Alves,2.85,1.5,Kamaru-Usman,Kamaru-Usman vs. Warlley-Alves
1439,Sergio Moraes vs Zak Ottow,Zak-Ottow,2.85,1.43,Sergio-Moraes,Sergio-Moraes vs. Zak-Ottow
1440,Jack Hermansson vs Cezar Ferreira,Jack-Hermansson,1.95,1.8,Cezar-Ferreira,Cezar-Ferreira vs. Jack-Hermansson
1441,Marcos Rogerio de Lima vs Gadzhimurad Antigulov,Marcos-Rogerio-de-Lima,1.56,2.47,Gadzhimurad-Antigulov,Gadzhimurad-Antigulov vs. Marcos-Rogerio-de-Lima
1442,Johnny Eduardo vs Manny Gamburyan,Manny-Gamburyan,2.97,1.41,Johnny-Eduardo,Johnny-Eduardo vs. Manny-Gamburyan
1443,Luis Henrique vs Christian Colombo,Christian-Colombo,3.2,1.35,Luis-Henrique,Christian-Colombo vs. Luis-Henrique
1444,Pedro Munhoz vs Justin Scoggins,Justin-Scoggins,1.62,2.6,Pedro-Munhoz,Justin-Scoggins vs. Pedro-Munhoz
1445,Francimar Barroso vs Darren Stewart,Francimar-Barroso,1.69,2.15,Darren-Stewart,Darren-Stewart vs. Francimar-Barroso
1446,Gegard Mousasi vs Urijah Hall,Urijah-Hall,5.5,1.2,Gegard-Mousasi,Gegard-Mousasi vs. Urijah-Hall
1447,Gegard Mousasi vs Urijah Hall,Gegard-Mousasi,1.2,5.5,Urijah-Hall,Gegard-Mousasi vs. Urijah-Hall
1448,Gegard Mousasi vs Urijah Hall,Urijah-Hall,5.49,1.2,Gegard-Mousasi,Gegard-Mousasi vs. Urijah-Hall
1449,Gegard Mousasi vs Urijah Hall,Gegard-Mousasi,1.2,5.49,Urijah-Hall,Gegard-Mousasi vs. Urijah-Hall
1450,Ross Pearson vs Stevie Ray,Ross-Pearson,1.96,1.95,Stevie-Ray,Ross-Pearson vs. Stevie-Ray
1451,Timothy Johnson vs Alexander Volkov,Timothy-Johnson,1.74,2.35,Alexander-Volkov,Alexander-Volkov vs. Timothy-Johnson
1452,Artem Lobov vs Teruto Ishihara,Teruto-Ishihara,1.44,3.2,Artem-Lobov,Artem-Lobov vs. Teruto-Ishihara
1453,Magnus Cedenblad vs Jack Marshman,Magnus-Cedenblad,1.43,3.2,Jack-Marshman,Jack-Marshman vs. Magnus-Cedenblad
1454,Kyoji Horiguchi vs Ali Bagautinov,Ali-Bagautinov,2.85,1.53,Kyoji-Horiguchi,Ali-Bagautinov vs. Kyoji-Horiguchi
1455,Kevin Lee vs Magomed Mustafaev,Magomed-Mustafaev,2.1,1.87,Kevin-Lee,Kevin-Lee vs. Magomed-Mustafaev
1456,Anna Elmose vs Amanda Cooper,Anna-Elmose,2.12,1.95,Amanda-Cooper,Amanda-Cooper vs. Anna-Elmose
1457,Justin Ledet vs Mark Godbeer,Mark-Godbeer,2.32,1.74,Justin-Ledet,Justin-Ledet vs. Mark-Godbeer
1458,Zak Cummings vs Alexander Yakovlev,Alexander-Yakovlev,2.5,1.63,Zak-Cummings,Alexander-Yakovlev vs. Zak-Cummings
1459,Marion Reneau vs Milana Dudieva,Milana-Dudieva,2.95,1.5,Marion-Reneau,Marion-Reneau vs. Milana-Dudieva
1460,Brett Johns vs Kwan Ho Kwak,Kwan-Ho-Kwak,2.9,1.48,Brett-Johns,Brett-Johns vs. Kwan-Ho-Kwak
1461,Abdul Razak Alhassan vs Charlie Ward,Charlie-Ward,3.8,1.34,Abdul-Razak-Alhassan,Abdul-Razak-Alhassan vs. Charlie-Ward
1462,Eddie Alvarez vs Conor McGregor,Eddie-Alvarez,2.3,1.8,Conor-McGregor,Conor-McGregor vs. Eddie-Alvarez
1463,Joanna Jedrzejczyk vs Karolina Kowalkiewicz,Karolina-Kowalkiewicz,4.95,1.29,Joanna-Jedrzejczyk,Joanna-Jedrzejczyk vs. Karolina-Kowalkiewicz
1464,Chris Weidman vs Yoel Romero,Chris-Weidman,1.62,2.58,Yoel-Romero,Chris-Weidman vs. Yoel-Romero
1465,Miesha Tate vs Raquel Pennington,Miesha-Tate,1.62,2.62,Raquel-Pennington,Miesha-Tate vs. Raquel-Pennington
1466,Frankie Edgar vs Jeremy Stephens,Jeremy-Stephens,3.8,1.33,Frankie-Edgar,Frankie-Edgar vs. Jeremy-Stephens
1467,Michael Johnson vs Khabib Nurmagomedov,Michael-Johnson,3.68,1.36,Khabib-Nurmagomedov,Khabib-Nurmagomedov vs. Michael-Johnson
1468,Rafael Natal vs Tim Boetsch,Rafael-Natal,1.65,2.38,Tim-Boetsch,Rafael-Natal vs. Tim-Boetsch
1469,Belal Muhammad vs Vicente Luque,Belal-Muhammad,2.0,1.91,Vicente-Luque,Belal-Muhammad vs. Vicente-Luque
1470,Thiago Alves vs Jim Miller,Thiago-Alves,1.67,2.4,Jim-Miller,Jim-Miller vs. Thiago-Alves
1471,Liz Carmouche vs Katlyn Chookagian,Katlyn-Chookagian,1.62,2.5,Liz-Carmouche,Katlyn-Chookagian vs. Liz-Carmouche
1472,Rafael dos Anjos vs Tony Ferguson,Rafael-dos-Anjos,1.8,2.28,Tony-Ferguson,Rafael-dos-Anjos vs. Tony-Ferguson
1473,Diego Sanchez vs Marcin Held,Marcin-Held,1.53,2.86,Diego-Sanchez,Diego-Sanchez vs. Marcin-Held
1474,Ricardo Lamas vs Charles Oliveira,Charles-Oliveira,1.89,2.01,Ricardo-Lamas,Charles-Oliveira vs. Ricardo-Lamas
1475,Martin Bravo vs Claudio Puelles,Claudio-Puelles,1.94,2.03,Martin-Bravo,Claudio-Puelles vs. Martin-Bravo
1476,Beneil Dariush vs Rashid Magomedov,Rashid-Magomedov,1.62,2.6,Beneil-Dariush,Beneil-Dariush vs. Rashid-Magomedov
1477,Alexa Grasso vs Heather Clark,Heather-Clark,4.89,1.24,Alexa-Grasso,Alexa-Grasso vs. Heather-Clark
1478,Erik Perez vs Felipe Arantes,Felipe-Arantes,2.86,1.5,Erik-Perez,Erik-Perez vs. Felipe-Arantes
1479,Joe Soto vs Marco Beltran,Marco-Beltran,2.06,1.87,Joe-Soto,Joe-Soto vs. Marco-Beltran
1480,Erick Montano vs Max Griffin,Erick-Montano,2.36,1.61,Max-Griffin,Erick-Montano vs. Max-Griffin
1481,Enrique Briones vs Douglas Silva de Andrade,Enrique-Briones,2.46,1.57,Douglas-Silva-de-Andrade,Douglas-Silva-de-Andrade vs. Enrique-Briones
1482,Sam Alvey vs Alex Nicholson,Alex-Nicholson,2.92,1.4,Sam-Alvey,Alex-Nicholson vs. Sam-Alvey
1483,Marco Polo Reyes vs Jason Novelli,Jason-Novelli,2.56,1.54,Marco-Polo-Reyes,Jason-Novelli vs. Marco-Polo-Reyes
1484,Enrique Barzola vs Chris Avila,Chris-Avila,4.77,1.2,Enrique-Barzola,Chris-Avila vs. Enrique-Barzola
1485,Michael Bisping vs Dan Henderson,Dan-Henderson,3.2,1.43,Michael-Bisping,Dan-Henderson vs. Michael-Bisping
1486,Gegard Mousasi vs Vitor Belfort,Vitor-Belfort,3.95,1.32,Gegard-Mousasi,Gegard-Mousasi vs. Vitor-Belfort
1487,Ovince St Preux vs Jimi Manuwa,Ovince-St-Preux,1.67,2.45,Jimi-Manuwa,Jimi-Manuwa vs. Ovince-St-Preux
1488,Stefan Struve vs Daniel Omielanczuk,Daniel-Omielanczuk,2.6,1.59,Stefan-Struve,Daniel-Omielanczuk vs. Stefan-Struve
1489,Russell Doane vs Mirsad Bektic,Russell-Doane,6.05,1.18,Mirsad-Bektic,Mirsad-Bektic vs. Russell-Doane
1490,Brad Pickett vs Yuri Alcantara,Brad-Pickett,2.38,1.74,Yuri-Alcantara,Brad-Pickett vs. Yuri-Alcantara
1491,Davey Grant vs Damian Stasiak,Davey-Grant,1.57,2.7,Damian-Stasiak,Damian-Stasiak vs. Davey-Grant
1492,Albert Tumenov vs Leon Edwards,Albert-Tumenov,1.46,3.05,Leon-Edwards,Albert-Tumenov vs. Leon-Edwards
1493,Marc Diakiese vs Lukasz Sajewski,Lukasz-Sajewski,3.55,1.4,Marc-Diakiese,Lukasz-Sajewski vs. Marc-Diakiese
1494,Danny Roberts vs Mike Perry,Danny-Roberts,1.94,2.0,Mike-Perry,Danny-Roberts vs. Mike-Perry
1495,Leonardo Santos vs Adriano Martins,Adriano-Martins,1.53,2.85,Leonardo-Santos,Adriano-Martins vs. Leonardo-Santos
1496,John Lineker vs John Dodson,John-Dodson,1.85,2.1,John-Lineker,John-Dodson vs. John-Lineker
1497,Will Brooks vs Alex Oliveira,Will-Brooks,1.36,3.65,Alex-Oliveira,Alex-Oliveira vs. Will-Brooks
1498,Josh Burkman vs Zak Ottow,Josh-Burkman,1.43,3.15,Zak-Ottow,Josh-Burkman vs. Zak-Ottow
1499,Brandon Moreno vs Louis Smolka,Louis-Smolka,1.23,4.9,Brandon-Moreno,Brandon-Moreno vs. Louis-Smolka
1500,Luis Henrique da Silva vs Joachim Christensen,Joachim-Christensen,2.2,1.85,Luis-Henrique-da-Silva,Joachim-Christensen vs. Luis-Henrique-da-Silva
1501,Andre Fili vs Hacran Dias,Hacran-Dias,1.61,2.6,Andre-Fili,Andre-Fili vs. Hacran-Dias
1502,Nate Marquardt vs Tamdan McCrory,Tamdan-McCrory,1.44,2.9,Nate-Marquardt,Nate-Marquardt vs. Tamdan-McCrory
1503,Walt Harris vs Shamil Abdurakhimov,Walt-Harris,2.13,1.81,Shamil-Abdurakhimov,Shamil-Abdurakhimov vs. Walt-Harris
1504,Cody East vs Curtis Blaydes,Cody-East,3.05,1.45,Curtis-Blaydes,Cody-East vs. Curtis-Blaydes
1505,Keita Nakamura vs Elizeu Zaleski dos Santos,Keita-Nakamura,1.88,2.05,Elizeu-Zaleski-dos-Santos,Elizeu-Zaleski-dos-Santos vs. Keita-Nakamura
1506,Jonathan Wilson vs Ion Cutelaba,Jonathan-Wilson,2.65,1.62,Ion-Cutelaba,Ion-Cutelaba vs. Jonathan-Wilson
1507,Kelly Faszholz vs Ketlen Vieira,Kelly-Faszholz,1.91,2.05,Ketlen-Vieira,Kelly-Faszholz vs. Ketlen-Vieira
1508,Cristiane Justino vs Lina Lansberg,Lina-Lansberg,9.5,1.1,Cristiane-Justino,Cristiane-Justino vs. Lina-Lansberg
1509,Renan Barao vs Phillipe Nover,Phillipe-Nover,5.1,1.24,Renan-Barao,Phillipe-Nover vs. Renan-Barao
1510,Antonio Silva vs Roy Nelson,Antonio-Silva,4.9,1.24,Roy-Nelson,Antonio-Silva vs. Roy-Nelson
1511,Francisco Trinaldo vs Paul Felder,Paul-Felder,2.1,1.89,Francisco-Trinaldo,Francisco-Trinaldo vs. Paul-Felder
1512,Thiago Santos vs Eric Spicely,Thiago-Santos,1.17,6.05,Eric-Spicely,Eric-Spicely vs. Thiago-Santos
1513,Godofredo Pepey vs Mike de la Torre,Mike-de-la-Torre,2.25,1.93,Godofredo-Pepey,Godofredo-Pepey vs. Mike-de-la-Torre
1514,Gilbert Burns vs Michel Prazeres,Gilbert-Burns,1.48,3.15,Michel-Prazeres,Gilbert-Burns vs. Michel-Prazeres
1515,Michinori Tanaka vs Rani Yahya,Michinori-Tanaka,2.15,1.93,Rani-Yahya,Michinori-Tanaka vs. Rani-Yahya
1516,Jussier Formiga vs Dustin Ortiz,Dustin-Ortiz,2.68,1.56,Jussier-Formiga,Dustin-Ortiz vs. Jussier-Formiga
1517,Erick Silva vs Luan Chagas,Luan-Chagas,1.93,2.4,Erick-Silva,Erick-Silva vs. Luan-Chagas
1518,Alan Patrick vs Stevie Ray,Stevie-Ray,1.65,2.5,Alan-Patrick,Alan-Patrick vs. Stevie-Ray
1519,Vicente Luque vs Hector Urbina,Hector-Urbina,5.35,1.22,Vicente-Luque,Hector-Urbina vs. Vicente-Luque
1520,Glaico Franca vs Gregor Gillespie,Glaico-Franca,1.81,2.2,Gregor-Gillespie,Glaico-Franca vs. Gregor-Gillespie
1521,Dustin Poirier vs Michael Johnson,Dustin-Poirier,1.63,2.5,Michael-Johnson,Dustin-Poirier vs. Michael-Johnson
1522,Urijah Hall vs Derek Brunson,Urijah-Hall,2.85,1.53,Derek-Brunson,Derek-Brunson vs. Urijah-Hall
1523,Evan Dunham vs Rick Glenn,Rick-Glenn,4.0,1.32,Evan-Dunham,Evan-Dunham vs. Rick-Glenn
1524,Roan Carneiro vs Kenny Robertson,Kenny-Robertson,1.95,2.1,Roan-Carneiro,Kenny-Robertson vs. Roan-Carneiro
1525,Chris Wade vs Islam Makhachev,Chris-Wade,2.15,1.85,Islam-Makhachev,Chris-Wade vs. Islam-Makhachev
1526,Chas Skelly vs Maximo Blanco,Maximo-Blanco,2.75,1.59,Chas-Skelly,Chas-Skelly vs. Maximo-Blanco
1527,Sam Sicilia vs Gabriel Benitez,Sam-Sicilia,1.81,2.25,Gabriel-Benitez,Gabriel-Benitez vs. Sam-Sicilia
1528,Augusto Montano vs Belal Muhammad,Augusto-Montano,4.9,1.25,Belal-Muhammad,Augusto-Montano vs. Belal-Muhammad
1529,Antonio Carlos Junior vs Leonardo Guimaraes,Leonardo-Guimaraes,3.35,1.44,Antonio-Carlos-Junior,Antonio-Carlos-Junior vs. Leonardo-Guimaraes
1530,Joey Gomez vs Jose Quinonez,Joey-Gomez,1.75,2.38,Jose-Quinonez,Joey-Gomez vs. Jose-Quinonez
1531,Erick Montano vs Randy Brown,Erick-Montano,4.8,1.25,Randy-Brown,Erick-Montano vs. Randy-Brown
1532,Stipe Miocic vs Alistair Overeem,Alistair-Overeem,2.05,1.9,Stipe-Miocic,Alistair-Overeem vs. Stipe-Miocic
1533,Fabricio Werdum vs Travis Browne,Travis-Browne,2.88,1.5,Fabricio-Werdum,Fabricio-Werdum vs. Travis-Browne
1534,Fabricio Werdum vs Travis Browne,Travis-Browne,1.45,3.15,Fabricio-Werdum,Fabricio-Werdum vs. Travis-Browne
1535,Mickey Gall vs Phil Brooks,Phil-Brooks,4.89,1.25,Mickey-Gall,Mickey-Gall vs. Phil-Brooks
1536,Urijah Faber vs Jimmie Rivera,Urijah-Faber,2.5,1.63,Jimmie-Rivera,Jimmie-Rivera vs. Urijah-Faber
1537,Joanne Calderwood vs Jessica Andrade,Joanne-Calderwood,2.25,1.76,Jessica-Andrade,Jessica-Andrade vs. Joanne-Calderwood
1538,Jessica Eye vs Bethe Correia,Jessica-Eye,1.71,2.3,Bethe-Correia,Bethe-Correia vs. Jessica-Eye
1539,Brad Tavares vs Caio Magalhaes,Caio-Magalhaes,2.7,1.55,Brad-Tavares,Brad-Tavares vs. Caio-Magalhaes
1540,Michael McBride vs Nik Lentz,Michael-McBride,4.85,1.24,Nik-Lentz,Michael-McBride vs. Nik-Lentz
1541,Jason Gonzalez vs Drew Dober,Jason-Gonzalez,2.5,1.65,Drew-Dober,Drew-Dober vs. Jason-Gonzalez
1542,Yancy Medeiros vs Sean Spencer,Sean-Spencer,2.2,1.82,Yancy-Medeiros,Sean-Spencer vs. Yancy-Medeiros
1543,Andrei Arlovski vs Josh Barnett,Andrei-Arlovski,2.4,1.67,Josh-Barnett,Andrei-Arlovski vs. Josh-Barnett
1544,Alexander Gustafsson vs Jan Blachowicz,Jan-Blachowicz,6.35,1.17,Alexander-Gustafsson,Alexander-Gustafsson vs. Jan-Blachowicz
1545,Ryan Bader vs Ilir Latifi,Ilir-Latifi,2.86,1.5,Ryan-Bader,Ilir-Latifi vs. Ryan-Bader
1546,Nick Hein vs Tae Hyun Bang,Tae-Hyun-Bang,3.75,1.36,Nick-Hein,Nick-Hein vs. Tae-Hyun-Bang
1547,Jessin Ayari vs Jim Wallhead,Jim-Wallhead,1.74,2.25,Jessin-Ayari,Jessin-Ayari vs. Jim-Wallhead
1548,Nicolas Dalby vs Peter Sobotta,Nicolas-Dalby,1.62,2.68,Peter-Sobotta,Nicolas-Dalby vs. Peter-Sobotta
1549,Veronica Macedo vs Ashlee Evans-Smith,Veronica-Macedo,3.35,1.4,Ashlee-Evans-Smith,Ashlee-Evans-Smith vs. Veronica-Macedo
1550,Leandro Issa vs Taylor Lapilus,Leandro-Issa,2.4,1.67,Taylor-Lapilus,Leandro-Issa vs. Taylor-Lapilus
1551,Scott Askham vs Jack Hermansson,Scott-Askham,1.99,2.0,Jack-Hermansson,Jack-Hermansson vs. Scott-Askham
1552,Rustam Khabilov vs Leandro Silva,Leandro-Silva,4.75,1.25,Rustam-Khabilov,Leandro-Silva vs. Rustam-Khabilov
1553,Carlos Condit vs Demian Maia,Carlos-Condit,1.89,2.1,Demian-Maia,Carlos-Condit vs. Demian-Maia
1554,Anthony Pettis vs Charles Oliveira,Charles-Oliveira,2.85,1.53,Anthony-Pettis,Anthony-Pettis vs. Charles-Oliveira
1555,Paige VanZant vs Bec Rawlings,Bec-Rawlings,2.9,1.49,Paige-VanZant,Bec-Rawlings vs. Paige-VanZant
1556,Joe Lauzon vs Jim Miller,Joe-Lauzon,1.74,2.25,Jim-Miller,Jim-Miller vs. Joe-Lauzon
1557,Sam Alvey vs Kevin Casey,Kevin-Casey,3.25,1.45,Sam-Alvey,Kevin-Casey vs. Sam-Alvey
1558,Enrique Barzola vs Kyle Bochniak,Enrique-Barzola,2.5,1.66,Kyle-Bochniak,Enrique-Barzola vs. Kyle-Bochniak
1559,Garreth McLellan vs Alessio Di Chirico,Garreth-McLellan,3.6,1.37,Alessio-Di-Chirico,Alessio-Di-Chirico vs. Garreth-McLellan
1560,Shane Campbell vs Felipe Silva,Shane-Campbell,1.73,2.45,Felipe-Silva,Felipe-Silva vs. Shane-Campbell
1561,Chad Laprise vs Thibault Gouti,Thibault-Gouti,3.9,1.36,Chad-Laprise,Chad-Laprise vs. Thibault-Gouti
1562,Alex Ricci vs Jeremy Kennedy,Alex-Ricci,2.35,1.71,Jeremy-Kennedy,Alex-Ricci vs. Jeremy-Kennedy
1563,Conor McGregor vs Nate Diaz,Nate-Diaz,2.1,1.83,Conor-McGregor,Conor-McGregor vs. Nate-Diaz
1564,Anthony Johnson vs Glover Teixeira,Glover-Teixeira,2.9,1.58,Anthony-Johnson,Anthony-Johnson vs. Glover-Teixeira
1565,Donald Cerrone vs Rick Story,Rick-Story,2.2,1.87,Donald-Cerrone,Donald-Cerrone vs. Rick-Story
1566,Mike Perry vs Hyun Gyu Lim,Hyun-Gyu-Lim,1.42,3.3,Mike-Perry,Hyun-Gyu-Lim vs. Mike-Perry
1567,Tim Means vs Sabah Homasi,Sabah-Homasi,4.4,1.26,Tim-Means,Sabah-Homasi vs. Tim-Means
1568,Cody Garbrandt vs Takeya Mizugaki,Takeya-Mizugaki,5.2,1.24,Cody-Garbrandt,Cody-Garbrandt vs. Takeya-Mizugaki
1569,Raquel Pennington vs Elizabeth Phillips,Elizabeth-Phillips,3.3,1.4,Raquel-Pennington,Elizabeth-Phillips vs. Raquel-Pennington
1570,Artem Lobov vs Chris Avila,Chris-Avila,2.07,1.87,Artem-Lobov,Artem-Lobov vs. Chris-Avila
1571,Randa Markos vs Cortney Casey,Randa-Markos,1.77,2.3,Cortney-Casey,Cortney-Casey vs. Randa-Markos
1572,Neil Magny vs Lorenz Larkin,Neil-Magny,1.91,2.2,Lorenz-Larkin,Lorenz-Larkin vs. Neil-Magny
1573,Colby Covington vs Max Griffin,Max-Griffin,3.95,1.33,Colby-Covington,Colby-Covington vs. Max-Griffin
1574,Alberto Emiliano Pereira vs Marvin Vettori,Alberto-Emiliano-Pereira,2.5,1.63,Marvin-Vettori,Alberto-Emiliano-Pereira vs. Marvin-Vettori
1575,Yair Rodriguez vs Alex Caceres,Alex-Caceres,3.45,1.38,Yair-Rodriguez,Alex-Caceres vs. Yair-Rodriguez
1576,Dennis Bermudez vs Rony Jason,Rony-Jason,3.15,1.44,Dennis-Bermudez,Dennis-Bermudez vs. Rony-Jason
1577,Thales Leites vs Chris Camozzi,Chris-Camozzi,2.55,1.61,Thales-Leites,Chris-Camozzi vs. Thales-Leites
1578,Zak Cummings vs Santiago Ponzinibbio,Zak-Cummings,2.1,1.89,Santiago-Ponzinibbio,Santiago-Ponzinibbio vs. Zak-Cummings
1579,Trevor Smith vs Joseph Gigliotti,Joseph-Gigliotti,1.85,2.2,Trevor-Smith,Joseph-Gigliotti vs. Trevor-Smith
1580,Maryna Moroz vs Danielle Taylor,Danielle-Taylor,3.36,1.4,Maryna-Moroz,Danielle-Taylor vs. Maryna-Moroz
1581,Court McGee vs Dominique Steele,Dominique-Steele,2.9,1.52,Court-McGee,Court-McGee vs. Dominique-Steele
1582,Marcin Tybura vs Viktor Pesta,Viktor-Pesta,2.25,1.74,Marcin-Tybura,Marcin-Tybura vs. Viktor-Pesta
1583,David Teymur vs Jason Novelli,Jason-Novelli,2.45,1.69,David-Teymur,David-Teymur vs. Jason-Novelli
1584,Teruto Ishihara vs Horacio Gutierrez,Horacio-Gutierrez,3.0,1.46,Teruto-Ishihara,Horacio-Gutierrez vs. Teruto-Ishihara
1585,Cub Swanson vs Tatsuya Kawajiri,Tatsuya-Kawajiri,3.7,1.33,Cub-Swanson,Cub-Swanson vs. Tatsuya-Kawajiri
1586,Justin Ledet vs Chase Sherman,Chase-Sherman,2.2,1.83,Justin-Ledet,Chase-Sherman vs. Justin-Ledet
1587,Robbie Lawler vs Tyron Woodley,Robbie-Lawler,1.85,2.2,Tyron-Woodley,Robbie-Lawler vs. Tyron-Woodley
1588,Rose Namajunas vs Karolina Kowalkiewicz,Rose-Namajunas,1.54,2.72,Karolina-Kowalkiewicz,Karolina-Kowalkiewicz vs. Rose-Namajunas
1589,Matt Brown vs Jake Ellenberger,Matt-Brown,1.38,3.63,Jake-Ellenberger,Jake-Ellenberger vs. Matt-Brown
1590,Erik Perez vs Francisco Rivera,Francisco-Rivera,2.35,1.69,Erik-Perez,Erik-Perez vs. Francisco-Rivera
