,fight,loser,odds_l,odds_w,winner,FIGHTERS
788,Mike Santiago vs Dan Ige,Mike-Santiago,2.1,1.93,Dan-Ige,Dan-Ige vs. Mike-Santiago
789,Jimmie Rivera vs Marlon Moraes,Jimmie-Rivera,1.9,2.08,Marlon-Moraes,Jimmie-Rivera vs. Marlon-Moraes
790,Gregor Gillespie vs Vinc Pichel,Vinc-Pichel,5.0,1.27,Gregor-Gillespie,Gregor-Gillespie vs. Vinc-Pichel
791,Walt Harris vs Daniel Spitz,Daniel-Spitz,3.1,1.51,Walt-Harris,Daniel-Spitz vs. Walt-Harris
792,Jake Ellenberger vs Ben Saunders,Jake-Ellenberger,1.66,2.5,Ben-Saunders,Ben-Saunders vs. Jake-Ellenberger
793,Daniel Teymur vs Julio Arce,Daniel-Teymur,2.7,1.57,Julio-Arce,Daniel-Teymur vs. Julio-Arce
794,Sam Alvey vs Gian Villante,Gian-Villante,2.35,1.71,Sam-Alvey,Gian-Villante vs. Sam-Alvey
795,Sijara Eubanks vs Lauren Murphy,Lauren-Murphy,2.9,1.53,Sijara-Eubanks,Lauren-Murphy vs. Sijara-Eubanks
796,Nik Lentz vs David Teymur,Nik-Lentz,3.65,1.36,David-Teymur,David-Teymur vs. Nik-Lentz
797,Belal Muhammad vs Chance Rencountre,Chance-Rencountre,4.75,1.25,Belal-Muhammad,Belal-Muhammad vs. Chance-Rencountre
798,Gleison Tibau vs Desmond Green,Gleison-Tibau,3.85,1.33,Desmond-Green,Desmond-Green vs. Gleison-Tibau
799,Johnny Eduardo vs Nathaniel Wood,Johnny-Eduardo,3.25,1.43,Nathaniel-Wood,Johnny-Eduardo vs. Nathaniel-Wood
800,Jose Torres vs Jarred Brooks,Jarred-Brooks,2.3,1.74,Jose-Torres,Jarred-Brooks vs. Jose-Torres
801,Stephen Thompson vs Darren Till,Stephen-Thompson,1.7,2.35,Darren-Till,Darren-Till vs. Stephen-Thompson
802,Craig White vs Neil Magny,Craig-White,6.59,1.17,Neil-Magny,Craig-White vs. Neil-Magny
803,Arnold Allen vs Mads Burnell,Mads-Burnell,3.2,1.42,Arnold-Allen,Arnold-Allen vs. Mads-Burnell
804,Makwan Amirkhani vs Jason Knight,Jason-Knight,1.61,2.55,Makwan-Amirkhani,Jason-Knight vs. Makwan-Amirkhani
805,Claudio Silva vs Nordine Taleb,Nordine-Taleb,1.29,4.75,Claudio-Silva,Claudio-Silva vs. Nordine-Taleb
806,Eric Spicely vs Darren Stewart,Eric-Spicely,1.65,2.5,Darren-Stewart,Darren-Stewart vs. Eric-Spicely
807,Daniel Kelly vs Tom Breese,Daniel-Kelly,4.25,1.29,Tom-Breese,Daniel-Kelly vs. Tom-Breese
808,Gina Mazany vs Lina Lansberg,Gina-Mazany,1.73,2.45,Lina-Lansberg,Gina-Mazany vs. Lina-Lansberg
809,Carlo Pedersoli Jr. vs Brad Scott,Brad-Scott,2.38,1.74,Carlo-Pedersoli-Jr.,Brad-Scott vs. Carlo-Pedersoli-Jr.
810,Molly McCann vs Gillian Robertson,Molly-McCann,1.63,2.5,Gillian-Robertson,Gillian-Robertson vs. Molly-McCann
811,Elias Theodorou vs Trevor Smith,Trevor-Smith,4.3,1.28,Elias-Theodorou,Elias-Theodorou vs. Trevor-Smith
812,Amanda Nunes vs Raquel Pennington,Raquel-Pennington,7.65,1.13,Amanda-Nunes,Amanda-Nunes vs. Raquel-Pennington
813,Ronaldo Souza vs Kelvin Gastelum,Ronaldo-Souza,1.91,2.05,Kelvin-Gastelum,Kelvin-Gastelum vs. Ronaldo-Souza
814,Mackenzie Dern vs Amanda Cooper,Amanda-Cooper,3.3,1.44,Mackenzie-Dern,Amanda-Cooper vs. Mackenzie-Dern
815,Brian Kelleher vs John Lineker,Brian-Kelleher,3.2,1.42,John-Lineker,Brian-Kelleher vs. John-Lineker
816,Vitor Belfort vs Lyoto Machida,Vitor-Belfort,3.1,1.48,Lyoto-Machida,Lyoto-Machida vs. Vitor-Belfort
817,Karl Roberson vs Cezar Ferreira,Karl-Roberson,1.95,1.95,Cezar-Ferreira,Cezar-Ferreira vs. Karl-Roberson
818,Junior Albini vs Aleksei Oleinik,Junior-Albini,1.67,2.4,Aleksei-Oleinik,Aleksei-Oleinik vs. Junior-Albini
819,Davi Ramos vs Nick Hein,Nick-Hein,2.35,1.73,Davi-Ramos,Davi-Ramos vs. Nick-Hein
820,Sean Strickland vs Elizeu Zaleski dos Santos,Sean-Strickland,2.0,2.05,Elizeu-Zaleski-dos-Santos,Elizeu-Zaleski-dos-Santos vs. Sean-Strickland
821,Warlley Alves vs Sultan Aliev,Sultan-Aliev,3.45,1.4,Warlley-Alves,Sultan-Aliev vs. Warlley-Alves
822,Thales Leites vs Jack Hermansson,Thales-Leites,2.3,1.74,Jack-Hermansson,Jack-Hermansson vs. Thales-Leites
823,Alberto Mina vs Ramazan Emeev,Alberto-Mina,2.6,1.65,Ramazan-Emeev,Alberto-Mina vs. Ramazan-Emeev
824,Markus Perez vs James Bochnovic,James-Bochnovic,3.65,1.34,Markus-Perez,James-Bochnovic vs. Markus-Perez
825,Edson Barboza vs Kevin Lee,Edson-Barboza,2.55,1.69,Kevin-Lee,Edson-Barboza vs. Kevin-Lee
826,Frankie Edgar vs Cub Swanson,Cub-Swanson,3.65,1.4,Frankie-Edgar,Cub-Swanson vs. Frankie-Edgar
827,Justin Willis vs Chase Sherman,Chase-Sherman,3.8,1.4,Justin-Willis,Chase-Sherman vs. Justin-Willis
828,David Branch vs Thiago Santos,Thiago-Santos,1.65,2.55,David-Branch,David-Branch vs. Thiago-Santos
829,Aljamain Sterling vs Brett Johns,Brett-Johns,2.0,1.93,Aljamain-Sterling,Aljamain-Sterling vs. Brett-Johns
830,Jim Miller vs Daniel Hooker,Jim-Miller,3.85,1.34,Daniel-Hooker,Daniel-Hooker vs. Jim-Miller
831,Ryan LaFlare vs Alex Garcia,Alex-Garcia,2.35,1.69,Ryan-LaFlare,Alex-Garcia vs. Ryan-LaFlare
832,Merab Dvalishvili vs Ricky Simon,Merab-Dvalishvili,2.3,1.81,Ricky-Simon,Merab-Dvalishvili vs. Ricky-Simon
833,Siyar Bahadurzada vs Luan Chagas,Luan-Chagas,1.69,2.55,Siyar-Bahadurzada,Luan-Chagas vs. Siyar-Bahadurzada
834,Corey Anderson vs Patrick Cummins,Patrick-Cummins,2.4,1.73,Corey-Anderson,Corey-Anderson vs. Patrick-Cummins
835,Tony Martin vs Keita Nakamura,Keita-Nakamura,3.0,1.52,Tony-Martin,Keita-Nakamura vs. Tony-Martin
836,Justin Gaethje vs Dustin Poirier,Justin-Gaethje,2.1,1.87,Dustin-Poirier,Dustin-Poirier vs. Justin-Gaethje
837,Carlos Condit vs Alex Oliveira,Carlos-Condit,2.64,1.58,Alex-Oliveira,Alex-Oliveira vs. Carlos-Condit
838,Israel Adesanya vs Marvin Vettori,Marvin-Vettori,3.15,1.45,Israel-Adesanya,Israel-Adesanya vs. Marvin-Vettori
839,Michelle Waterson vs Cortney Casey,Cortney-Casey,1.65,2.55,Michelle-Waterson,Cortney-Casey vs. Michelle-Waterson
840,Antonio Carlos Junior vs Tim Boetsch,Tim-Boetsch,3.3,1.45,Antonio-Carlos-Junior,Antonio-Carlos-Junior vs. Tim-Boetsch
841,Ricky Rainey vs Muslim Salikhov,Ricky-Rainey,2.8,1.56,Muslim-Salikhov,Muslim-Salikhov vs. Ricky-Rainey
842,Wilson Reis vs John Moraga,Wilson-Reis,1.87,2.1,John-Moraga,John-Moraga vs. Wilson-Reis
843,Krzysztof Jotko vs Brad Tavares,Krzysztof-Jotko,1.95,2.11,Brad-Tavares,Brad-Tavares vs. Krzysztof-Jotko
844,Gilbert Burns vs Dan Moret,Dan-Moret,6.05,1.18,Gilbert-Burns,Dan-Moret vs. Gilbert-Burns
845,Shana Dobson vs Lauren Mueller,Shana-Dobson,2.43,1.74,Lauren-Mueller,Lauren-Mueller vs. Shana-Dobson
846,Dhiego Lima vs Yushin Okami,Dhiego-Lima,2.13,1.91,Yushin-Okami,Dhiego-Lima vs. Yushin-Okami
847,Arjan Bhullar vs Adam Wieczorek,Arjan-Bhullar,1.32,4.15,Adam-Wieczorek,Adam-Wieczorek vs. Arjan-Bhullar
848,Alejandro Perez vs Matthew Lopez,Matthew-Lopez,1.95,2.0,Alejandro-Perez,Alejandro-Perez vs. Matthew-Lopez
849,Luke Sanders vs Patrick Williams,Patrick-Williams,4.75,1.24,Luke-Sanders,Luke-Sanders vs. Patrick-Williams
850,Al Iaquinta vs Khabib Nurmagomedov,Al-Iaquinta,6.8,1.17,Khabib-Nurmagomedov,Al-Iaquinta vs. Khabib-Nurmagomedov
851,Rose Namajunas vs Joanna Jedrzejczyk,Joanna-Jedrzejczyk,1.93,2.1,Rose-Namajunas,Joanna-Jedrzejczyk vs. Rose-Namajunas
852,Renato Moicano vs Calvin Kattar,Calvin-Kattar,2.0,2.05,Renato-Moicano,Calvin-Kattar vs. Renato-Moicano
853,Joe Lauzon vs Chris Gruetzemacher,Joe-Lauzon,1.71,2.38,Chris-Gruetzemacher,Chris-Gruetzemacher vs. Joe-Lauzon
854,Zabit Magomedsharipov vs Kyle Bochniak,Kyle-Bochniak,6.75,1.16,Zabit-Magomedsharipov,Kyle-Bochniak vs. Zabit-Magomedsharipov
855,Karolina Kowalkiewicz vs Felice Herrig,Felice-Herrig,2.7,1.54,Karolina-Kowalkiewicz,Felice-Herrig vs. Karolina-Kowalkiewicz
856,Evan Dunham vs Olivier Aubin-Mercier,Evan-Dunham,1.77,2.25,Olivier-Aubin-Mercier,Evan-Dunham vs. Olivier-Aubin-Mercier
857,Bec Rawlings vs Ashlee Evans-Smith,Bec-Rawlings,2.95,1.53,Ashlee-Evans-Smith,Ashlee-Evans-Smith vs. Bec-Rawlings
858,Devin Clark vs Mike Rodriguez,Mike-Rodriguez,1.91,2.05,Devin-Clark,Devin-Clark vs. Mike-Rodriguez
859,Fabricio Werdum vs Alexander Volkov,Fabricio-Werdum,1.56,2.9,Alexander-Volkov,Alexander-Volkov vs. Fabricio-Werdum
860,Jimi Manuwa vs Jan Blachowicz,Jimi-Manuwa,1.56,4.2,Jan-Blachowicz,Jan-Blachowicz vs. Jimi-Manuwa
861,Terrion Ware vs Tom Duquesnoy,Terrion-Ware,4.14,1.3,Tom-Duquesnoy,Terrion-Ware vs. Tom-Duquesnoy
862,Leon Edwards vs Peter Sobotta,Peter-Sobotta,2.85,1.53,Leon-Edwards,Leon-Edwards vs. Peter-Sobotta
863,Charles Byrd vs John Phillips,John-Phillips,1.93,2.05,Charles-Byrd,Charles-Byrd vs. John-Phillips
864,Stevie Ray vs Kajan Johnson,Stevie-Ray,1.57,2.64,Kajan-Johnson,Kajan-Johnson vs. Stevie-Ray
865,Danny Henry vs Hakeem Dawodu,Hakeem-Dawodu,1.4,3.6,Danny-Henry,Danny-Henry vs. Hakeem-Dawodu
866,Paul Craig vs Magomed Ankalaev,Magomed-Ankalaev,1.17,6.0,Paul-Craig,Magomed-Ankalaev vs. Paul-Craig
867,Danny Roberts vs Oliver Enkamp,Oliver-Enkamp,2.53,1.67,Danny-Roberts,Danny-Roberts vs. Oliver-Enkamp
868,Dmitriy Sosnovskiy vs Mark Godbeer,Mark-Godbeer,3.35,1.41,Dmitriy-Sosnovskiy,Dmitriy-Sosnovskiy vs. Mark-Godbeer
869,Cristiane Justino vs Yana Kunitskaya,Yana-Kunitskaya,9.8,1.11,Cristiane-Justino,Cristiane-Justino vs. Yana-Kunitskaya
870,Brian Ortega vs Frankie Edgar,Frankie-Edgar,1.69,2.5,Brian-Ortega,Brian-Ortega vs. Frankie-Edgar
871,Sean O'Malley vs Andre Soukhamthath,Andre-Soukhamthath,2.37,2.08,Sean-O'Malley,"Andre-Soukhamthath', ""Sean-O'Malley""]"
872,Andrei Arlovski vs Stefan Struve,Stefan-Struve,1.59,2.7,Andrei-Arlovski,Andrei-Arlovski vs. Stefan-Struve
873,Cat Zingano vs Ketlen Vieira,Cat-Zingano,2.8,1.83,Ketlen-Vieira,Cat-Zingano vs. Ketlen-Vieira
874,Ashley Yoder vs Mackenzie Dern,Ashley-Yoder,5.05,1.25,Mackenzie-Dern,Ashley-Yoder vs. Mackenzie-Dern
875,Beneil Dariush vs Alexander Hernandez,Beneil-Dariush,1.27,4.75,Alexander-Hernandez,Alexander-Hernandez vs. Beneil-Dariush
876,John Dodson vs Pedro Munhoz,Pedro-Munhoz,3.6,1.9,John-Dodson,John-Dodson vs. Pedro-Munhoz
877,C.B. Dollaway vs Hector Lombard,Hector-Lombard,1.95,2.22,C.B.-Dollaway,C.B.-Dollaway vs. Hector-Lombard
878,Mike Pyle vs Zak Ottow,Mike-Pyle,3.85,1.34,Zak-Ottow,Mike-Pyle vs. Zak-Ottow
879,Bryan Caraway vs Cody Stamann,Bryan-Caraway,2.3,1.91,Cody-Stamann,Bryan-Caraway vs. Cody-Stamann
880,Jordan Johnson vs Adam Milstead,Adam-Milstead,3.35,1.43,Jordan-Johnson,Adam-Milstead vs. Jordan-Johnson
881,Jeremy Stephens vs Josh Emmett,Josh-Emmett,2.3,1.82,Jeremy-Stephens,Jeremy-Stephens vs. Josh-Emmett
882,Jessica Andrade vs Tecia Torres,Tecia-Torres,3.4,1.44,Jessica-Andrade,Jessica-Andrade vs. Tecia-Torres
883,Ovince St Preux vs Ilir Latifi,Ovince-St-Preux,1.8,2.55,Ilir-Latifi,Ilir-Latifi vs. Ovince-St-Preux
884,Mike Perry vs Max Griffin,Mike-Perry,1.36,4.75,Max-Griffin,Max-Griffin vs. Mike-Perry
885,Renan Barao vs Brian Kelleher,Renan-Barao,1.66,2.65,Brian-Kelleher,Brian-Kelleher vs. Renan-Barao
