,Fighter,Weight class,Method,Round,Time,location,date,fighturl,eventurl
0,Johny Hendricks  Robbie Lawler,Welterweight,U-DEC,5,5:00,"Dallas, Texas, USA","March 15, 2014",http://ufcstats.com/fight-details/cdf58f62e289efec,http://ufcstats.com/event-details/179f1948dc234f1f
1,Tyron Woodley  Carlos Condit,Welterweight,KO/TKO,2,2:00,"Dallas, Texas, USA","March 15, 2014",http://ufcstats.com/fight-details/ba38b96f39db78c0,http://ufcstats.com/event-details/179f1948dc234f1f
2,Myles Jury  Diego Sanchez,Lightweight,U-DEC,3,5:00,"Dallas, Texas, USA","March 15, 2014",http://ufcstats.com/fight-details/d4d4aded862ace46,http://ufcstats.com/event-details/179f1948dc234f1f
3,Hector Lombard  Jake Shields,Welterweight,U-DEC,3,5:00,"Dallas, Texas, USA","March 15, 2014",http://ufcstats.com/fight-details/427a10db0406cfba,http://ufcstats.com/event-details/179f1948dc234f1f
4,Ovince Saint Preux  Nikita Krylov,Light Heavyweight,SUB  Other - Choke,1,1:29,"Dallas, Texas, USA","March 15, 2014",http://ufcstats.com/fight-details/2d050cb1f7d8789a,http://ufcstats.com/event-details/179f1948dc234f1f
5,Kelvin Gastelum  Rick Story,Welterweight,S-DEC,3,5:00,"Dallas, Texas, USA","March 15, 2014",http://ufcstats.com/fight-details/56b57d076f874eb0,http://ufcstats.com/event-details/179f1948dc234f1f
6,Jessica Andrade  Raquel Pennington,Women's Bantamweight,S-DEC,3,5:00,"Dallas, Texas, USA","March 15, 2014",http://ufcstats.com/fight-details/99170b2f2496e479,http://ufcstats.com/event-details/179f1948dc234f1f
7,Dennis Bermudez  Jimy Hettes,Featherweight,KO/TKO  Knee,3,2:57,"Dallas, Texas, USA","March 15, 2014",http://ufcstats.com/fight-details/639013929b61e834,http://ufcstats.com/event-details/179f1948dc234f1f
8,Alex Garcia  Sean Spencer,Welterweight,S-DEC,3,5:00,"Dallas, Texas, USA","March 15, 2014",http://ufcstats.com/fight-details/a5f39e8ff1398269,http://ufcstats.com/event-details/179f1948dc234f1f
9,Francisco Trevino  Renee Forte,Lightweight,U-DEC,3,5:00,"Dallas, Texas, USA","March 15, 2014",http://ufcstats.com/fight-details/364ed6aecfc8d16d,http://ufcstats.com/event-details/179f1948dc234f1f
10,Justin Scoggins  Will Campuzano,Flyweight,U-DEC,3,5:00,"Dallas, Texas, USA","March 15, 2014",http://ufcstats.com/fight-details/0175c0d2a98576f1,http://ufcstats.com/event-details/179f1948dc234f1f
11,Sean Strickland  Bubba McDaniel,Middleweight,SUB  Rear Naked Choke,1,4:33,"Dallas, Texas, USA","March 15, 2014",http://ufcstats.com/fight-details/8f979d206eaec468,http://ufcstats.com/event-details/179f1948dc234f1f
12,Rob Whiteford  Daniel Pineda,Featherweight,U-DEC,3,5:00,"Dallas, Texas, USA","March 15, 2014",http://ufcstats.com/fight-details/543dca66a449d9d5,http://ufcstats.com/event-details/179f1948dc234f1f
0,Alexander Gustafsson  Jimi Manuwa,Light Heavyweight,KO/TKO  Knee,2,1:18,"London, England, United Kingdom","March 08, 2014",http://ufcstats.com/fight-details/742fcd610f344810,http://ufcstats.com/event-details/ebc1f40e00e0c481
1,Michael Johnson  Melvin Guillard,Lightweight,U-DEC,3,5:00,"London, England, United Kingdom","March 08, 2014",http://ufcstats.com/fight-details/73f55778c5c55c2f,http://ufcstats.com/event-details/ebc1f40e00e0c481
2,Brad Pickett  Neil Seery,Flyweight,U-DEC,3,5:00,"London, England, United Kingdom","March 08, 2014",http://ufcstats.com/fight-details/b5be58e7fa1e7439,http://ufcstats.com/event-details/ebc1f40e00e0c481
3,Gunnar Nelson  Omari Akhmedov,Welterweight,SUB  Guillotine Choke,1,4:36,"London, England, United Kingdom","March 08, 2014",http://ufcstats.com/fight-details/0b3c3d363c82835f,http://ufcstats.com/event-details/ebc1f40e00e0c481
4,Ilir Latifi  Cyrille Diabate,Light Heavyweight,SUB  Guillotine Choke,1,3:02,"London, England, United Kingdom","March 08, 2014",http://ufcstats.com/fight-details/6242126d8d06a7ca,http://ufcstats.com/event-details/ebc1f40e00e0c481
5,Luke Barnatt  Mats Nilsson,Middleweight,KO/TKO  Kick,1,4:24,"London, England, United Kingdom","March 08, 2014",http://ufcstats.com/fight-details/406154260435c65a,http://ufcstats.com/event-details/ebc1f40e00e0c481
6,Claudio Silva  Bradley Scott,Middleweight,U-DEC,3,5:00,"London, England, United Kingdom","March 08, 2014",http://ufcstats.com/fight-details/4911fcfb1b28faa5,http://ufcstats.com/event-details/ebc1f40e00e0c481
7,Igor Araujo  Danny Mitchell,Welterweight,U-DEC,3,5:00,"London, England, United Kingdom","March 08, 2014",http://ufcstats.com/fight-details/54845ec0646a9bee,http://ufcstats.com/event-details/ebc1f40e00e0c481
0,Dong Hyun Kim  John Hathaway,Welterweight,KO/TKO  Elbow,3,1:02,"Macau, China","March 01, 2014",http://ufcstats.com/fight-details/e38d7761a92e1bf9,http://ufcstats.com/event-details/a26198ba5093147e
1,Zhang Lipeng  Sai Wang,Welterweight,S-DEC,3,5:00,"Macau, China","March 01, 2014",http://ufcstats.com/fight-details/0fea1cff62e26b46,http://ufcstats.com/event-details/a26198ba5093147e
2,Matt Mitrione  Shawn Jordan,Heavyweight,KO/TKO  Punch,1,4:59,"Macau, China","March 01, 2014",http://ufcstats.com/fight-details/82448697e7a44028,http://ufcstats.com/event-details/a26198ba5093147e
3,Hatsu Hioki  Ivan Menjivar,Featherweight,U-DEC,3,5:00,"Macau, China","March 01, 2014",http://ufcstats.com/fight-details/57ab45aa1ebd087e,http://ufcstats.com/event-details/a26198ba5093147e
4,Yui Chul Nam  Kazuki Tokudome,Lightweight,S-DEC,3,5:00,"Macau, China","March 01, 2014",http://ufcstats.com/fight-details/c53a5dca56870ea5,http://ufcstats.com/event-details/a26198ba5093147e
5,Vaughan Lee  Nam Phan,Bantamweight,U-DEC,3,5:00,"Macau, China","March 01, 2014",http://ufcstats.com/fight-details/3fa2e753afa0bdbb,http://ufcstats.com/event-details/a26198ba5093147e
6,An Ying Wang  Albert Cheng,Welterweight,KO/TKO,1,5:00,"Macau, China","March 01, 2014",http://ufcstats.com/fight-details/36d4e8f650539bf0,http://ufcstats.com/event-details/a26198ba5093147e
7,Mark Eddiva  Jumabieke Tuerxun,Featherweight,U-DEC,3,5:00,"Macau, China","March 01, 2014",http://ufcstats.com/fight-details/2ebe2ae9b4812f0a,http://ufcstats.com/event-details/a26198ba5093147e
0,Ronda Rousey  Sara McMann,Women's Bantamweight,KO/TKO  Knee,1,1:06,"Las Vegas, Nevada, USA","February 22, 2014",http://ufcstats.com/fight-details/654127f5b9140be2,http://ufcstats.com/event-details/3138fab619faf4d1
1,Daniel Cormier  Patrick Cummins,Light Heavyweight,KO/TKO  Punch,1,1:19,"Las Vegas, Nevada, USA","February 22, 2014",http://ufcstats.com/fight-details/b1a033020bd6d3f3,http://ufcstats.com/event-details/3138fab619faf4d1
2,Rory MacDonald  Demian Maia,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","February 22, 2014",http://ufcstats.com/fight-details/29657325bfc1d590,http://ufcstats.com/event-details/3138fab619faf4d1
3,Mike Pyle  TJ Waldburger,Welterweight,KO/TKO  Elbows,3,4:03,"Las Vegas, Nevada, USA","February 22, 2014",http://ufcstats.com/fight-details/9988ff4d4197663b,http://ufcstats.com/event-details/3138fab619faf4d1
4,Stephen Thompson  Robert Whittaker,Welterweight,KO/TKO  Punches,1,3:43,"Las Vegas, Nevada, USA","February 22, 2014",http://ufcstats.com/fight-details/ab0d6346b7938a7f,http://ufcstats.com/event-details/3138fab619faf4d1
5,Alexis Davis  Jessica Eye,Women's Bantamweight,S-DEC,3,5:00,"Las Vegas, Nevada, USA","February 22, 2014",http://ufcstats.com/fight-details/36630b8c820db52b,http://ufcstats.com/event-details/3138fab619faf4d1
6,Raphael Assuncao  Pedro Munhoz,Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","February 22, 2014",http://ufcstats.com/fight-details/faaa7340f4ede814,http://ufcstats.com/event-details/3138fab619faf4d1
7,Aljamain Sterling  Cody Gibson,Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","February 22, 2014",http://ufcstats.com/fight-details/41727d51af72b1d5,http://ufcstats.com/event-details/3138fab619faf4d1
8,Zach Makovsky  Joshua Sampo,Flyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","February 22, 2014",http://ufcstats.com/fight-details/1a8b815679bc89b8,http://ufcstats.com/event-details/3138fab619faf4d1
9,Erik Koch  Rafaello Oliveira,Lightweight,KO/TKO  Punches,1,1:24,"Las Vegas, Nevada, USA","February 22, 2014",http://ufcstats.com/fight-details/dc28c6e66f333d2a,http://ufcstats.com/event-details/3138fab619faf4d1
10,Ernest Chavez  Yosdenis Cedeno,Lightweight,S-DEC,3,5:00,"Las Vegas, Nevada, USA","February 22, 2014",http://ufcstats.com/fight-details/328ae84bf2af537e,http://ufcstats.com/event-details/3138fab619faf4d1
0,Lyoto Machida  Gegard Mousasi,Middleweight,U-DEC,5,5:00,"Jaragua do Sul, Santa Catarina, Brazil","February 15, 2014",http://ufcstats.com/fight-details/aa11f2375ee2118f,http://ufcstats.com/event-details/51b0bb73a1da34bc
1,Jacare Souza  Francis Carmont,Middleweight,U-DEC,3,5:00,"Jaragua do Sul, Santa Catarina, Brazil","February 15, 2014",http://ufcstats.com/fight-details/ffbc12e4f821ec68,http://ufcstats.com/event-details/51b0bb73a1da34bc
2,Erick Silva  Takenori Sato,Welterweight,KO/TKO  Punches,1,0:52,"Jaragua do Sul, Santa Catarina, Brazil","February 15, 2014",http://ufcstats.com/fight-details/dadde3eb4e5f43b4,http://ufcstats.com/event-details/51b0bb73a1da34bc
3,Nico Musoke  Viscardi Andrade,Welterweight,U-DEC,3,5:00,"Jaragua do Sul, Santa Catarina, Brazil","February 15, 2014",http://ufcstats.com/fight-details/d0e084b6345c5af0,http://ufcstats.com/event-details/51b0bb73a1da34bc
4,Charles Oliveira  Andy Ogle,Featherweight,SUB  Triangle Choke,3,2:40,"Jaragua do Sul, Santa Catarina, Brazil","February 15, 2014",http://ufcstats.com/fight-details/b96e1222eb1a0faf,http://ufcstats.com/event-details/51b0bb73a1da34bc
5,Joe Proctor  Cristiano Marcello,Lightweight,U-DEC,3,5:00,"Jaragua do Sul, Santa Catarina, Brazil","February 15, 2014",http://ufcstats.com/fight-details/cfefbf79340d3346,http://ufcstats.com/event-details/51b0bb73a1da34bc
6,Rodrigo Damm  Ivan Jorge,Lightweight,U-DEC,3,5:00,"Jaragua do Sul, Santa Catarina, Brazil","February 15, 2014",http://ufcstats.com/fight-details/420114bb94080b3c,http://ufcstats.com/event-details/51b0bb73a1da34bc
7,Francisco Trinaldo  Jesse Ronson,Lightweight,S-DEC,3,5:00,"Jaragua do Sul, Santa Catarina, Brazil","February 15, 2014",http://ufcstats.com/fight-details/ea60fdcfd423a15e,http://ufcstats.com/event-details/51b0bb73a1da34bc
8,Iuri Alcantara  Wilson Reis,Bantamweight,S-DEC,3,5:00,"Jaragua do Sul, Santa Catarina, Brazil","February 15, 2014",http://ufcstats.com/fight-details/01d4d1d8bcb014cf,http://ufcstats.com/event-details/51b0bb73a1da34bc
9,Felipe Arantes  Maximo Blanco,Featherweight,U-DEC,3,5:00,"Jaragua do Sul, Santa Catarina, Brazil","February 15, 2014",http://ufcstats.com/fight-details/8619c3cde7dd4e15,http://ufcstats.com/event-details/51b0bb73a1da34bc
10,Ildemar Alcantara  Albert Tumenov,Welterweight,S-DEC,3,5:00,"Jaragua do Sul, Santa Catarina, Brazil","February 15, 2014",http://ufcstats.com/fight-details/496a169f4c9becec,http://ufcstats.com/event-details/51b0bb73a1da34bc
11,Zubaira Tukhugov  Douglas Silva de Andrade,Featherweight,U-DEC,3,5:00,"Jaragua do Sul, Santa Catarina, Brazil","February 15, 2014",http://ufcstats.com/fight-details/816119e4d9d983b1,http://ufcstats.com/event-details/51b0bb73a1da34bc
0,Renan Barao  Urijah Faber,Bantamweight,KO/TKO  Punch,1,3:42,"Newark, New Jersey, USA","February 01, 2014",http://ufcstats.com/fight-details/4c9047d1c1bc1e29,http://ufcstats.com/event-details/fc31f896cde2bc2e
1,Jose Aldo  Ricardo Lamas,Featherweight,U-DEC,5,5:00,"Newark, New Jersey, USA","February 01, 2014",http://ufcstats.com/fight-details/a3b37f8ea171b962,http://ufcstats.com/event-details/fc31f896cde2bc2e
2,Alistair Overeem  Frank Mir,Heavyweight,U-DEC,3,5:00,"Newark, New Jersey, USA","February 01, 2014",http://ufcstats.com/fight-details/651bdd9e17a58c5d,http://ufcstats.com/event-details/fc31f896cde2bc2e
3,Ali Bagautinov  John Lineker,Flyweight,U-DEC,3,5:00,"Newark, New Jersey, USA","February 01, 2014",http://ufcstats.com/fight-details/a851348faa460c2d,http://ufcstats.com/event-details/fc31f896cde2bc2e
4,Abel Trujillo  Jamie Varner,Lightweight,KO/TKO  Punch,2,2:32,"Newark, New Jersey, USA","February 01, 2014",http://ufcstats.com/fight-details/fe936088ec4dcb0d,http://ufcstats.com/event-details/fc31f896cde2bc2e
5,Alan Patrick  John Makdessi,Lightweight,U-DEC,3,5:00,"Newark, New Jersey, USA","February 01, 2014",http://ufcstats.com/fight-details/b9be2e52d02886e2,http://ufcstats.com/event-details/fc31f896cde2bc2e
6,Chris Cariaso  Danny Martinez,Flyweight,U-DEC,3,5:00,"Newark, New Jersey, USA","February 01, 2014",http://ufcstats.com/fight-details/b705fb146638d859,http://ufcstats.com/event-details/fc31f896cde2bc2e
7,Nick Catone  Tom Watson,Middleweight,S-DEC,3,5:00,"Newark, New Jersey, USA","February 01, 2014",http://ufcstats.com/fight-details/c145e4b6206d4c18,http://ufcstats.com/event-details/fc31f896cde2bc2e
8,Al Iaquinta  Kevin Lee,Lightweight,U-DEC,3,5:00,"Newark, New Jersey, USA","February 01, 2014",http://ufcstats.com/fight-details/b51163f358495b41,http://ufcstats.com/event-details/fc31f896cde2bc2e
9,Clint Hester  Andy Enz,Middleweight,U-DEC,3,5:00,"Newark, New Jersey, USA","February 01, 2014",http://ufcstats.com/fight-details/131732f248cd2829,http://ufcstats.com/event-details/fc31f896cde2bc2e
10,Rashid Magomedov  Anthony Rocco Martin,Lightweight,U-DEC,3,5:00,"Newark, New Jersey, USA","February 01, 2014",http://ufcstats.com/fight-details/bc9dd73e0a982c08,http://ufcstats.com/event-details/fc31f896cde2bc2e
11,Neil Magny  Gasan Umalatov,Welterweight,U-DEC,3,5:00,"Newark, New Jersey, USA","February 01, 2014",http://ufcstats.com/fight-details/7a91b26b3e231fff,http://ufcstats.com/event-details/fc31f896cde2bc2e
0,Benson Henderson  Josh Thomson,Lightweight,S-DEC,5,5:00,"Chicago, Illinois, USA","January 25, 2014",http://ufcstats.com/fight-details/7fda79ba69b06c0b,http://ufcstats.com/event-details/a8d521d913df4e31
1,Stipe Miocic  Gabriel Gonzaga,Heavyweight,U-DEC,3,5:00,"Chicago, Illinois, USA","January 25, 2014",http://ufcstats.com/fight-details/77d82e8a220053ea,http://ufcstats.com/event-details/a8d521d913df4e31
2,Donald Cerrone  Adriano Martins,Lightweight,KO/TKO  Kick,1,4:40,"Chicago, Illinois, USA","January 25, 2014",http://ufcstats.com/fight-details/ca8e482388e7ac82,http://ufcstats.com/event-details/a8d521d913df4e31
3,Jeremy Stephens  Darren Elkins,Featherweight,U-DEC,3,5:00,"Chicago, Illinois, USA","January 25, 2014",http://ufcstats.com/fight-details/6fdcd1caa0e9d239,http://ufcstats.com/event-details/a8d521d913df4e31
4,Alex Caceres  Sergio Pettis,Bantamweight,SUB  Rear Naked Choke,3,4:39,"Chicago, Illinois, USA","January 25, 2014",http://ufcstats.com/fight-details/6a7f68feb5c0755d,http://ufcstats.com/event-details/a8d521d913df4e31
5,Eddie Wineland  Yves Jabouin,Bantamweight,KO/TKO  Punches,2,4:16,"Chicago, Illinois, USA","January 25, 2014",http://ufcstats.com/fight-details/97ad3419f2029ba1,http://ufcstats.com/event-details/a8d521d913df4e31
7,Hugo Viana  Junior Hernandez,Bantamweight,U-DEC,3,5:00,"Chicago, Illinois, USA","January 25, 2014",http://ufcstats.com/fight-details/df7cf7ef41eccbe6,http://ufcstats.com/event-details/a8d521d913df4e31
8,Daron Cruickshank  Mike Rio,Lightweight,KO/TKO  Kick,2,4:56,"Chicago, Illinois, USA","January 25, 2014",http://ufcstats.com/fight-details/3f1d1bd33a296f26,http://ufcstats.com/event-details/a8d521d913df4e31
9,George Sullivan  Mike Rhodes,Welterweight,U-DEC,3,5:00,"Chicago, Illinois, USA","January 25, 2014",http://ufcstats.com/fight-details/ea0f7fe570c1533f,http://ufcstats.com/event-details/a8d521d913df4e31
10,Nikita Krylov  Walt Harris,Heavyweight,KO/TKO  Kick,1,0:25,"Chicago, Illinois, USA","January 25, 2014",http://ufcstats.com/fight-details/e53c8a20819f9be6,http://ufcstats.com/event-details/a8d521d913df4e31
0,Luke Rockhold  Costas Philippou,Middleweight,KO/TKO  Kick,1,2:31,"Duluth, Georgia, USA","January 15, 2014",http://ufcstats.com/fight-details/0f3e6876516edeaf,http://ufcstats.com/event-details/30a09e43f15f1d75
1,Brad Tavares  Lorenz Larkin,Middleweight,U-DEC,3,5:00,"Duluth, Georgia, USA","January 15, 2014",http://ufcstats.com/fight-details/8d6392d59e1ca099,http://ufcstats.com/event-details/30a09e43f15f1d75
2,TJ Dillashaw  Mike Easton,Bantamweight,U-DEC,3,5:00,"Duluth, Georgia, USA","January 15, 2014",http://ufcstats.com/fight-details/55139052f4641670,http://ufcstats.com/event-details/30a09e43f15f1d75
3,Yoel Romero  Derek Brunson,Middleweight,KO/TKO  Elbows,3,3:23,"Duluth, Georgia, USA","January 15, 2014",http://ufcstats.com/fight-details/7e3609b672c7ecf9,http://ufcstats.com/event-details/30a09e43f15f1d75
4,John Moraga  Dustin Ortiz,Flyweight,S-DEC,3,5:00,"Duluth, Georgia, USA","January 15, 2014",http://ufcstats.com/fight-details/eea06604a47ea9a8,http://ufcstats.com/event-details/30a09e43f15f1d75
5,Cole Miller  Sam Sicilia,Featherweight,SUB  Rear Naked Choke,2,1:54,"Duluth, Georgia, USA","January 15, 2014",http://ufcstats.com/fight-details/fac335e6aeff29f5,http://ufcstats.com/event-details/30a09e43f15f1d75
6,Ramsey Nijem  Justin Edwards,Lightweight,U-DEC,3,5:00,"Duluth, Georgia, USA","January 15, 2014",http://ufcstats.com/fight-details/bbb810f50d60b31a,http://ufcstats.com/event-details/30a09e43f15f1d75
7,Elias Silverio  Isaac Vallie-Flagg,Lightweight,U-DEC,3,5:00,"Duluth, Georgia, USA","January 15, 2014",http://ufcstats.com/fight-details/3b8b70b448b0c604,http://ufcstats.com/event-details/30a09e43f15f1d75
8,Trevor Smith  Brian Houston,Middleweight,S-DEC,3,5:00,"Duluth, Georgia, USA","January 15, 2014",http://ufcstats.com/fight-details/94608c62dd497366,http://ufcstats.com/event-details/30a09e43f15f1d75
9,Louis Smolka  Alptekin Ozkilic,Flyweight,U-DEC,3,5:00,"Duluth, Georgia, USA","January 15, 2014",http://ufcstats.com/fight-details/c2f70bd2fc1bac73,http://ufcstats.com/event-details/30a09e43f15f1d75
10,Vinc Pichel  Garett Whiteley,Lightweight,U-DEC,3,5:00,"Duluth, Georgia, USA","January 15, 2014",http://ufcstats.com/fight-details/1143d37503a9527d,http://ufcstats.com/event-details/30a09e43f15f1d75
11,Beneil Dariush  Charlie Brenneman,Lightweight,SUB  Rear Naked Choke,1,1:45,"Duluth, Georgia, USA","January 15, 2014",http://ufcstats.com/fight-details/6f3e189c393c0e09,http://ufcstats.com/event-details/30a09e43f15f1d75
0,Tarec Saffiedine  Hyun Gyu Lim,Welterweight,U-DEC,5,5:00,"Singapore, Singapore","January 04, 2014",http://ufcstats.com/fight-details/3ff7d02ef633ee22,http://ufcstats.com/event-details/e5c9de15bb58b1c6
1,Tatsuya Kawajiri  Sean Soriano,Featherweight,SUB  Rear Naked Choke,2,0:50,"Singapore, Singapore","January 04, 2014",http://ufcstats.com/fight-details/07d1d120dab41893,http://ufcstats.com/event-details/e5c9de15bb58b1c6
2,Kiichi Kunimoto  Luiz Dutra,Welterweight,DQ,1,2:57,"Singapore, Singapore","January 04, 2014",http://ufcstats.com/fight-details/74edd53297a084b9,http://ufcstats.com/event-details/e5c9de15bb58b1c6
3,Kyung Ho Kang  Shunichi Shimizu,Bantamweight,SUB  Arm Triangle,3,3:53,"Singapore, Singapore","January 04, 2014",http://ufcstats.com/fight-details/221cb15141299346,http://ufcstats.com/event-details/e5c9de15bb58b1c6
4,Max Holloway  Will Chope,Featherweight,KO/TKO  Punch,2,2:27,"Singapore, Singapore","January 04, 2014",http://ufcstats.com/fight-details/4b69545737f1902a,http://ufcstats.com/event-details/e5c9de15bb58b1c6
5,Katsunori Kikuno  Quinn Mulhern,Lightweight,U-DEC,3,5:00,"Singapore, Singapore","January 04, 2014",http://ufcstats.com/fight-details/ab8722d48a5a447e,http://ufcstats.com/event-details/e5c9de15bb58b1c6
6,Royston Wee  Dave Galera,Bantamweight,U-DEC,3,5:00,"Singapore, Singapore","January 04, 2014",http://ufcstats.com/fight-details/e2bb4b8ce5ada2a8,http://ufcstats.com/event-details/e5c9de15bb58b1c6
7,Mairbek Taisumov  Tae Hyun Bang,Lightweight,U-DEC,3,5:00,"Singapore, Singapore","January 04, 2014",http://ufcstats.com/fight-details/181429d8227794cb,http://ufcstats.com/event-details/e5c9de15bb58b1c6
8,Dustin Kimura  Jon Delos Reyes,Bantamweight,SUB  Armbar,1,2:13,"Singapore, Singapore","January 04, 2014",http://ufcstats.com/fight-details/eb82e95ab678f8bc,http://ufcstats.com/event-details/e5c9de15bb58b1c6
9,Russell Doane  Leandro Issa,Bantamweight,SUB  Triangle Choke,2,4:59,"Singapore, Singapore","January 04, 2014",http://ufcstats.com/fight-details/f7bd56e197bab2a6,http://ufcstats.com/event-details/e5c9de15bb58b1c6
0,Chris Weidman  Anderson Silva,Middleweight,KO/TKO,2,1:16,"Las Vegas, Nevada, USA","December 28, 2013",http://ufcstats.com/fight-details/2a17686c6b5f334e,http://ufcstats.com/event-details/83d0de122f2f9664
1,Ronda Rousey  Miesha Tate,Women's Bantamweight,SUB  Armbar,3,0:58,"Las Vegas, Nevada, USA","December 28, 2013",http://ufcstats.com/fight-details/315968a74789600a,http://ufcstats.com/event-details/83d0de122f2f9664
2,Travis Browne  Josh Barnett,Heavyweight,KO/TKO  Elbows,1,1:00,"Las Vegas, Nevada, USA","December 28, 2013",http://ufcstats.com/fight-details/a060b6b0dfe275b7,http://ufcstats.com/event-details/83d0de122f2f9664
3,Jim Miller  Fabricio Camoes,Lightweight,SUB  Armbar,1,3:42,"Las Vegas, Nevada, USA","December 28, 2013",http://ufcstats.com/fight-details/39be68189f2d5074,http://ufcstats.com/event-details/83d0de122f2f9664
4,Dustin Poirier  Diego Brandao,Featherweight,KO/TKO  Punches,1,4:54,"Las Vegas, Nevada, USA","December 28, 2013",http://ufcstats.com/fight-details/5e4f358e0bcc2f15,http://ufcstats.com/event-details/83d0de122f2f9664
5,Uriah Hall  Chris Leben,Middleweight,KO/TKO,1,5:00,"Las Vegas, Nevada, USA","December 28, 2013",http://ufcstats.com/fight-details/11706648d34ff3e8,http://ufcstats.com/event-details/83d0de122f2f9664
6,Michael Johnson  Gleison Tibau,Lightweight,KO/TKO  Punch,2,1:32,"Las Vegas, Nevada, USA","December 28, 2013",http://ufcstats.com/fight-details/b1fd21231f0604e1,http://ufcstats.com/event-details/83d0de122f2f9664
8,John Howard  Siyar Bahadurzada,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","December 28, 2013",http://ufcstats.com/fight-details/a6e494c82d136172,http://ufcstats.com/event-details/83d0de122f2f9664
9,William Patolino  Bobby Voelker,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","December 28, 2013",http://ufcstats.com/fight-details/49c0071ae52fc83a,http://ufcstats.com/event-details/83d0de122f2f9664
10,Robert Peralta  Estevan Payan,Featherweight,KO/TKO  Punches,3,0:12,"Las Vegas, Nevada, USA","December 28, 2013",http://ufcstats.com/fight-details/27635cc4d9fcac98,http://ufcstats.com/event-details/83d0de122f2f9664
0,Demetrious Johnson  Joseph Benavidez,Flyweight,KO/TKO  Punch,1,2:08,"Sacramento, California, USA","December 14, 2013",http://ufcstats.com/fight-details/e6663b2c16df6191,http://ufcstats.com/event-details/480b702debcb5433
1,Urijah Faber  Michael McDonald,Bantamweight,SUB  Guillotine Choke,2,3:22,"Sacramento, California, USA","December 14, 2013",http://ufcstats.com/fight-details/00566b4d89565373,http://ufcstats.com/event-details/480b702debcb5433
2,Chad Mendes  Nik Lentz,Featherweight,U-DEC,3,5:00,"Sacramento, California, USA","December 14, 2013",http://ufcstats.com/fight-details/631f0721b3fc56dc,http://ufcstats.com/event-details/480b702debcb5433
3,Joe Lauzon  Mac Danzig,Lightweight,U-DEC,3,5:00,"Sacramento, California, USA","December 14, 2013",http://ufcstats.com/fight-details/319d75c21fbb5d3f,http://ufcstats.com/event-details/480b702debcb5433
4,Ryan LaFlare  Court McGee,Welterweight,U-DEC,3,5:00,"Sacramento, California, USA","December 14, 2013",http://ufcstats.com/fight-details/c1d2ce95229cdbd9,http://ufcstats.com/event-details/480b702debcb5433
5,Edson Barboza  Danny Castillo,Lightweight,M-DEC,3,5:00,"Sacramento, California, USA","December 14, 2013",http://ufcstats.com/fight-details/a5c76ead1a2767b6,http://ufcstats.com/event-details/480b702debcb5433
6,Bobby Green  Pat Healy,Lightweight,U-DEC,3,5:00,"Sacramento, California, USA","December 14, 2013",http://ufcstats.com/fight-details/f5fb4435faf1ca04,http://ufcstats.com/event-details/480b702debcb5433
7,Zach Makovsky  Scott Jorgensen,Flyweight,U-DEC,3,5:00,"Sacramento, California, USA","December 14, 2013",http://ufcstats.com/fight-details/5ffccdf4af20dc0d,http://ufcstats.com/event-details/480b702debcb5433
8,Sam Stout  Cody McKenzie,Lightweight,U-DEC,3,5:00,"Sacramento, California, USA","December 14, 2013",http://ufcstats.com/fight-details/5929c539190c8a07,http://ufcstats.com/event-details/480b702debcb5433
9,Abel Trujillo  Roger Bowling,Lightweight,KO/TKO  Punches,2,1:35,"Sacramento, California, USA","December 14, 2013",http://ufcstats.com/fight-details/4618dcef2dc6250f,http://ufcstats.com/event-details/480b702debcb5433
10,Alptekin Ozkilic  Darren Uyenoyama,Flyweight,S-DEC,3,5:00,"Sacramento, California, USA","December 14, 2013",http://ufcstats.com/fight-details/0f215b143e08f425,http://ufcstats.com/event-details/480b702debcb5433
1,Mauricio Rua  James Te Huna,Light Heavyweight,KO/TKO  Punch,1,1:03,"Brisbane, Queensland, Australia","December 06, 2013",http://ufcstats.com/fight-details/b568f3700aa2c1f7,http://ufcstats.com/event-details/ee457ef1e1c326c1
2,Ryan Bader  Anthony Perosh,Light Heavyweight,U-DEC,3,5:00,"Brisbane, Queensland, Australia","December 06, 2013",http://ufcstats.com/fight-details/bfc321f0b0a7bf40,http://ufcstats.com/event-details/ee457ef1e1c326c1
3,Soa Palelei  Pat Barry,Heavyweight,KO/TKO  Punches,1,2:09,"Brisbane, Queensland, Australia","December 06, 2013",http://ufcstats.com/fight-details/45e6eec6b35d7dfe,http://ufcstats.com/event-details/ee457ef1e1c326c1
4,Clint Hester  Dylan Andrews,Middleweight,KO/TKO,2,5:00,"Brisbane, Queensland, Australia","December 06, 2013",http://ufcstats.com/fight-details/adc1b34f6988bd68,http://ufcstats.com/event-details/ee457ef1e1c326c1
