,f1_odds,f2_odds,fight,f1,f2
2,1.33,3.95,Jorge Masvidal vs James Krause,Jorge Masvidal,James Krause
2,1.29,4.4,Stephen Thompson vs Patrick Cote,Stephen Thompson,Patrick Cote
2,3.2,1.5,Brian Ebersole vs John Howard,Brian Ebersole,John Howard
2,1.44,3.2,Kevin Lee vs Jon Tuck,Kevin Lee,Jon Tuck
2,2.55,1.65,Manny Gamburyan vs Cody Gibson,Manny Gamburyan,Cody Gibson
2,2.1,2.14,Mark Hunt vs Roy Nelson,Mark Hunt,Roy Nelson
2,1.18,6.05,Myles Jury vs Takanori Gomi,Myles Jury,Takanori Gomi
2,1.65,2.77,Yoshihiro Akiyama vs Amir Sadollah,Yoshihiro Akiyama,Amir Sadollah
2,1.34,3.9,Miesha Tate vs Rin Nakai,Miesha Tate,Rin Nakai
2,1.43,3.15,Kiichi Kunimoto vs Richard Walsh,Kiichi Kunimoto,Richard Walsh
2,1.17,6.5,Kyoji Horiguchi vs Jon delos Reyes,Kyoji Horiguchi,Jon delos Reyes
2,3.65,1.35,Masanori Kanehara vs Alex Caceres,Masanori Kanehara,Alex Caceres
2,1.72,2.35,Katsunori Kikuno vs Sam Sicilia,Katsunori Kikuno,Sam Sicilia
2,1.17,6.55,Hyun Gyu Lim vs Takenori Sato,Hyun Gyu Lim,Takenori Sato
2,2.47,1.67,Kyung Ho Kang vs Michinori Tanaka,Kyung Ho Kang,Michinori Tanaka
2,2.28,1.77,Johnny Case vs Kazuki Tokudome,Johnny Case,Kazuki Tokudome
2,1.75,2.35,Maximo Blanco vs Daniel Hooker,Maximo Blanco,Daniel Hooker
2,4.8,1.24,Andrei Arlovski vs Antonio Silva,Andrei Arlovski,Antonio Silva
2,1.43,3.5,Gleison Tibau vs Piotr Hallmann,Gleison Tibau,Piotr Hallmann
2,1.48,3.25,Leonardo Santos vs Efrain Escudero,Leonardo Santos,Efrain Escudero
2,1.95,2.0,Santiago Ponzinibbio vs Wendell Oliveira,Santiago Ponzinibbio,Wendell Oliveira
2,1.32,3.85,Yuri Alcantara vs Russell Doane,Yuri Alcantara,Russell Doane
2,1.91,2.05,Jessica Andrade vs Larissa Pacheco,Jessica Andrade,Larissa Pacheco
2,1.77,2.25,Godofredo Pepey vs Dashon Johnson,Godofredo Pepey,Dashon Johnson
2,2.35,1.77,George Sullivan vs Igor Araujo,George Sullivan,Igor Araujo
2,1.57,2.71,Francisco Trinaldo vs Leandro Silva,Francisco Trinaldo,Leandro Silva
2,1.5,3.15,Sean Spencer vs Paulo Thiago,Sean Spencer,Paulo Thiago
2,2.25,1.8,Rani Yahya vs Johnny Bedford,Rani Yahya,Johnny Bedford
2,1.1,10.0,T.J. Dillashaw vs Joe Soto,T.J. Dillashaw,Joe Soto
2,1.42,3.45,Tony Ferguson vs Danny Castillo,Tony Ferguson,Danny Castillo
2,1.7,2.4,Bethe Correia vs Shayna Baszler,Bethe Correia,Shayna Baszler
2,1.56,2.7,Carlos Diego Ferreira vs Ramsey Nijem,Carlos Diego Ferreira,Ramsey Nijem
2,1.95,2.05,Yancy Medeiros vs Damon Jackson,Yancy Medeiros,Damon Jackson
2,1.61,2.65,Derek Brunson vs Lorenz Larkin,Derek Brunson,Lorenz Larkin
2,1.45,3.05,Anthony Hamilton vs Ruan Potts,Anthony Hamilton,Ruan Potts
2,1.71,2.38,Chris Wade vs Cain Carrizosa,Chris Wade,Cain Carrizosa
2,1.43,3.55,Michael Bisping vs Cung Le,Michael Bisping,Cung Le
2,1.55,2.9,Tyron Woodley vs Dong Hyun Kim,Tyron Woodley,Dong Hyun Kim
2,2.4,1.79,Zhang Lipeng vs Brendan O'Reilly,Zhang Lipeng,Brendan O'Reilly
2,3.07,1.5,Ning Guangyou vs Yang Jianping,Ning Guangyou,Yang Jianping
2,2.84,1.53,Wang Sai vs Danny Mitchell,Wang Sai,Danny Mitchell
2,1.45,3.31,Alberto Mina vs Shinsho Anzai,Alberto Mina,Shinsho Anzai
2,1.71,2.35,Yuta Sasaki vs Roland Delorme,Yuta Sasaki,Roland Delorme
2,1.24,5.2,Colby Covington vs Wang Anying,Colby Covington,Wang Anying
2,1.45,3.4,Royston Wee vs Zhuikui Yao,Royston Wee,Zhuikui Yao
2,1.71,2.33,Milana Dudieva vs Elizabeth Phillips,Milana Dudieva,Elizabeth Phillips
2,1.35,5.0,Robbie Lawler vs Matt Brown,Robbie Lawler,Matt Brown
2,1.17,6.4,Anthony Johnson vs Rogerio Nogueira,Anthony Johnson,Rogerio Nogueira
2,1.62,2.85,Dennis Bermudez vs Clay Guida,Dennis Bermudez,Clay Guida
2,4.45,1.31,Bobby Green vs Josh Thomson,Bobby Green,Josh Thomson
2,1.47,3.15,Jorge Masvidal vs Daron Cruickshank,Jorge Masvidal,Daron Cruickshank
2,1.5,3.05,Patrick Cummins vs Kyle Kingsbury,Patrick Cummins,Kyle Kingsbury
2,1.56,3.0,Tim Means vs Hernani Perpetuo,Tim Means,Hernani Perpetuo
2,1.59,2.81,Brian Ortega vs Mike de la Torre,Brian Ortega,Mike de la Torre
2,1.4,3.75,Tiago Trator vs Akbarh Arreola,Tiago Trator,Akbarh Arreola
2,1.69,2.47,Gilbert Burns vs Andreas Stahl,Gilbert Burns,Andreas Stahl
2,1.32,3.85,Joanna Jedrzejczyk vs Juliana Lima,Joanna Jedrzejczyk,Juliana Lima
2,3.07,1.48,Noad Lahat vs Steven Siler,Noad Lahat,Steven Siler
2,1.18,6.6,Conor McGregor vs Diego Brandao,Conor McGregor,Diego Brandao
2,1.16,7.6,Gunnar Nelson vs Zak Cummings,Gunnar Nelson,Zak Cummings
2,1.67,2.5,Ian McCall vs Brad Pickett,Ian McCall,Brad Pickett
2,1.25,5.15,Norman Parke vs Naoyuki Kotani,Norman Parke,Naoyuki Kotani
2,1.38,3.65,Ilir Latifi vs Chris Dempsey,Ilir Latifi,Chris Dempsey
2,1.65,2.45,Neil Seery vs Phil Harris,Neil Seery,Phil Harris
