,f1_odds,f2_odds,fight,f1,f2
2,1.29,4.7,Daniel Cormier vs Derrick Lewis,Daniel Cormier,Derrick Lewis
2,1.64,2.5,Chris Weidman vs Ronaldo Souza,Chris Weidman,Ronaldo Souza
2,4.0,1.33,Jared Cannonier vs David Branch,Jared Cannonier,David Branch
2,3.95,1.32,Jack Marshman vs Karl Roberson,Jack Marshman,Karl Roberson
2,3.25,1.42,Derek Brunson vs Israel Adesanya,Derek Brunson,Israel Adesanya
2,1.36,3.75,Jason Knight vs Jordan Rinaldi,Jason Knight,Jordan Rinaldi
2,1.2,5.8,Sijara Eubanks vs Roxanne Modafferi,Sijara Eubanks,Roxanne Modafferi
2,1.42,3.33,Julio Arce vs Sheymon da Silva Moraes,Julio Arce,Sheymon da Silva Moraes
2,1.17,6.0,Lyman Good vs Ben Saunders,Lyman Good,Ben Saunders
2,1.45,3.25,Lando Vannata vs Matt Frevola,Lando Vannata,Matt Frevola
2,4.5,1.33,Kurt Holobaugh vs Shane Burgos,Kurt Holobaugh,Shane Burgos
2,1.6,2.9,Adam Wieczorek vs Marcos Rogerio de Lima,Adam Wieczorek,Marcos Rogerio de Lima
2,1.68,2.5,Volkan Oezdemir vs Anthony Smith,Volkan Oezdemir,Anthony Smith
2,1.18,5.86,Michael Johnson vs Artem Lobov,Michael Johnson,Artem Lobov
2,1.31,4.0,Misha Cirkunov vs Patrick Cummins,Misha Cirkunov,Patrick Cummins
2,1.74,2.5,Andre Soukhamthath vs Jonathan Martinez,Andre Soukhamthath,Jonathan Martinez
2,1.49,3.05,Gian Villante vs Ed Herman,Gian Villante,Ed Herman
2,1.5,3.05,Alex Garcia vs Court McGee,Alex Garcia,Court McGee
2,1.91,2.2,Nordine Taleb vs Sean Strickland,Nordine Taleb,Sean Strickland
2,1.14,7.0,Nasrat Haqparast vs Thibault Gouti,Nasrat Haqparast,Thibault Gouti
2,1.51,4.2,Calvin Kattar vs Chris Fishgold,Calvin Kattar,Chris Fishgold
2,1.61,2.59,Sarah Moras vs Talita Bernardo,Sarah Moras,Talita Bernardo
2,1.23,5.0,Te Edwards vs Don Madge,Te Edwards,Don Madge
2,1.67,2.5,Arjan Bhullar vs Marcelo Golm,Arjan Bhullar,Marcelo Golm
2,1.64,2.5,Stevie Ray vs Jessin Ayari,Stevie Ray,Jessin Ayari
2,1.61,2.7,Khabib Nurmagomedov vs Conor McGregor,Khabib Nurmagomedov,Conor McGregor
2,1.54,2.7,Sergio Pettis vs Jussier Formiga,Sergio Pettis,Jussier Formiga
2,1.65,2.47,Alexander Volkov vs Derrick Lewis,Alexander Volkov,Derrick Lewis
2,3.0,1.57,Ovince St Preux vs Dominick Reyes,Ovince St Preux,Dominick Reyes
2,1.31,4.4,Tony Ferguson vs Anthony Pettis,Tony Ferguson,Anthony Pettis
2,1.16,7.0,Vicente Luque vs Jalin Turner,Vicente Luque,Jalin Turner
2,1.8,2.2,Felice Herrig vs Michelle Waterson,Felice Herrig,Michelle Waterson
2,1.44,3.35,Yana Kunitskaya vs Lina Lansberg,Yana Kunitskaya,Lina Lansberg
2,3.75,1.36,Scott Holtzman vs Alan Patrick,Scott Holtzman,Alan Patrick
2,3.15,1.45,Gray Maynard vs Nik Lentz,Gray Maynard,Nik Lentz
2,1.83,2.15,Ryan LaFlare vs Tony Martin,Ryan LaFlare,Tony Martin
2,1.57,2.64,Aspen Ladd vs Tonya Evinger,Aspen Ladd,Tonya Evinger
2,1.54,2.75,Thiago Santos vs Eryk Anders,Thiago Santos,Eryk Anders
2,5.0,1.22,Carlo Pedersoli Jr. vs Alex Oliveira,Carlo Pedersoli Jr.,Alex Oliveira
2,1.3,4.08,Sam Alvey vs Rogerio Nogueira,Sam Alvey,Rogerio Nogueira
2,1.62,2.7,Renan Barao vs Andre Ewell,Renan Barao,Andre Ewell
2,2.2,1.8,Randa Markos vs Marina Alcalde Rodriguez,Randa Markos,Marina Alcalde Rodriguez
2,1.25,4.75,Charles Oliveira vs Christos Giagos,Charles Oliveira,Christos Giagos
2,1.62,2.55,Francisco Trinaldo vs Evan Dunham,Francisco Trinaldo,Evan Dunham
2,1.83,2.2,Ryan Spann vs Luis Henrique,Ryan Spann,Luis Henrique
2,1.53,3.1,Augusto Sakai vs Chase Sherman,Augusto Sakai,Chase Sherman
2,1.39,3.4,Sergio Moraes vs Ben Saunders,Sergio Moraes,Ben Saunders
2,1.74,2.25,Gillian Robertson vs Mayra Bueno Silva,Gillian Robertson,Mayra Bueno Silva
2,1.71,2.45,Thales Leites vs Hector Lombard,Thales Leites,Hector Lombard
2,0.0,0.0,Elizeu Zaleski dos Santos vs Luigi Vendramini,Elizeu Zaleski dos Santos,Luigi Vendramini
2,1.09,11.75,Livia Renata Souza vs Alex Chambers,Livia Renata Souza,Alex Chambers
2,2.1,1.99,Aleksei Oleinik vs Mark Hunt,Aleksei Oleinik,Mark Hunt
2,2.4,1.71,Jan Blachowicz vs Nikita Krylov,Jan Blachowicz,Nikita Krylov
2,2.15,1.83,Andrei Arlovski vs Shamil Abdurakhimov,Andrei Arlovski,Shamil Abdurakhimov
2,5.0,1.24,Thiago Alves vs Alexey Kunchenko,Thiago Alves,Alexey Kunchenko
2,1.62,2.5,Khalid Murtazaliev vs C.B. Dollaway,Khalid Murtazaliev,C.B. Dollaway
2,1.11,9.39,Petr Yan vs Jin Soo Son,Petr Yan,Jin Soo Son
2,1.14,7.05,Rustam Khabilov vs Kajan Johnson,Rustam Khabilov,Kajan Johnson
2,1.2,5.72,Mairbek Taisumov vs Desmond Green,Mairbek Taisumov,Desmond Green
2,5.49,1.22,Marcin Prachnio vs Magomed Ankalaev,Marcin Prachnio,Magomed Ankalaev
2,1.4,3.46,Jordan Johnson vs Adam Yandiev,Jordan Johnson,Adam Yandiev
2,1.17,6.5,Ramazan Emeev vs Stefan Sekulic,Ramazan Emeev,Stefan Sekulic
2,1.2,5.44,Merab Dvalishvili vs Terrion Ware,Merab Dvalishvili,Terrion Ware
2,2.1,1.95,Tyron Woodley vs Darren Till,Tyron Woodley,Darren Till
2,1.24,5.0,Jessica Andrade vs Karolina Kowalkiewicz,Jessica Andrade,Karolina Kowalkiewicz
2,10.75,1.09,Brandon Davis vs Zabit Magomedsharipov,Brandon Davis,Zabit Magomedsharipov
2,2.33,1.7,John Dodson vs Jimmie Rivera,John Dodson,Jimmie Rivera
2,1.94,2.0,Abdul Razak Alhassan vs Niko Price,Abdul Razak Alhassan,Niko Price
2,1.25,4.5,Tatiana Suarez vs Carla Esparza,Tatiana Suarez,Carla Esparza
2,2.55,1.62,Cody Stamann vs Aljamain Sterling,Cody Stamann,Aljamain Sterling
2,1.54,2.9,Geoff Neal vs Frank Camacho,Geoff Neal,Frank Camacho
2,1.61,2.58,Charles Byrd vs Darren Stewart,Charles Byrd,Darren Stewart
2,2.9,1.49,Diego Sanchez vs Craig White,Diego Sanchez,Craig White
2,2.5,1.62,Jim Miller vs Alex White,Jim Miller,Alex White
2,1.91,2.0,Irene Aldana vs Lucie Pudilova,Irene Aldana,Lucie Pudilova
2,1.53,3.5,Jarred Brooks vs Roberto Sanchez,Jarred Brooks,Roberto Sanchez
2,2.2,1.79,Justin Gaethje vs James Vick,Justin Gaethje,James Vick
2,2.15,1.87,Michael Johnson vs Andre Fili,Michael Johnson,Andre Fili
2,1.87,2.15,Angela Hill vs Cortney Casey,Angela Hill,Cortney Casey
2,1.27,4.7,Bryan Barberena vs Jake Ellenberger,Bryan Barberena,Jake Ellenberger
2,1.65,2.5,Deiveson Figueiredo vs John Moraga,Deiveson Figueiredo,John Moraga
2,1.11,9.5,Eryk Anders vs Tim Williams,Eryk Anders,Tim Williams
2,4.0,1.31,James Krause vs Warlley Alves,James Krause,Warlley Alves
2,1.49,2.9,Cory Sandhagen vs Yuri Alcantara,Cory Sandhagen,Yuri Alcantara
2,1.8,2.23,Andrew Sanchez vs Markus Perez,Andrew Sanchez,Markus Perez
2,3.95,1.31,George Sullivan vs Mickey Gall,George Sullivan,Mickey Gall
2,1.6,2.7,Joanne Calderwood vs Kalindra Faria,Joanne Calderwood,Kalindra Faria
2,1.5,3.1,Drew Dober vs Jon Tuck,Drew Dober,Jon Tuck
2,2.0,2.0,Rani Yahya vs Luke Sanders,Rani Yahya,Luke Sanders
2,2.15,1.83,Cody Garbrandt vs T.J. Dillashaw,Cody Garbrandt,T.J. Dillashaw
2,1.22,5.0,Demetrious Johnson vs Henry Cejudo,Demetrious Johnson,Henry Cejudo
2,3.75,1.37,Cub Swanson vs Renato Moicano,Cub Swanson,Renato Moicano
2,2.5,1.67,J.J. Aldrich vs Polyana Viana,J.J. Aldrich,Polyana Viana
2,1.31,3.89,Thiago Santos vs Kevin Holland,Thiago Santos,Kevin Holland
2,1.51,3.0,Pedro Munhoz vs Brett Johns,Pedro Munhoz,Brett Johns
2,1.91,2.1,Montel Jackson vs Ricky Simon,Montel Jackson,Ricky Simon
2,1.4,3.5,Ricardo Ramos vs Kyung Ho Kang,Ricardo Ramos,Kyung Ho Kang
2,2.25,1.75,Sheymon da Silva Moraes vs Matt Sayles,Sheymon da Silva Moraes,Matt Sayles
2,1.87,2.35,Alex Perez vs Jose Torres,Alex Perez,Jose Torres
2,3.75,1.4,Danielle Taylor vs Weili Zhang,Danielle Taylor,Weili Zhang
2,1.22,5.25,Marlon Vera vs Wuliji Buren,Marlon Vera,Wuliji Buren
2,1.62,2.67,Dustin Poirier vs Eddie Alvarez,Dustin Poirier,Eddie Alvarez
2,2.1,1.91,Jose Aldo vs Jeremy Stephens,Jose Aldo,Jeremy Stephens
2,1.36,3.75,Joanna Jedrzejczyk vs Tecia Torres,Joanna Jedrzejczyk,Tecia Torres
2,1.91,2.1,Olivier Aubin-Mercier vs Alexander Hernandez,Olivier Aubin-Mercier,Alexander Hernandez
2,1.73,2.33,Jordan Mein vs Alex Morono,Jordan Mein,Alex Morono
2,1.29,4.8,Hakeem Dawodu vs Austin Arnett,Hakeem Dawodu,Austin Arnett
2,5.72,1.2,Kajan Johnson vs Islam Makhachev,Kajan Johnson,Islam Makhachev
2,2.15,1.91,Gadzhimurad Antigulov vs Ion Cutelaba,Gadzhimurad Antigulov,Ion Cutelaba
2,1.49,3.01,John Makdessi vs Ross Pearson,John Makdessi,Ross Pearson
2,2.4,1.68,Alexis Davis vs Katlyn Chookagian,Alexis Davis,Katlyn Chookagian
2,2.75,1.53,Dustin Ortiz vs Matheus Nicolau,Dustin Ortiz,Matheus Nicolau
2,2.25,1.74,Randa Markos vs Nina Ansaroff,Randa Markos,Nina Ansaroff
2,2.0,2.0,Alvaro Herrera vs Devin Powell,Alvaro Herrera,Devin Powell
2,2.6,1.71,Mauricio Rua vs Anthony Smith,Mauricio Rua,Anthony Smith
2,2.38,1.85,Corey Anderson vs Glover Teixeira,Corey Anderson,Glover Teixeira
2,2.85,1.53,Vitor Miranda vs Abu Azaitar,Vitor Miranda,Abu Azaitar
2,1.5,2.9,Marcin Tybura vs Stefan Struve,Marcin Tybura,Stefan Struve
2,3.5,1.5,David Zawada vs Danny Roberts,David Zawada,Danny Roberts
2,2.5,1.64,Nasrat Haqparast vs Marc Diakiese,Nasrat Haqparast,Marc Diakiese
2,1.62,2.48,Nick Hein vs Damir Hadzovic,Nick Hein,Damir Hadzovic
2,1.7,2.4,Emil Meek vs Bartosz Fabinski,Emil Meek,Bartosz Fabinski
2,1.4,3.31,Nad Narimani vs Khalid Taha,Nad Narimani,Khalid Taha
2,1.87,2.05,Justin Ledet vs Aleksandar Rakic,Justin Ledet,Aleksandar Rakic
2,1.4,3.52,Manny Bermudez vs Davey Grant,Manny Bermudez,Davey Grant
2,3.3,1.4,Jeremy Kimball vs Darko Stosic,Jeremy Kimball,Darko Stosic
2,1.95,2.03,Damian Stasiak vs Pingyuan Liu,Damian Stasiak,Pingyuan Liu
2,1.57,2.9,Junior dos Santos vs Blagoy Ivanov,Junior dos Santos,Blagoy Ivanov
2,1.83,2.35,Sage Northcutt vs Zak Ottow,Sage Northcutt,Zak Ottow
2,1.87,2.85,Chad Mendes vs Myles Jury,Chad Mendes,Myles Jury
2,3.1,1.48,Darren Elkins vs Alex Volkanovski,Darren Elkins,Alex Volkanovski
2,1.95,2.0,Marion Reneau vs Cat Zingano,Marion Reneau,Cat Zingano
2,2.65,1.58,Eddie Wineland vs Alejandro Perez,Eddie Wineland,Alejandro Perez
2,1.58,2.65,Dennis Bermudez vs Rick Glenn,Dennis Bermudez,Rick Glenn
2,2.07,1.89,Justin Scoggins vs Said Nurmagomedov,Justin Scoggins,Said Nurmagomedov
2,1.8,2.15,Randy Brown vs Niko Price,Randy Brown,Niko Price
2,1.63,2.5,Kurt Holobaugh vs Raoni Barcelos,Kurt Holobaugh,Raoni Barcelos
2,1.89,2.1,Liz Carmouche vs Jennifer Maia,Liz Carmouche,Jennifer Maia
2,2.2,1.77,Mark Delarosa vs Elias Garcia,Mark Delarosa,Elias Garcia
2,2.53,1.67,Jessica Aguilar vs Jodie Esquibel,Jessica Aguilar,Jodie Esquibel
2,2.77,1.54,Daniel Cormier vs Stipe Miocic,Daniel Cormier,Stipe Miocic
2,1.4,3.8,Francis Ngannou vs Derrick Lewis,Francis Ngannou,Derrick Lewis
2,2.5,1.7,Mike Perry vs Paul Felder,Mike Perry,Paul Felder
2,1.62,2.6,Michael Chiesa vs Anthony Pettis,Michael Chiesa,Anthony Pettis
2,1.74,2.3,Gokhan Saki vs Khalil Rountree,Gokhan Saki,Khalil Rountree
2,0.0,0.0,Paulo Costa vs Urijah Hall,Paulo Costa,Urijah Hall
2,1.78,2.38,Raphael Assuncao vs Rob Font,Raphael Assuncao,Rob Font
2,1.54,2.74,Lando Vannata vs Drakkar Klose,Lando Vannata,Drakkar Klose
2,2.55,1.61,Max Griffin vs Curtis Millender,Max Griffin,Curtis Millender
2,1.89,2.05,Daniel Hooker vs Gilbert Burns,Daniel Hooker,Gilbert Burns
2,1.57,2.75,Jamie Moyle vs Emily Whitmire,Jamie Moyle,Emily Whitmire
2,2.05,1.91,Brad Tavares vs Israel Adesanya,Brad Tavares,Israel Adesanya
2,2.55,1.65,Mike Trizano vs Joe Giannetti,Mike Trizano,Joe Giannetti
2,2.4,1.75,Alessio Di Chirico vs Julian Marquez,Alessio Di Chirico,Julian Marquez
2,1.8,2.23,Alex Caceres vs Martin Bravo,Alex Caceres,Martin Bravo
2,1.29,4.4,Luis Pena vs Richie Smullen,Luis Pena,Richie Smullen
2,1.65,2.5,Barb Honchak vs Roxanne Modafferi,Barb Honchak,Roxanne Modafferi
2,1.65,2.45,Montana De La Rosa vs Rachael Ostovich,Montana De La Rosa,Rachael Ostovich
2,3.3,1.44,Jay Cucciniello vs Brad Katona,Jay Cucciniello,Brad Katona
2,1.7,2.37,John Gunther vs Allan Zuniga,John Gunther,Allan Zuniga
2,1.91,2.29,Tyler Diamond vs Bryce Mitchell,Tyler Diamond,Bryce Mitchell
2,1.79,2.3,Matt Bessette vs Steven Peterson,Matt Bessette,Steven Peterson
2,1.49,3.01,Oskar Piechota vs Gerald Meerschaert,Oskar Piechota,Gerald Meerschaert
2,3.25,1.49,Donald Cerrone vs Leon Edwards,Donald Cerrone,Leon Edwards
2,1.74,2.26,Tyson Pedro vs Ovince St Preux,Tyson Pedro,Ovince St Preux
2,5.72,1.18,Shinsho Anzai vs Jake Matthews,Shinsho Anzai,Jake Matthews
2,1.54,2.69,Naoki Inoue vs Matt Schnell,Naoki Inoue,Matt Schnell
2,1.62,2.5,Jessica-Rose Clark vs Jessica Eye,Jessica-Rose Clark,Jessica Eye
2,1.62,2.5,Viviane Pereira vs Yan Xiaonan,Viviane Pereira,Yan Xiaonan
2,6.15,1.17,Teruto Ishihara vs Petr Yan,Teruto Ishihara,Petr Yan
2,1.45,3.15,Li Jingliang vs Daichi Abe,Li Jingliang,Daichi Abe
2,3.3,1.43,Jenel Lausa vs Yuta Sasaki,Jenel Lausa,Yuta Sasaki
2,2.0,1.91,Felipe Arantes vs Yadong Song,Felipe Arantes,Yadong Song
2,1.36,3.6,Kenan Song vs Hector Aldana,Kenan Song,Hector Aldana
2,2.5,1.62,Rolando Dy vs Shane Young,Rolando Dy,Shane Young
2,1.6,2.75,Ji Yeon Kim vs Melinda Fabian,Ji Yeon Kim,Melinda Fabian
2,3.7,1.4,Yoel Romero vs Robert Whittaker,Yoel Romero,Robert Whittaker
2,1.87,2.33,Colby Covington vs Rafael dos Anjos,Colby Covington,Rafael dos Anjos
2,1.7,2.65,Holly Holm vs Megan Anderson,Holly Holm,Megan Anderson
2,3.1,1.45,Andrei Arlovski vs Tai Tuivasa,Andrei Arlovski,Tai Tuivasa
2,2.75,1.56,Phil Brooks vs Mike Jackson,Phil Brooks,Mike Jackson
2,2.75,1.57,Alistair Overeem vs Curtis Blaydes,Alistair Overeem,Curtis Blaydes
2,1.38,5.25,Claudia Gadelha vs Carla Esparza,Claudia Gadelha,Carla Esparza
2,3.15,1.45,Ricardo Lamas vs Mirsad Bektic,Ricardo Lamas,Mirsad Bektic
2,1.91,2.2,Rashad Coulter vs Chris de la Rocha,Rashad Coulter,Chris de la Rocha
2,3.12,1.5,Rashad Evans vs Anthony Smith,Rashad Evans,Anthony Smith
2,1.59,2.9,Joseph Benavidez vs Sergio Pettis,Joseph Benavidez,Sergio Pettis
2,2.35,1.74,Clay Guida vs Charles Oliveira,Clay Guida,Charles Oliveira
2,2.1,1.93,Mike Santiago vs Dan Ige,Mike Santiago,Dan Ige
2,1.9,2.08,Jimmie Rivera vs Marlon Moraes,Jimmie Rivera,Marlon Moraes
2,1.27,5.0,Gregor Gillespie vs Vinc Pichel,Gregor Gillespie,Vinc Pichel
2,1.51,3.1,Walt Harris vs Daniel Spitz,Walt Harris,Daniel Spitz
2,1.66,2.5,Jake Ellenberger vs Ben Saunders,Jake Ellenberger,Ben Saunders
2,2.7,1.57,Daniel Teymur vs Julio Arce,Daniel Teymur,Julio Arce
2,1.71,2.35,Sam Alvey vs Gian Villante,Sam Alvey,Gian Villante
2,1.53,2.9,Sijara Eubanks vs Lauren Murphy,Sijara Eubanks,Lauren Murphy
2,3.65,1.36,Nik Lentz vs David Teymur,Nik Lentz,David Teymur
2,1.25,4.75,Belal Muhammad vs Chance Rencountre,Belal Muhammad,Chance Rencountre
2,3.85,1.33,Gleison Tibau vs Desmond Green,Gleison Tibau,Desmond Green
2,3.25,1.43,Johnny Eduardo vs Nathaniel Wood,Johnny Eduardo,Nathaniel Wood
2,1.74,2.3,Jose Torres vs Jarred Brooks,Jose Torres,Jarred Brooks
2,1.7,2.35,Stephen Thompson vs Darren Till,Stephen Thompson,Darren Till
2,6.59,1.17,Craig White vs Neil Magny,Craig White,Neil Magny
2,1.42,3.2,Arnold Allen vs Mads Burnell,Arnold Allen,Mads Burnell
2,2.55,1.61,Makwan Amirkhani vs Jason Knight,Makwan Amirkhani,Jason Knight
2,4.75,1.29,Claudio Silva vs Nordine Taleb,Claudio Silva,Nordine Taleb
2,1.65,2.5,Eric Spicely vs Darren Stewart,Eric Spicely,Darren Stewart
2,4.25,1.29,Daniel Kelly vs Tom Breese,Daniel Kelly,Tom Breese
2,1.73,2.45,Gina Mazany vs Lina Lansberg,Gina Mazany,Lina Lansberg
2,1.74,2.38,Carlo Pedersoli Jr. vs Brad Scott,Carlo Pedersoli Jr.,Brad Scott
2,1.63,2.5,Molly McCann vs Gillian Robertson,Molly McCann,Gillian Robertson
2,1.28,4.3,Elias Theodorou vs Trevor Smith,Elias Theodorou,Trevor Smith
2,1.13,7.65,Amanda Nunes vs Raquel Pennington,Amanda Nunes,Raquel Pennington
2,1.91,2.05,Ronaldo Souza vs Kelvin Gastelum,Ronaldo Souza,Kelvin Gastelum
2,1.44,3.3,Mackenzie Dern vs Amanda Cooper,Mackenzie Dern,Amanda Cooper
2,3.2,1.42,Brian Kelleher vs John Lineker,Brian Kelleher,John Lineker
2,3.1,1.48,Vitor Belfort vs Lyoto Machida,Vitor Belfort,Lyoto Machida
2,1.95,1.95,Karl Roberson vs Cezar Ferreira,Karl Roberson,Cezar Ferreira
2,1.67,2.4,Junior Albini vs Aleksei Oleinik,Junior Albini,Aleksei Oleinik
2,1.73,2.35,Davi Ramos vs Nick Hein,Davi Ramos,Nick Hein
2,2.0,2.05,Sean Strickland vs Elizeu Zaleski dos Santos,Sean Strickland,Elizeu Zaleski dos Santos
2,1.4,3.45,Warlley Alves vs Sultan Aliev,Warlley Alves,Sultan Aliev
2,2.3,1.74,Thales Leites vs Jack Hermansson,Thales Leites,Jack Hermansson
2,2.6,1.65,Alberto Mina vs Ramazan Emeev,Alberto Mina,Ramazan Emeev
2,1.34,3.65,Markus Perez vs James Bochnovic,Markus Perez,James Bochnovic
2,2.55,1.69,Edson Barboza vs Kevin Lee,Edson Barboza,Kevin Lee
2,1.4,3.65,Frankie Edgar vs Cub Swanson,Frankie Edgar,Cub Swanson
2,1.4,3.8,Justin Willis vs Chase Sherman,Justin Willis,Chase Sherman
2,2.55,1.65,David Branch vs Thiago Santos,David Branch,Thiago Santos
2,1.93,2.0,Aljamain Sterling vs Brett Johns,Aljamain Sterling,Brett Johns
2,3.85,1.34,Jim Miller vs Daniel Hooker,Jim Miller,Daniel Hooker
2,1.69,2.35,Ryan LaFlare vs Alex Garcia,Ryan LaFlare,Alex Garcia
2,2.3,1.81,Merab Dvalishvili vs Ricky Simon,Merab Dvalishvili,Ricky Simon
2,2.55,1.69,Siyar Bahadurzada vs Luan Chagas,Siyar Bahadurzada,Luan Chagas
2,1.73,2.4,Corey Anderson vs Patrick Cummins,Corey Anderson,Patrick Cummins
2,1.52,3.0,Tony Martin vs Keita Nakamura,Tony Martin,Keita Nakamura
2,2.1,1.87,Justin Gaethje vs Dustin Poirier,Justin Gaethje,Dustin Poirier
2,2.64,1.58,Carlos Condit vs Alex Oliveira,Carlos Condit,Alex Oliveira
2,1.45,3.15,Israel Adesanya vs Marvin Vettori,Israel Adesanya,Marvin Vettori
2,2.55,1.65,Michelle Waterson vs Cortney Casey,Michelle Waterson,Cortney Casey
2,1.45,3.3,Antonio Carlos Junior vs Tim Boetsch,Antonio Carlos Junior,Tim Boetsch
2,2.8,1.56,Ricky Rainey vs Muslim Salikhov,Ricky Rainey,Muslim Salikhov
2,1.87,2.1,Wilson Reis vs John Moraga,Wilson Reis,John Moraga
2,1.95,2.11,Krzysztof Jotko vs Brad Tavares,Krzysztof Jotko,Brad Tavares
2,1.18,6.05,Gilbert Burns vs Dan Moret,Gilbert Burns,Dan Moret
2,2.43,1.74,Shana Dobson vs Lauren Mueller,Shana Dobson,Lauren Mueller
2,2.13,1.91,Dhiego Lima vs Yushin Okami,Dhiego Lima,Yushin Okami
2,1.32,4.15,Arjan Bhullar vs Adam Wieczorek,Arjan Bhullar,Adam Wieczorek
2,2.0,1.95,Alejandro Perez vs Matthew Lopez,Alejandro Perez,Matthew Lopez
2,1.24,4.75,Luke Sanders vs Patrick Williams,Luke Sanders,Patrick Williams
2,6.8,1.17,Al Iaquinta vs Khabib Nurmagomedov,Al Iaquinta,Khabib Nurmagomedov
2,2.1,1.93,Rose Namajunas vs Joanna Jedrzejczyk,Rose Namajunas,Joanna Jedrzejczyk
2,2.05,2.0,Renato Moicano vs Calvin Kattar,Renato Moicano,Calvin Kattar
2,1.71,2.38,Joe Lauzon vs Chris Gruetzemacher,Joe Lauzon,Chris Gruetzemacher
2,1.16,6.75,Zabit Magomedsharipov vs Kyle Bochniak,Zabit Magomedsharipov,Kyle Bochniak
2,1.54,2.7,Karolina Kowalkiewicz vs Felice Herrig,Karolina Kowalkiewicz,Felice Herrig
2,1.77,2.25,Evan Dunham vs Olivier Aubin-Mercier,Evan Dunham,Olivier Aubin-Mercier
2,2.95,1.53,Bec Rawlings vs Ashlee Evans-Smith,Bec Rawlings,Ashlee Evans-Smith
2,2.05,1.91,Devin Clark vs Mike Rodriguez,Devin Clark,Mike Rodriguez
2,1.56,2.9,Fabricio Werdum vs Alexander Volkov,Fabricio Werdum,Alexander Volkov
2,1.56,4.2,Jimi Manuwa vs Jan Blachowicz,Jimi Manuwa,Jan Blachowicz
2,4.14,1.3,Terrion Ware vs Tom Duquesnoy,Terrion Ware,Tom Duquesnoy
2,1.53,2.85,Leon Edwards vs Peter Sobotta,Leon Edwards,Peter Sobotta
2,2.05,1.93,Charles Byrd vs John Phillips,Charles Byrd,John Phillips
2,1.57,2.64,Stevie Ray vs Kajan Johnson,Stevie Ray,Kajan Johnson
2,3.6,1.4,Danny Henry vs Hakeem Dawodu,Danny Henry,Hakeem Dawodu
2,6.0,1.17,Paul Craig vs Magomed Ankalaev,Paul Craig,Magomed Ankalaev
2,1.67,2.53,Danny Roberts vs Oliver Enkamp,Danny Roberts,Oliver Enkamp
2,1.41,3.35,Dmitriy Sosnovskiy vs Mark Godbeer,Dmitriy Sosnovskiy,Mark Godbeer
2,1.11,9.8,Cristiane Justino vs Yana Kunitskaya,Cristiane Justino,Yana Kunitskaya
2,2.5,1.69,Brian Ortega vs Frankie Edgar,Brian Ortega,Frankie Edgar
2,2.08,2.37,Sean O'Malley vs Andre Soukhamthath,Sean O'Malley,Andre Soukhamthath
2,2.7,1.59,Andrei Arlovski vs Stefan Struve,Andrei Arlovski,Stefan Struve
2,2.8,1.83,Cat Zingano vs Ketlen Vieira,Cat Zingano,Ketlen Vieira
2,5.05,1.25,Ashley Yoder vs Mackenzie Dern,Ashley Yoder,Mackenzie Dern
2,1.27,4.75,Beneil Dariush vs Alexander Hernandez,Beneil Dariush,Alexander Hernandez
2,1.9,3.6,John Dodson vs Pedro Munhoz,John Dodson,Pedro Munhoz
2,2.22,1.95,C.B. Dollaway vs Hector Lombard,C.B. Dollaway,Hector Lombard
2,3.85,1.34,Mike Pyle vs Zak Ottow,Mike Pyle,Zak Ottow
2,2.3,1.91,Bryan Caraway vs Cody Stamann,Bryan Caraway,Cody Stamann
2,1.43,3.35,Jordan Johnson vs Adam Milstead,Jordan Johnson,Adam Milstead
2,1.82,2.3,Jeremy Stephens vs Josh Emmett,Jeremy Stephens,Josh Emmett
2,1.44,3.4,Jessica Andrade vs Tecia Torres,Jessica Andrade,Tecia Torres
2,1.8,2.55,Ovince St Preux vs Ilir Latifi,Ovince St Preux,Ilir Latifi
2,1.36,4.75,Mike Perry vs Max Griffin,Mike Perry,Max Griffin
2,1.66,2.65,Renan Barao vs Brian Kelleher,Renan Barao,Brian Kelleher
2,2.75,1.57,Marion Reneau vs Sara McMann,Marion Reneau,Sara McMann
2,1.77,2.35,Angela Hill vs Maryna Moroz,Angela Hill,Maryna Moroz
2,1.43,3.35,Alan Jouban vs Ben Saunders,Alan Jouban,Ben Saunders
2,3.15,1.47,Sam Alvey vs Marcin Prachnio,Sam Alvey,Marcin Prachnio
2,1.5,3.15,Rani Yahya vs Russell Doane,Rani Yahya,Russell Doane
2,2.1,2.25,Eric Shelton vs Alex Perez,Eric Shelton,Alex Perez
2,2.58,1.65,Albert Morales vs Manny Bermudez,Albert Morales,Manny Bermudez
2,2.09,2.25,Donald Cerrone vs Yancy Medeiros,Donald Cerrone,Yancy Medeiros
2,2.2,2.0,Derrick Lewis vs Marcin Tybura,Derrick Lewis,Marcin Tybura
2,1.5,3.0,James Vick vs Francisco Trinaldo,James Vick,Francisco Trinaldo
2,2.45,1.69,Curtis Millender vs Thiago Alves,Curtis Millender,Thiago Alves
2,1.69,2.54,Brandon Davis vs Steven Peterson,Brandon Davis,Steven Peterson
2,1.35,4.25,Sage Northcutt vs Thibault Gouti,Sage Northcutt,Thibault Gouti
2,1.59,3.2,Jared Gordon vs Carlos Diego Ferreira,Jared Gordon,Carlos Diego Ferreira
2,0.0,0.0,Brian Camozzi vs Geoff Neal,Brian Camozzi,Geoff Neal
