,Fighter,W_L_FIGHTERS,KD_Win,KD_lose,Sig_str_land_win,Sig_str_att_win,Sig_str_land_lose,Sig_str_att_lose,Sig_str_%_win,Sig_str_%_lose,Tot_str_land_win,Tot_str_att_win,Tot_str_land_lose,Tot_str_att_lose,Td_land_win,Td_att_win,Td_land_lose,Td_att_lose,Td_%_win,Td_%_lose,Sub_att_win,Sub_att_lose,Pass_win,Pass_lose,Rev_win,Rev_lose,Head_land_win,Head_att_win,Head_land_lose,Head_att_lose,Body_land_win,Body_att_win,Body_land_lose,Body_att_lose,Leg_land_win,Leg_att_win,Leg_land_lose,Leg_att_lose,Dist_land_win,Dist_att_win,Dist_land_lose,Dist_att_lose,Clinch_land_win,Clinch_att_win,Clinch_land_lose,Clinch_att_lose,Ground_land_win,Ground_att_win,Ground_land_lose,Ground_att_lose
1531,RoyNelsonAntonioSilva,RoyNelsonAntonioSilva,1, 0,36,66,27,61,54%, 44%,38,68,46,81,0,1,0,2,0%, 0%,0, 0,0, 0,0, 0,25,54,7,35,4,5,9,15,7,7,11,11,20,48,24,56,11,13,3,5,5,5,0,0
1532,FranciscoTrinaldoPaulFelder,FranciscoTrinaldoPaulFelder,0, 0,32,67,33,84,47%, 39%,42,85,38,90,1,3,0,0,33%, 0%,0, 0,1, 0,0, 0,16,48,10,52,13,16,11,19,3,3,12,13,20,51,28,74,7,11,4,9,5,5,1,1
1533,ThiagoSantosEricSpicely,EricSpicelyThiagoSantos, 0,0,5,8,2,9, 62%,22%,7,10,4,11,1,2,0,0, 50%,0%, 1,0, 2,1, 0,0,5,8,1,8,0,0,1,1,0,0,0,0,1,3,1,8,2,3,0,0,2,2,1,1
1534,GodofredoPepeyMikedelaTorre,GodofredoPepeyMikedelaTorre,0, 0,24,39,6,18,61%, 33%,27,43,17,30,1,2,0,0,50%, 0%,2, 0,1, 0,0, 0,22,36,6,18,2,3,0,0,0,0,0,0,14,26,6,18,10,11,0,0,0,2,0,0
1535,GilbertBurnsMichelPrazeres,MichelPrazeresGilbertBurns, 0,0,67,169,46,122, 39%,37%,70,176,46,122,5,7,1,4, 71%,25%, 0,0, 0,1, 0,0,30,113,24,94,15,26,13,15,22,30,9,13,63,156,40,112,2,5,5,9,2,8,1,1
1536,RaniYahyaMichinoriTanaka,RaniYahyaMichinoriTanaka,0, 0,10,18,20,34,55%, 58%,19,28,121,144,7,11,1,4,63%, 25%,1, 0,6, 0,1, 2,4,11,10,22,2,2,3,3,4,5,7,9,9,17,5,17,1,1,0,0,0,0,15,17
1537,JussierFormigaDustinOrtiz,JussierFormigaDustinOrtiz,0, 0,8,34,13,65,23%, 20%,55,90,119,188,1,3,0,2,33%, 0%,2, 0,8, 0,0, 2,2,27,7,53,2,3,4,8,4,4,2,4,6,32,8,51,1,1,3,7,1,1,2,7
1538,ErickSilvaLuanChagas,ErickSilvaLuanChagas,1, 2,55,116,41,101,47%, 40%,62,125,44,106,0,0,1,4,0%, 25%,2, 0,4, 2,1, 0,41,98,27,79,8,12,8,14,6,6,6,8,36,79,30,81,2,3,2,3,17,34,9,17
1539,AlanPatrickStevieRay,AlanPatrickStevieRay,0, 0,7,12,2,9,58%, 22%,60,75,56,65,5,8,0,0,62%, 0%,1, 1,6, 2,0, 0,7,11,2,9,0,1,0,0,0,0,0,0,3,6,0,7,0,0,0,0,4,6,2,2
1540,VicenteLuqueHectorUrbina,VicenteLuqueHectorUrbina,1, 0,11,22,5,17,50%, 29%,11,22,5,17,0,0,0,1,0%, 0%,0, 0,0, 0,0, 0,11,22,4,15,0,0,0,1,0,0,1,1,8,18,5,17,3,4,0,0,0,0,0,0
