,Fighter,W_L_FIGHTERS,KD_Win,KD_lose,Sig_str_land_win,Sig_str_att_win,Sig_str_land_lose,Sig_str_att_lose,Sig_str_%_win,Sig_str_%_lose,Tot_str_land_win,Tot_str_att_win,Tot_str_land_lose,Tot_str_att_lose,Td_land_win,Td_att_win,Td_land_lose,Td_att_lose,Td_%_win,Td_%_lose,Sub_att_win,Sub_att_lose,Pass_win,Pass_lose,Rev_win,Rev_lose,Head_land_win,Head_att_win,Head_land_lose,Head_att_lose,Body_land_win,Body_att_win,Body_land_lose,Body_att_lose,Leg_land_win,Leg_att_win,Leg_land_lose,Leg_att_lose,Dist_land_win,Dist_att_win,Dist_land_lose,Dist_att_lose,Clinch_land_win,Clinch_att_win,Clinch_land_lose,Clinch_att_lose,Ground_land_win,Ground_att_win,Ground_land_lose,Ground_att_lose
2146,CarlosConditThiagoAlves,CarlosConditThiagoAlves,1, 0,75,162,34,69,46%, 49%,107,200,35,70,2,3,0,0,66%, 0%,0, 1,5, 0,0, 0,50,128,11,43,14,18,6,6,11,16,17,20,49,128,33,66,4,8,1,3,22,26,0,0
2147,NikLentzCharlesOliveira,CharlesOliveiraNikLentz, 1,0,64,84,37,69, 76%,53%,84,105,58,95,1,2,2,10, 50%,20%, 2,1, 2,5, 0,0,36,51,24,53,25,28,8,10,3,5,5,6,13,20,19,41,23,27,12,21,28,37,6,7
2148,KJNoonsAlexOliveira,AlexOliveiraKJNoons, 0,0,3,13,7,11, 23%,63%,4,14,7,11,3,5,0,0, 60%,0%, 1,0, 2,0, 0,0,1,11,5,8,0,0,0,0,2,2,2,3,3,11,6,10,0,1,1,1,0,1,0,0
2149,FrancimarBarrosoRyanJimmo,FrancimarBarrosoRyanJimmo,0, 0,46,96,35,61,47%, 57%,67,117,46,74,0,14,0,0,0%, 0%,0, 0,0, 0,0, 0,10,53,14,37,6,8,10,12,30,35,11,12,12,55,24,48,34,41,11,13,0,0,0,0
2150,FranciscoTrinaldoNormanParke,FranciscoTrinaldoNormanParke,0, 0,66,191,25,83,34%, 30%,70,196,31,89,0,0,4,12,0%, 33%,0, 0,0, 2,0, 0,32,148,23,77,18,26,2,6,16,17,0,0,55,173,17,70,7,14,7,10,4,4,1,3
2151,WendellOliveiraDarrenTill,DarrenTillWendellOliveira, 0,0,25,41,22,39, 60%,56%,26,42,24,41,0,2,0,3, 0%,0%, 0,0, 1,0, 0,0,15,28,3,14,5,8,1,1,5,5,18,24,17,30,4,18,0,1,18,21,8,10,0,0
2152,JussierFormigaWilsonReis,JussierFormigaWilsonReis,1, 0,21,54,28,66,38%, 42%,36,71,45,87,4,5,0,9,80%, 0%,0, 0,4, 0,0, 1,19,52,12,47,1,1,7,10,1,1,9,9,16,46,14,44,1,3,12,16,4,5,2,6
2153,ElizeuZaleskidosSantosNicolasDalby,NicolasDalbyElizeuZaleskidosSantos, 0,0,41,139,57,131, 29%,43%,50,150,61,135,6,10,0,2, 60%,0%, 0,0, 1,0, 0,1,14,101,37,106,12,19,13,17,15,19,7,8,27,114,44,114,12,21,11,14,2,4,2,3
2154,LucasMartinsMirsadBektic,MirsadBekticLucasMartins, 1,0,39,69,7,23, 56%,30%,78,123,11,27,3,5,0,0, 60%,0%, 0,0, 2,0, 0,0,38,68,7,23,1,1,0,0,0,0,0,0,8,17,7,23,0,0,0,0,31,52,0,0
2155,JulianaLimaErickaAlmeida,JulianaLimaErickaAlmeida,0, 0,41,72,13,37,56%, 35%,119,162,32,58,3,3,0,2,100%, 0%,0, 0,0, 0,0, 0,24,54,11,35,5,5,1,1,12,13,1,1,21,39,12,35,8,11,1,1,12,22,0,1
2156,LuizDutraTomBreese,TomBreeseLuizDutra, 1,0,26,42,21,43, 61%,48%,26,42,28,52,0,2,0,2, 0%,0%, 0,0, 1,0, 0,0,11,23,7,25,11,15,9,13,4,4,5,5,8,16,10,26,11,15,11,17,7,11,0,0
2157,AnthonyJohnsonDanielCormier,DanielCormierAnthonyJohnson, 0,1,23,41,23,50, 56%,46%,70,92,28,56,3,8,1,2, 37%,50%, 3,0, 4,0, 0,0,20,37,18,45,2,2,3,3,1,2,2,2,5,17,15,38,3,4,7,11,15,20,1,1
2158,ChrisWeidmanVitorBelfort,ChrisWeidmanVitorBelfort,0, 0,46,69,18,32,66%, 56%,50,73,19,36,1,2,0,0,50%, 0%,0, 0,2, 0,0, 0,46,67,15,28,0,2,3,4,0,0,0,0,3,12,10,21,0,0,8,11,43,57,0,0
2159,DonaldCerroneJohnMakdessi,DonaldCerroneJohnMakdessi,0, 0,71,171,72,129,41%, 55%,71,171,72,129,0,0,0,0,0%, 0%,0, 0,0, 0,0, 0,43,140,25,65,5,8,34,51,23,23,13,13,69,168,70,126,2,3,2,3,0,0,0,0
2160,TravisBrowneAndreiArlovski,AndreiArlovskiTravisBrowne, 1,1,51,85,15,38, 60%,39%,51,85,15,38,0,0,0,0, 0%,0%, 0,0, 0,0, 0,0,42,73,9,31,7,10,4,5,2,2,2,2,20,43,13,35,28,39,1,1,3,3,1,2
2161,JosephBenavidezJohnMoraga,JosephBenavidezJohnMoraga,0, 0,63,109,42,75,57%, 56%,116,168,55,92,4,6,0,3,66%, 0%,0, 0,8, 0,0, 0,35,73,14,42,12,18,21,26,16,18,7,7,26,61,21,51,15,20,17,19,22,28,4,5
2162,JohnDodsonZachMakovsky,JohnDodsonZachMakovsky,0, 0,31,98,37,85,31%, 43%,32,99,39,87,2,3,0,17,66%, 0%,0, 0,1, 0,0, 0,13,76,14,56,11,14,9,12,7,8,14,17,19,77,31,77,12,20,6,8,0,1,0,0
2163,DongHyunKimJoshuaBurkman,DongHyunKimJoshuaBurkman,0, 0,30,44,20,44,68%, 45%,135,165,21,46,1,8,0,2,12%, 0%,1, 0,2, 0,0, 0,26,37,9,29,3,6,4,7,1,1,7,8,4,13,11,26,7,11,9,18,19,20,0,0
2164,UriahHallRafaelNatal,RafaelNatalUriahHall, 0,0,45,103,43,74, 43%,58%,63,125,47,78,1,11,1,3, 9%,33%, 0,0, 2,0, 0,0,15,62,15,40,6,14,15,21,24,27,13,13,31,85,41,70,14,17,2,4,0,1,0,0
2165,MikePyleColbyCovington,ColbyCovingtonMikePyle, 0,0,26,51,16,26, 50%,61%,95,129,33,46,2,10,0,0, 20%,0%, 0,2, 2,2, 0,1,23,48,10,16,1,1,5,9,2,2,1,1,6,23,7,16,4,6,2,3,16,22,7,7
2166,IslamMakhachevLeoKuntz,IslamMakhachevLeoKuntz,0, 0,32,50,7,25,64%, 28%,53,80,11,30,3,5,0,0,60%, 0%,1, 0,3, 0,0, 0,27,44,2,14,3,4,1,4,2,2,4,7,17,29,7,24,9,14,0,1,6,7,0,0
2167,JustinScogginsJoshuaSampo,JustinScogginsJoshuaSampo,0, 0,64,128,35,91,50%, 38%,64,128,72,129,1,2,1,7,50%, 14%,0, 0,0, 0,0, 0,31,87,17,58,26,32,10,23,7,9,8,10,62,125,28,80,2,3,6,10,0,0,1,1
2168,FrankieEdgarUrijahFaber,FrankieEdgarUrijahFaber,0, 0,83,258,48,147,32%, 32%,91,266,50,149,5,13,0,3,38%, 0%,0, 0,2, 0,0, 0,40,197,34,125,15,29,11,19,28,32,3,3,61,227,45,143,20,29,3,4,2,2,0,0
2169,GegardMousasiCostasPhilippou,GegardMousasiCostasPhilippou,0, 0,56,85,9,46,65%, 19%,137,182,12,49,4,4,0,1,100%, 0%,0, 0,6, 0,0, 0,38,66,3,28,9,10,2,10,9,9,4,8,22,47,9,46,0,0,0,0,34,38,0,0
2170,MarkMunozLukeBarnatt,MarkMunozLukeBarnatt,0, 0,35,71,42,96,49%, 43%,43,79,98,154,9,16,1,2,56%, 50%,0, 0,3, 0,0, 0,30,61,27,74,4,9,14,21,1,1,1,1,18,41,20,65,5,9,20,28,12,21,2,3
2171,HyunGyuLimNeilMagny,NeilMagnyHyunGyuLim, 0,0,43,75,15,36, 57%,41%,64,102,15,36,2,4,0,0, 50%,0%, 0,0, 6,0, 1,0,34,64,12,32,2,4,2,3,7,7,1,1,8,22,7,22,9,11,8,14,26,42,0,0
2172,PhillipeNoverYuiChulNam,PhillipeNoverYuiChulNam,0, 0,12,24,29,60,50%, 48%,54,74,56,92,6,12,2,3,50%, 66%,0, 1,0, 3,0, 0,7,18,15,42,4,5,3,5,1,1,11,13,3,10,1,8,7,9,16,19,2,5,12,33
2173,MarkEddivaLevanMakashvili,LevanMakashviliMarkEddiva, 0,0,27,57,32,77, 47%,41%,63,98,36,82,7,13,0,4, 53%,0%, 0,0, 4,0, 0,0,11,35,5,41,8,13,11,13,8,9,16,23,9,32,19,62,13,19,13,15,5,6,0,0
2174,TaeHyunBangJonTuck,JonTuckTaeHyunBang, 1,0,13,31,12,34, 41%,35%,13,31,12,34,0,0,1,1, 0%,100%, 1,0, 2,0, 0,0,7,23,6,24,4,4,3,5,2,4,3,5,9,23,12,33,2,4,0,1,2,4,0,0
2175,ZhangLipengKajanJohnson,KajanJohnsonZhangLipeng, 0,0,20,51,20,47, 39%,42%,23,54,51,81,3,11,1,2, 27%,50%, 1,0, 1,1, 0,0,10,36,6,31,2,6,4,4,8,9,10,12,8,34,13,32,9,11,6,8,3,6,1,7
2176,JingliangLiDhiegoLima,JingliangLiDhiegoLima,1, 0,13,39,6,16,33%, 37%,13,39,6,16,0,0,0,0,0%, 0%,0, 0,0, 0,0, 0,13,38,5,14,0,0,1,2,0,1,0,0,4,24,6,16,0,0,0,0,9,15,0,0
2177,NingGuangyouRoystonWee,NingGuangyouRoystonWee,0, 0,46,92,18,32,50%, 56%,77,130,29,43,2,2,0,0,100%, 0%,0, 0,0, 0,0, 0,30,68,3,15,8,13,6,6,8,11,9,11,39,82,18,32,0,1,0,0,7,9,0,0
2178,RoldanSangcha-anJonDelosReyes,JonDelosReyesRoldanSangcha-an, 1,0,23,54,27,54, 42%,50%,36,67,32,61,1,1,2,3, 100%,66%, 3,0, 3,3, 1,0,18,46,15,40,4,7,8,10,1,1,4,4,7,26,12,31,5,8,11,16,11,20,4,7
2179,NolanTicmanYaoZhikui,YaoZhikuiNolanTicman, 0,0,9,108,52,109, 8%,47%,12,112,52,109,1,6,0,5, 16%,0%, 0,0, 0,0, 0,1,7,104,24,73,1,3,6,12,1,1,22,24,6,100,20,73,3,8,25,28,0,0,7,8
2180,StipeMiocicMarkHunt,StipeMiocicMarkHunt,0, 0,113,180,33,96,62%, 34%,361,464,46,109,6,8,0,0,75%, 0%,0, 0,5, 0,0, 0,105,172,29,89,7,7,0,2,1,1,4,5,48,95,30,90,8,18,3,6,57,67,0,0
2181,BradTavaresRobertWhittaker,RobertWhittakerBradTavares, 1,0,10,14,2,7, 71%,28%,10,14,2,7,0,0,0,0, 0%,0%, 0,0, 0,0, 0,0,9,12,0,5,0,1,0,0,1,1,2,2,7,11,2,7,0,0,0,0,3,3,0,0
2182,AnthonyPeroshSeanO'Connell,SeanO'ConnellAnthonyPerosh, 0,0,20,38,3,5, 52%,60%,20,38,3,5,0,0,0,0, 0%,0%, 0,0, 0,0, 0,0,18,33,3,5,1,4,0,0,1,1,0,0,9,21,3,5,11,17,0,0,0,0,0,0
2183,JakeMatthewsJamesVick,JamesVickJakeMatthews, 0,0,10,26,4,28, 38%,14%,19,35,4,28,0,1,1,2, 0%,50%, 1,0, 1,0, 0,0,5,17,4,25,2,4,0,3,3,5,0,0,8,24,4,28,2,2,0,0,0,0,0,0
2184,HatsuHiokiDanHooker,DanHookerHatsuHioki, 1,0,21,61,32,92, 34%,34%,34,74,38,98,0,0,2,5, 0%,40%, 0,0, 0,1, 1,0,18,49,23,70,1,4,8,21,2,8,1,1,17,55,32,92,2,3,0,0,2,3,0,0
2185,KyleNokeJonavinWebb,KyleNokeJonavinWebb,0, 1,31,82,23,67,37%, 34%,44,98,33,80,0,0,2,8,0%, 25%,0, 2,1, 2,1, 0,13,53,19,56,2,2,2,6,16,27,2,5,22,62,18,56,0,0,3,7,9,20,2,4
2186,DanielKellySamAlvey,SamAlveyDanielKelly, 1,0,8,13,2,8, 61%,25%,8,13,2,8,0,0,0,0, 0%,0%, 0,0, 0,0, 0,0,8,13,1,7,0,0,0,0,0,0,1,1,6,11,2,8,0,0,0,0,2,2,0,0
2187,BecRawlingsLisaEllis,BecRawlingsLisaEllis,0, 0,21,40,7,17,52%, 41%,33,55,8,18,0,0,1,3,0%, 33%,1, 0,2, 1,0, 0,17,35,6,14,4,5,1,3,0,0,0,0,4,14,2,9,10,15,3,6,7,11,2,2
2188,DylanAndrewsBradleyScott,BradleyScottDylanAndrews, 0,2,42,75,25,56, 56%,44%,64,100,32,63,1,4,1,2, 25%,50%, 1,1, 2,0, 1,0,35,66,10,36,7,9,11,14,0,0,4,6,17,40,11,37,17,26,12,17,8,9,2,2
2189,AlexChambersKailinCurran,AlexChambersKailinCurran,0, 0,44,109,81,190,40%, 42%,53,121,123,239,2,5,2,4,40%, 50%,2, 0,0, 1,0, 0,18,63,50,146,14,21,13,22,12,25,18,22,34,88,54,140,10,21,18,37,0,0,9,13
2190,VikGrujicBrendanO'Reilly,BrendanO'ReillyVikGrujic, 0,0,42,85,59,106, 49%,55%,83,127,103,156,6,10,1,3, 60%,33%, 1,1, 2,1, 0,0,23,59,42,89,15,22,15,15,4,4,2,2,11,30,18,40,27,51,41,66,4,4,0,0
2191,AlptekinOzkilicBenNguyen,BenNguyenAlptekinOzkilic, 2,0,27,60,15,49, 45%,30%,27,60,28,62,0,1,1,3, 0%,33%, 0,0, 0,0, 0,0,18,49,13,45,2,2,2,4,7,9,0,0,18,48,7,32,1,3,3,6,8,9,5,11
2192,DemetriousJohnsonKyojiHoriguchi,DemetriousJohnsonKyojiHoriguchi,0, 0,66,121,31,91,54%, 34%,149,208,61,127,14,22,1,5,63%, 20%,1, 0,6, 0,0, 0,21,56,18,70,31,40,8,13,14,25,5,8,39,86,21,75,16,23,10,16,11,12,0,0
2193,RampageJacksonFabioMaldonado,RampageJacksonFabioMaldonado,0, 0,99,211,67,134,46%, 50%,114,230,94,162,0,0,1,1,0%, 100%,0, 0,0, 0,0, 0,59,160,37,87,31,41,29,45,9,10,1,2,67,155,55,113,32,56,12,21,0,0,0,0
2194,MichaelBispingCBDollaway,MichaelBispingCBDollaway,0, 1,75,202,47,131,37%, 35%,80,207,49,134,0,0,2,8,0%, 25%,0, 0,0, 0,0, 0,56,176,36,115,4,8,4,8,15,18,7,8,69,193,40,114,1,1,1,3,5,8,6,14
2195,JohnMakdessiShaneCampbell,JohnMakdessiShaneCampbell,2, 0,47,98,25,57,47%, 43%,59,114,25,57,0,2,0,3,0%, 0%,0, 0,0, 0,0, 0,39,82,5,28,7,13,7,14,1,3,13,15,26,56,24,54,6,13,1,3,15,29,0,0
2196,YvesJabouinThomasAlmeida,ThomasAlmeidaYvesJabouin, 0,0,31,75,20,56, 41%,35%,32,76,20,56,0,0,1,1, 0%,100%, 0,0, 0,0, 0,0,18,58,12,43,7,9,8,13,6,8,0,0,24,62,18,53,7,13,2,3,0,0,0,0
2197,PatrickCoteJoeRiggs,PatrickCoteJoeRiggs,0, 0,21,48,21,35,43%, 60%,110,151,47,61,3,6,2,2,50%, 100%,1, 0,6, 5,1, 0,11,26,15,28,6,14,3,3,4,8,3,4,8,30,9,19,6,8,9,12,7,10,3,4
2198,AlexisDavisSarahKaufman,AlexisDavisSarahKaufman,0, 0,34,99,65,130,34%, 50%,40,106,76,141,1,3,0,0,33%, 0%,1, 0,1, 0,0, 0,18,77,37,90,7,11,8,12,9,11,20,28,29,91,47,111,5,8,11,12,0,0,7,7
2199,ChadLapriseBryanBarberena,ChadLapriseBryanBarberena,0, 0,84,172,94,202,48%, 46%,84,172,99,207,0,1,1,3,0%, 33%,0, 0,0, 0,0, 0,52,132,36,122,21,29,21,34,11,11,37,46,78,163,72,173,6,9,22,27,0,0,0,2
2200,OlivierAubin-MercierDavidMichaud,OlivierAubin-MercierDavidMichaud,1, 0,49,86,17,52,56%, 32%,82,127,22,57,3,15,0,0,20%, 0%,1, 0,2, 0,0, 0,22,55,14,47,12,16,3,4,15,15,0,1,23,55,12,43,22,26,4,7,4,5,1,2
2201,NordineTalebChrisClements,NordineTalebChrisClements,0, 0,36,64,17,62,56%, 27%,64,97,29,75,6,6,0,0,100%, 0%,0, 1,5, 0,0, 0,26,50,4,39,7,10,5,8,3,4,8,15,12,27,14,52,5,7,3,10,19,30,0,0
2202,JessicaRakoczyValerieLetourneau,ValerieLetourneauJessicaRakoczy, 0,0,38,124,46,107, 30%,42%,50,136,60,125,2,2,1,5, 100%,20%, 2,1, 4,2, 1,1,17,93,26,78,10,14,17,24,11,17,3,5,27,101,29,84,10,22,11,14,1,1,6,9
2203,RandaMarkosAislingDaly,RandaMarkosAislingDaly,0, 0,18,52,27,65,34%, 41%,131,171,50,92,2,4,2,5,50%, 40%,1, 1,4, 1,0, 0,15,48,15,50,2,2,9,10,1,2,3,5,11,42,9,43,3,6,12,14,4,4,6,8
2204,LyotoMachidaLukeRockhold,LukeRockholdLyotoMachida, 0,0,23,44,13,27, 52%,48%,39,63,19,33,1,1,0,0, 100%,0%, 2,0, 4,0, 0,0,14,34,7,20,4,4,0,1,5,6,6,6,11,23,12,25,1,1,0,0,11,20,1,2
2205,JacareSouzaChrisCamozzi,JacareSouzaChrisCamozzi,0, 0,6,9,7,14,66%, 50%,10,13,7,14,1,1,0,0,100%, 0%,1, 0,1, 0,0, 0,2,4,2,8,4,5,0,1,0,0,5,5,5,8,7,14,0,0,0,0,1,1,0,0
2206,CubSwansonMaxHolloway,MaxHollowayCubSwanson, 0,0,82,198,56,136, 41%,41%,86,202,58,138,0,0,0,3, 0%,0%, 3,0, 2,0, 0,0,51,163,29,98,24,28,10,15,7,7,17,23,73,185,54,133,4,5,2,2,5,8,0,1
2207,FeliceHerrigPaigeVanZant,PaigeVanZantFeliceHerrig, 0,0,67,92,28,47, 72%,59%,199,241,44,67,2,5,0,4, 40%,0%, 0,1, 6,1, 2,1,45,67,12,24,14,17,14,20,8,8,2,3,8,15,8,20,22,27,18,24,37,50,2,3
2208,JimMillerBeneilDariush,BeneilDariushJimMiller, 0,0,27,54,11,27, 50%,40%,55,86,24,43,2,4,0,0, 50%,0%, 1,3, 11,1, 0,1,17,37,4,19,7,12,1,1,3,5,6,7,10,28,6,22,10,16,5,5,7,10,0,0
2209,OvinceSaintPreuxPatrickCummins,OvinceSaintPreuxPatrickCummins,1, 0,18,41,14,23,43%, 60%,18,41,15,27,0,1,1,3,0%, 33%,0, 0,0, 0,0, 0,13,33,8,17,5,8,1,1,0,0,5,5,11,32,5,14,0,2,5,5,7,7,4,4
2210,CoreyAndersonGianVillante,GianVillanteCoreyAnderson, 0,0,70,168,111,279, 41%,39%,70,168,113,281,0,0,0,4, 0%,0%, 0,0, 0,0, 0,0,37,129,97,256,3,5,11,20,30,34,3,3,69,163,108,270,1,5,3,9,0,0,0,0
2211,TakeyaMizugakiAljamainSterling,AljamainSterlingTakeyaMizugaki, 0,0,32,54,13,42, 59%,30%,60,84,19,49,3,15,0,1, 20%,0%, 1,0, 2,0, 0,0,8,28,6,30,12,12,6,10,12,14,1,2,13,32,7,34,19,22,6,8,0,0,0,0
2212,GeorgeSullivanTimMeans,TimMeansGeorgeSullivan, 1,0,48,130,39,164, 36%,23%,69,151,43,169,2,2,0,5, 100%,0%, 1,0, 2,0, 0,0,28,89,27,134,12,32,9,25,8,9,3,5,30,100,34,153,9,14,5,11,9,16,0,0
2213,DiegoBrandaoJimyHettes,DiegoBrandaoJimyHettes,0, 0,12,24,11,18,50%, 61%,25,39,17,24,2,3,1,3,66%, 33%,0, 0,1, 0,0, 1,8,17,5,11,3,4,6,7,1,3,0,0,2,9,4,7,6,6,7,11,4,9,0,0
2214,EddieGordonChrisDempsey,ChrisDempseyEddieGordon, 0,0,44,138,37,140, 31%,26%,65,162,48,154,3,12,3,3, 25%,100%, 0,0, 2,1, 0,0,37,130,36,139,6,6,1,1,1,2,0,0,33,124,35,134,6,8,2,6,5,6,0,0
2215,GabrielGonzagaMirkoCroCop,MirkoCroCopGabrielGonzaga, 0,0,21,46,19,47, 45%,40%,32,59,46,75,0,1,2,7, 0%,28%, 0,1, 0,4, 0,0,20,44,16,42,1,2,2,3,0,0,1,2,2,19,4,20,3,6,3,5,16,21,12,22
2216,JimiManuwaJanBlachowicz,JimiManuwaJanBlachowicz,0, 0,43,86,44,106,50%, 41%,81,130,58,120,0,2,0,3,0%, 0%,0, 0,0, 0,0, 0,15,46,25,77,16,25,17,26,12,15,2,3,30,69,33,90,13,17,11,16,0,0,0,0
2217,PawelPawlakSheldonWestcott,PawelPawlakSheldonWestcott,0, 0,30,60,17,45,50%, 37%,77,113,38,70,3,4,3,11,75%, 27%,0, 0,5, 0,0, 0,15,40,6,24,14,19,10,19,1,1,1,2,8,32,3,15,16,20,14,30,6,8,0,0
2218,JoanneCalderwoodMarynaMoroz,MarynaMorozJoanneCalderwood, 0,0,12,32,11,24, 37%,45%,12,32,13,26,0,0,0,0, 0%,0%, 1,0, 0,0, 0,0,11,30,3,12,1,2,2,4,0,0,6,8,12,32,10,22,0,0,1,2,0,0,0,0
2219,SethBaczynskiLeonEdwards,LeonEdwardsSethBaczynski, 1,0,3,3,0,4, 100%,0%,3,3,0,4,0,0,0,0, 0%,0%, 0,0, 0,0, 0,0,3,3,0,3,0,0,0,1,0,0,0,0,1,1,0,4,0,0,0,0,2,2,0,0
2220,BartoszFabinskiGarrethMcLellan,BartoszFabinskiGarrethMcLellan,0, 0,41,53,13,21,77%, 61%,116,132,51,59,10,11,0,4,90%, 0%,0, 2,7, 0,0, 0,12,23,2,10,22,23,3,3,7,7,8,8,4,10,2,10,37,39,11,11,0,4,0,0
2221,SergioMoraesMickaelLebout,SergioMoraesMickaelLebout,0, 0,51,82,47,111,62%, 42%,51,82,50,114,2,3,0,0,66%, 0%,0, 0,3, 0,0, 1,40,69,33,95,8,8,5,6,3,5,9,10,50,80,46,110,0,0,0,0,1,2,1,1
2222,DamianStasiakYaotzinMeza,YaotzinMezaDamianStasiak, 0,0,17,25,14,23, 68%,60%,70,82,16,25,2,2,1,2, 100%,50%, 3,1, 11,2, 1,1,4,11,8,14,1,1,3,6,12,13,3,3,9,16,8,17,1,1,1,1,7,8,5,5
2223,DanielOmielanczukAnthonyHamilton,AnthonyHamiltonDanielOmielanczuk, 0,0,83,100,36,44, 83%,81%,113,131,81,91,3,4,1,3, 75%,33%, 0,0, 2,0, 0,0,29,44,16,23,51,53,17,18,3,3,3,3,3,12,3,5,44,47,27,33,36,41,6,6
2224,IzabelaBadurekAlexandraAlbu,AlexandraAlbuIzabelaBadurek, 0,0,42,62,32,45, 67%,71%,53,74,42,55,0,1,1,8, 0%,12%, 1,0, 0,0, 0,0,34,52,4,17,4,6,9,9,4,4,19,19,29,48,6,18,13,14,26,27,0,0,0,0
2225,MarcinBandelStevieRay,StevieRayMarcinBandel, 0,0,31,42,3,5, 73%,60%,45,57,5,7,0,0,0,5, 0%,0%, 2,0, 5,0, 0,0,27,35,1,2,1,1,1,2,3,6,1,1,5,10,3,3,1,1,0,1,25,31,0,1
2226,TaylorLapilusRockyLee,TaylorLapilusRockyLee,0, 0,80,143,37,72,55%, 51%,86,149,49,84,2,3,1,10,66%, 10%,1, 0,0, 0,1, 0,45,104,10,43,26,29,13,14,9,10,14,15,47,110,26,60,27,27,10,11,6,6,1,1
2227,ChadMendesRicardoLamas,ChadMendesRicardoLamas,2, 0,27,32,8,22,84%, 36%,32,37,8,22,0,0,0,0,0%, 0%,0, 0,0, 0,0, 0,24,28,2,16,0,0,0,0,3,4,6,6,5,7,8,22,5,7,0,0,17,18,0,0
2228,JorgeMasvidalAlIaquinta,AlIaquintaJorgeMasvidal, 0,0,55,153,83,170, 35%,48%,55,153,86,173,0,9,0,0, 0%,0%, 0,0, 0,1, 0,0,18,107,62,146,11,18,10,11,26,28,11,13,54,150,77,155,1,3,1,6,0,0,5,9
2229,MichaelChiesaMitchClarke,MichaelChiesaMitchClarke,0, 0,59,128,65,120,46%, 54%,98,173,81,141,4,7,0,4,57%, 0%,0, 0,4, 0,0, 0,48,113,36,85,9,13,14,17,2,2,15,18,41,107,52,105,7,9,13,15,11,12,0,0
2230,JuliannaPenaMilanaDudieva,JuliannaPenaMilanaDudieva,0, 0,37,73,0,5,50%, 0%,65,115,10,24,1,1,1,2,100%, 50%,0, 0,3, 1,0, 0,32,65,0,5,0,2,0,0,5,6,0,0,0,6,0,5,5,8,0,0,32,59,0,0
2231,ClayGuidaRobertPeralta,ClayGuidaRobertPeralta,0, 0,27,64,24,84,42%, 28%,44,85,41,103,6,11,0,0,54%, 0%,1, 0,6, 0,0, 0,4,40,13,71,8,8,2,3,15,16,9,10,6,42,20,72,11,12,4,12,10,10,0,0
2232,DustinPoirierDiegoFerreira,DustinPoirierDiegoFerreira,2, 0,24,50,20,56,48%, 35%,29,56,20,56,0,0,0,2,0%, 0%,0, 0,0, 0,0, 0,20,45,12,46,1,2,5,7,3,3,3,3,20,41,16,52,1,2,4,4,3,7,0,0
2233,LizCarmoucheLaurenMurphy,LizCarmoucheLaurenMurphy,0, 0,38,66,46,102,57%, 45%,149,189,67,127,2,8,2,9,25%, 22%,0, 0,1, 0,0, 0,19,43,6,59,8,12,2,2,11,11,38,41,24,50,12,65,13,15,29,32,1,1,5,5
2234,GrayMaynardAlexanderYakovlev,AlexanderYakovlevGrayMaynard, 1,0,31,72,21,55, 43%,38%,46,92,27,61,2,5,2,17, 40%,11%, 0,0, 3,0, 0,0,21,59,16,41,9,11,3,12,1,2,2,2,15,49,18,48,8,12,3,7,8,11,0,0
2235,ShamilAbdurakhimovTimJohnson,TimJohnsonShamilAbdurakhimov, 0,0,22,59,9,25, 37%,36%,33,72,11,27,1,2,0,1, 50%,0%, 0,0, 2,0, 0,0,14,44,5,19,1,6,0,1,7,9,4,5,3,29,9,22,8,12,0,3,11,18,0,0
2236,RonStallingsJustinJones,RonStallingsJustinJones,0, 0,50,84,23,72,59%, 31%,87,127,88,145,0,0,2,12,0%, 16%,0, 0,0, 0,0, 0,31,60,12,59,17,21,3,3,2,3,8,10,32,55,5,37,18,28,14,30,0,1,4,5
2237,DemianMaiaRyanLaFlare,DemianMaiaRyanLaFlare,0, 0,36,69,25,91,52%, 27%,76,121,54,121,5,14,0,0,35%, 0%,2, 0,14, 0,0, 0,32,65,8,60,3,3,5,15,1,1,12,16,12,39,24,88,0,0,0,0,24,30,1,3
2238,ErickSilvaJoshKoscheck,ErickSilvaJoshKoscheck,0, 0,14,32,4,21,43%, 19%,16,34,7,24,0,1,0,3,0%, 0%,1, 0,0, 0,0, 0,8,22,4,20,5,8,0,1,1,2,0,0,9,26,3,20,1,1,1,1,4,5,0,0
2239,LeonardoSantosAnthonyRoccoMartin,LeonardoSantosAnthonyRoccoMartin,0, 0,12,39,14,36,30%, 38%,16,43,24,46,1,2,0,3,50%, 0%,1, 0,2, 0,0, 0,6,25,8,30,0,3,1,1,6,11,5,5,12,39,14,36,0,0,0,0,0,0,0,0
2240,AmandaNunesShaynaBaszler,AmandaNunesShaynaBaszler,1, 0,15,17,1,8,88%, 12%,17,20,1,8,0,0,0,2,0%, 0%,0, 0,0, 0,0, 0,8,9,1,7,1,2,0,0,6,6,0,1,13,14,1,7,0,0,0,1,2,3,0,0
2241,GilbertBurnsAlexOliveira,GilbertBurnsAlexOliveira,0, 0,17,44,29,76,38%, 38%,37,69,31,80,2,5,0,0,40%, 0%,2, 0,2, 0,0, 0,8,32,22,67,5,6,3,4,4,6,4,5,10,37,26,70,3,3,3,6,4,4,0,0
