,fight,date,fighter_1,cumultime_1,cumulStr_Att_fighter_1,cumulStr_Att_oponent_1,cumulTD_Att_fighter_1,cumulTD_Att_oponent_1,KDPM_1,KDPM_ratio_1,SLPM_1,SLPM_ratio_1,SAPM_1,SAPM_ratio_1,Str_Acc_1,Str_Def_1,TD_Acc_1,TD_Def_1,SubPM_1,PassPM_1,RevPM_1,Head_SLPM_1,Body_SLPM_1,Leg_SLPM_1,Dist_SLPM_1,Clinch_SLPM_1,Ground_SLPM_1,wins_1,losses_1,implied_prob_1,prev_1,height_1,weight_1,reach_1,age_1,stance_Orthodox_1,stance_Southpaw_1,stance_Switch_1,winner,fighter_2,cumultime_2,cumulStr_Att_fighter_2,cumulStr_Att_oponent_2,cumulTD_Att_fighter_2,cumulTD_Att_oponent_2,KDPM_2,KDPM_ratio_2,SLPM_2,SLPM_ratio_2,SAPM_2,SAPM_ratio_2,Str_Acc_2,Str_Def_2,TD_Acc_2,TD_Def_2,SubPM_2,PassPM_2,RevPM_2,Head_SLPM_2,Body_SLPM_2,Leg_SLPM_2,Dist_SLPM_2,Clinch_SLPM_2,Ground_SLPM_2,wins_2,losses_2,implied_prob_2,prev_2,height_2,weight_2,reach_2,age_2,stance_Orthodox_2,stance_Southpaw_2,stance_Switch_2
762,Michael Chiesa vs Anthony Pettis,2018-07-07,Michael-Chiesa,43.06666666666668,474.0,429.0,34.0,22.0,0.0,0.0,1.130825758805664,0.3544508252325589,0.9559854514678204,0.28261213878082103,0.009539909267419936,0.013580291520526463,0.1046218487394958,0.15064935064935067,0.048997240346797616,0.07661321395413354,0.005878433985186344,0.6605407133644153,0.25408937694878964,0.2161956684924592,0.7617420558332701,0.18333156022014774,0.1857521427522463,7,3,0.6172839506172839,10,73.0,170.0,75.0,30.0,0,1,0,2,Anthony-Pettis,70.28333333333333,1065.0,1132.0,42.0,51.0,0.01604701230639254,0.0,1.4101963065662773,0.24056426422958205,1.181111258336556,0.16225655623967608,0.00628398717256692,0.007063131701633065,0.08253968253968254,0.1064319667260844,0.0244642440770314,0.04953796591733733,0.030458649918607007,0.905425080274936,0.29088372648568617,0.21388749980565533,1.1129264754255,0.08841826444077595,0.2088515667000015,7,6,0.3846153846153846,13,70.0,170.0,72.0,31.0,1,0,0
776,Marion Reneau vs Cat Zingano,2018-07-14,Marion-Reneau,39.516666666666666,731.0,729.0,11.0,13.0,0.013318830606672731,0.0,0.9723420024574188,0.21694366421583391,1.1043747430496418,0.2731768313079774,0.003052934997194183,0.005891905253887764,0.17272727272727273,0.08241758241758243,0.02334856557923961,0.017768720085947206,0.00366750408009829,0.5902590084181533,0.2476987971535369,0.1343841968857288,0.580509762563184,0.25013897193515605,0.14169326795907886,5,2,0.5128205128205129,7,66.0,135.0,68.0,41.0,1,0,0,2,Cat-Zingano,22.5,195.0,208.0,15.0,9.0,0.0,0.0,1.0750974746927189,0.1893844009098246,1.0527025887511596,0.1967746749931268,0.012118867048444512,0.007390420331355525,0.2063492063492064,0.19444444444444445,0.07961805179108493,0.1940724143608029,0.006349206349206349,0.8550757110332117,0.17444014792863766,0.04558161573086946,0.2721854809889214,0.18078935427784398,0.6221226394259534,2,3,0.5,5,66.0,145.0,68.0,36.0,0,1,0
1191,Randy Brown vs Niko Price,2018-07-14,Randy-Brown,29.23333333333333,464.0,353.0,30.0,13.0,0.014154838202335544,0.0,1.7859453517961086,0.5079490065236929,0.9543363155209036,0.1261925396855666,0.006576371976073989,0.009968366464988623,0.10202380952380953,0.3397435897435897,0.009727258480277985,0.05387451171965142,0.0,1.0471413546042283,0.18283096562654194,0.555973031565338,0.868053511931117,0.3723290651889666,0.545562774676025,4,2,0.5555555555555556,6,75.0,170.0,78.0,28.0,1,0,0,2,Niko-Price,16.71666666666667,169.0,209.0,6.0,10.0,0.0,0.0,0.8385944770249797,0.20255393071371364,1.3705432480881832,0.3628115653040877,0.011184305783323786,0.010596167017199957,0.06666666666666668,0.15833333333333335,0.06013113308050925,0.033544227131689044,0.011181409043896348,0.5467880609744736,0.11278171237545452,0.1790247036750517,0.6417024488976856,0.1298035738639162,0.06708845426337809,3,1,0.4651162790697674,4,72.0,170.0,76.0,28.0,1,0,0
1165,Eddie Wineland vs Alejandro Perez,2018-07-14,Eddie-Wineland,58.6,1229.0,1354.0,25.0,27.0,0.021368638499261385,0.0,1.2312050256643985,0.16792271734982606,1.5890748234877594,0.31659872976864084,0.0027865928919258787,0.00518400979633876,0.06333333333333332,0.2895622895622896,0.0,0.014096083781140162,0.0,0.8297427664052943,0.19943692628941725,0.2020253329696872,1.0393797623641188,0.07211401742156866,0.11971124587871107,5,6,0.37735849056603776,11,67.0,135.0,69.0,34.0,1,0,0,2,Alejandro-Perez,35.583333333333336,501.0,522.0,19.0,15.0,0.07331228999083596,0.0,0.9496143005028416,0.196433620355606,1.129447888341493,0.15021184904088886,0.004999743935822207,0.008464051546351936,0.05764411027568923,0.2611111111111111,0.09619633768437287,0.01998818362364129,0.0,0.5574493030481792,0.12508100340416273,0.2670839940504995,0.8421208234631332,0.0524565359064252,0.05503694113328298,6,1,0.6329113924050632,7,66.0,135.0,67.0,28.0,1,0,0
440,Chad Mendes vs Myles Jury,2018-07-14,Chad-Mendes,52.21666666666667,724.0,841.0,45.0,21.0,0.0887631515494889,0.0,1.6932962403492786,0.6105714116932154,0.9365281043460212,0.1680662612034821,0.009386004382450151,0.010085557868697623,0.06277777777777778,0.2585034013605442,0.01039624276138799,0.010943413433039988,0.0,1.105629174422686,0.21791855305479613,0.3697485128717963,1.0781111156586207,0.09603271363773176,0.5191524110529259,8,4,0.53475935828877,12,66.0,145.0,66.0,33.0,1,0,0,1,Myles-Jury,49.2,536.0,546.0,13.0,24.0,0.013255567338282077,0.0,0.8199767819687966,0.3927024713079856,0.6344368579184796,0.35152025910503004,0.0062425922659398395,0.01291220974058512,0.2161172161172161,0.07638888888888888,0.010825769633357707,0.03741360598617696,0.01870680299308848,0.5422101530518069,0.15730988294619844,0.12045674597079155,0.4458945308112887,0.03484320557491289,0.3392390455825951,8,2,0.3508771929824561,10,70.0,145.0,73.0,29.0,1,0,0
865,Dennis Bermudez vs Rick Glenn,2018-07-14,Dennis-Bermudez,82.78333333333333,1629.0,1299.0,99.0,63.0,0.02593833175635564,0.02415945238574593,1.5396108933335488,0.31722134848791955,1.2950891132540974,0.15577012196607726,0.004144612572779427,0.006530477192125142,0.05824915824915824,0.15974369545798114,0.02481924581207409,0.052309324573405314,0.006012423031889319,1.127067781046217,0.1885060230558825,0.22403708923144933,0.7906504847479248,0.3195018333526749,0.4294585752329494,9,6,0.6329113924050632,15,66.0,155.0,66.0,31.0,1,0,0,2,Rick-Glenn,28.0,436.0,701.0,22.0,21.0,0.0,0.0,0.75,0.06950760797849427,1.923469387755102,0.4480993412242074,0.002920025891081605,0.002711188113484515,0.0,0.11564625850340135,0.005102040816326529,0.0,0.0,0.4183673469387755,0.1989795918367347,0.1326530612244898,0.5102040816326531,0.1989795918367347,0.040816326530612235,2,2,0.37735849056603776,4,72.0,145.0,70.0,29.0,0,1,0
1182,Sage Northcutt vs Zak Ottow,2018-07-14,Zak-Ottow,26.516666666666666,351.0,416.0,10.0,8.0,0.0,0.0,0.7476348982064395,0.11426856052877425,1.3937052092353632,0.5414871125905268,0.004874943450941226,0.0065680310081327,0.065,0.25,0.0,0.01616234174373709,0.005387447247912364,0.3311827355973986,0.1356657170610659,0.2807864455479749,0.6775980839835787,0.04309957798329892,0.02693723623956181,3,2,0.425531914893617,5,71.0,170.0,72.0,31.0,1,0,0,2,Sage-Northcutt,30.4,443.0,370.0,21.0,24.0,0.012335526315789474,0.03289473684210526,1.3705403744724811,0.3300406191031191,1.594857277397825,0.8319948360289859,0.008650803564435913,0.009519085076588584,0.17671957671957672,0.10833333333333334,0.06927036144151735,0.11524505994520227,0.004699248120300753,0.9314792656599238,0.2068803982910669,0.23218071052148986,0.8118490237217811,0.1411636942967174,0.4175276564539821,5,2,0.5464480874316939,7,72.0,170.0,71.0,22.0,1,0,0
1187,Mauricio Rua vs Anthony Smith,2018-07-22,Mauricio-Rua,86.94999999999996,1376.0,1388.0,60.0,40.0,0.06305939588284085,0.005750431282346177,1.8543614239524333,0.4929987876178921,1.2393290831758828,0.16162239553972352,0.007133392719048278,0.007566551620155366,0.09952380952380954,0.14722222222222225,0.009571706509952493,0.044118114000445324,0.002555747236598301,1.2575984255460757,0.3118832612308245,0.284879737175533,1.1711946072487351,0.22903513787923985,0.4541316788244583,9,8,0.3846153846153846,17,73.0,205.0,76.0,36.0,1,0,0,2,Anthony-Smith,33.666666666666664,526.0,574.0,12.0,22.0,0.005063006300630064,0.0,1.5059607767367769,0.19016216122843813,2.404320410190646,0.5498389949882286,0.0062844777445356425,0.006274804848889967,0.1027777777777778,0.19393939393939394,0.004243281471004243,0.028038823046067675,0.020975311816895967,0.9570832164285792,0.2255747367550683,0.3233028235531296,1.0538228092667936,0.25604921960182475,0.1960887478681585,5,3,0.5847953216374269,8,76.0,205.0,76.0,29.0,1,0,0
1167,Emil Meek vs Bartosz Fabinski,2018-07-22,Emil-Meek,14.0,128.0,199.0,5.0,21.0,0.0,0.0,0.6530612244897959,0.0914285714285714,1.020408163265306,0.22408963585434166,0.00785264252507952,0.004354192928644132,0.12,0.05137844611528823,0.020408163265306117,0.010204081632653059,0.0,0.42857142857142855,0.1326530612244898,0.09183673469387754,0.48979591836734704,0.061224489795918366,0.1020408163265306,1,1,0.5882352941176471,2,71.0,170.0,74.0,29.0,0,0,1,2,Bartosz-Fabinski,14.0,78.0,60.0,11.0,15.0,0.0,0.0,0.5204081632653061,0.25384615384615383,0.3877551020408164,0.201219512195122,0.015045960328979197,0.012332112332112332,0.08264462809917356,0.09696969696969696,0.030612244897959183,0.07142857142857142,0.0,0.21428571428571427,0.2346938775510204,0.07142857142857142,0.061224489795918366,0.4489795918367347,0.010204081632653059,2,0,0.4166666666666667,2,72.0,170.0,75.0,32.0,1,0,0
340,Nick Hein vs Damir Hadzovic,2018-07-22,Damir-Hadzovic,12.85,134.0,134.0,4.0,16.0,0.0,0.0,1.5913806007712072,0.2621456364647026,1.3471285447295742,0.32096032497689336,0.011384409874517477,0.011099867892177531,0.25,0.0875,0.047883119668407206,0.4044241551518121,0.0,1.346165630074451,0.2243700568557335,0.02084491384102279,0.7739535962673927,0.3428851549198373,0.4745418495839771,1,2,0.4032258064516129,3,69.0,155.0,70.0,31.0,1,0,0,1,Nick-Hein,39.25,510.0,581.0,15.0,12.0,0.007279344858962694,0.0,0.7157308783385966,0.1384573873199897,0.7602633410051919,0.30619116485635456,0.003998859605761809,0.006436847805356344,0.07111111111111111,0.3125,0.0,0.01819836214740673,0.0036396724294813455,0.4973505325697158,0.11282984531392175,0.10555050045495903,0.6793341540437831,0.029117379435850767,0.007279344858962694,4,2,0.6172839506172839,6,66.0,155.0,66.0,34.0,0,1,0
249,Corey Anderson vs Glover Teixeira,2018-07-22,Corey-Anderson,59.41666666666666,976.0,1025.0,59.0,26.0,0.0,0.0,1.7105398894158843,0.4970226013359053,1.1957861702530457,0.2124442819919679,0.0054744258362538715,0.006387380454057336,0.09511082138200784,0.13846153846153847,0.0024043277900220395,0.049956588526013486,0.0,1.3155279186987119,0.20986270555559253,0.18514926516158006,0.8642258523097213,0.34865241919138457,0.4976616179147789,7,4,0.4201680672268908,11,75.0,205.0,79.0,28.0,1,0,0,1,Glover-Teixeira,60.68333333333334,1125.0,1058.0,56.0,24.0,0.017551431448712414,0.0,1.7427415044843395,0.40871404505881537,1.9319833242843945,0.32975500631085924,0.005491215851278598,0.007480134661690651,0.08938492063492064,0.14583333333333334,0.02054032511452873,0.10862931830399004,0.0,1.5224679237606804,0.19013655440950733,0.030137026314151924,1.0452135678497445,0.14994131306406325,0.5475866235705321,10,4,0.5405405405405405,14,74.0,205.0,76.0,38.0,1,0,0
419,Marcin Tybura vs Stefan Struve,2018-07-22,Marcin-Tybura,35.45,578.0,616.0,12.0,23.0,0.0,0.0,1.2112842845354999,0.20986750403332546,1.342139784799981,0.2840680345044927,0.00511960132109966,0.004931515672624404,0.1944444444444444,0.10511951816299643,0.0058768218147625785,0.06571946469384041,0.0058768218147625785,0.7957537913948846,0.2313900762780548,0.1841404168625608,0.73909257066985,0.23691857963444585,0.2352731342312044,3,3,0.6666666666666666,6,75.0,249.0,78.0,32.0,1,0,0,1,Stefan-Struve,78.25000000000001,1025.0,1203.0,27.0,29.0,0.018454795357013457,0.0,1.3304147728360671,0.2262063883277897,2.642615011805784,0.4387464738529507,0.008563365828262691,0.008128372535452812,0.22281011169900056,0.1412151067323481,0.07307431871426831,0.06765046723517851,0.015187639231274794,0.7372277607765694,0.2510254728888832,0.3421615391706141,1.1062788390083038,0.057028583504838186,0.16710735032292473,12,8,0.3448275862068966,20,83.0,265.0,84.0,30.0,1,0,0
688,Jose Aldo vs Jeremy Stephens,2018-07-28,Jeremy-Stephens,158.06666666666666,2606.0,2386.0,93.0,80.0,0.02005749903892028,0.012652889076339095,1.1457235860423998,0.2672068098757417,1.089815055031323,0.1967489906215995,0.004363044278851082,0.006634957779863133,0.06236132445809865,0.13801968864468864,0.015433743818391648,0.013745174962234152,0.010486930375731488,0.6566682974659022,0.211624013882352,0.27743127469414564,0.8124528820396085,0.12843818042677302,0.2048325235760184,15,13,0.5235602094240838,28,69.0,145.0,71.0,32.0,1,0,0,2,Jose-Aldo,77.26666666666667,1649.0,1838.0,18.0,64.0,0.0672881834699106,0.0,1.4596320110039178,0.23081822538420044,1.1099432355097998,0.1187408953106064,0.0031616180299285017,0.003878570362069747,0.13271604938271606,0.0933419308213716,0.0043140638481449535,0.024364629765421333,0.0,1.1267517530004951,0.14761267027852631,0.18526758772489632,1.1379543867477226,0.03543725663726635,0.28624036761892896,8,3,0.4761904761904762,11,67.0,145.0,70.0,31.0,1,0,0
561,Alexis Davis vs Katlyn Chookagian,2018-07-28,Katlyn-Chookagian,28.0,783.0,637.0,16.0,11.0,0.005102040816326529,0.0,1.1887755102040816,0.13464352689036233,1.1989795918367343,0.15618742712395964,0.0014195341864840444,0.003929819145239546,0.015625,0.1904761904761905,0.005102040816326529,0.0,0.0,0.6275510204081632,0.29081632653061223,0.2704081632653061,1.0663265306122451,0.08673469387755102,0.03571428571428571,3,1,0.5952380952380952,4,69.0,125.0,68.0,29.0,1,0,0,1,Alexis-Davis,43.25,591.0,742.0,13.0,19.0,0.0,0.0,1.1967993610619208,0.16190070348073385,2.412456295212817,0.3572889064934237,0.006359167084372467,0.005324601515362596,0.17948717948717946,0.049707602339181284,0.03471758773207531,0.03204097393327693,0.013212221304706851,0.7394984294578306,0.19062982274379314,0.2666711088602972,0.8777061403604839,0.16020486966638472,0.15888835103505225,6,2,0.4166666666666667,8,66.0,125.0,68.0,33.0,1,0,0
5,Randa Markos vs Nina Ansaroff,2018-07-28,Nina-Ansaroff,26.65,520.0,588.0,4.0,16.0,0.0,0.0,1.329497180997289,0.1335372465766462,1.5838596973930448,0.1995427789027456,0.00349328457172154,0.003398676407345268,0.125,0.153125,0.010720986330742428,0.010720986330742428,0.005360493165371214,0.7643209369952302,0.29738877569656763,0.2677874683054912,1.127316456476828,0.1914597381897188,0.010720986330742428,2,2,0.5747126436781609,4,65.0,115.0,64.0,32.0,1,0,0,1,Randa-Markos,53.56666666666666,956.0,775.0,29.0,37.0,0.0,0.0,1.0646007138996296,0.2800463893010417,0.7897538986433831,0.11999538171202538,0.0037352560014429132,0.00639240214088155,0.06387520525451561,0.08446628446628446,0.012088665788946042,0.05475912538535462,0.009421762064170508,0.7614691460003258,0.1134310073304164,0.1897005605688876,0.6768484854777034,0.19077121534890693,0.19698101307301927,4,4,0.4444444444444444,8,64.0,115.0,63.0,32.0,1,0,0
