,fight,winner,loser,date,cumultime_w,cumulStr_Att_fighter_w,cumulStr_Att_oponent_w,cumulTD_Att_fighter_w,cumulTD_Att_oponent_w,KDPM_w,KDPM_ratio_w,SLPM_w,SLPM_ratio_w,SAPM_w,SAPM_ratio_w,Str_Acc_w,Str_Def_w,TD_Acc_w,TD_Def_w,SubPM_w,PassPM_w,RevPM_w,Head_SLPM_w,Body_SLPM_w,Leg_SLPM_w,Dist_SLPM_w,Clinch_SLPM_w,Ground_SLPM_w,wins_w,losses_w,cumultime_l,cumulStr_Att_fighter_l,cumulStr_Att_oponent_l,cumulTD_Att_fighter_l,cumulTD_Att_oponent_l,KDPM_l,KDPM_ratio_l,SLPM_l,SLPM_ratio_l,SAPM_l,SAPM_ratio_l,Str_Acc_l,Str_Def_l,TD_Acc_l,TD_Def_l,SubPM_l,PassPM_l,RevPM_l,Head_SLPM_l,Body_SLPM_l,Leg_SLPM_l,Dist_SLPM_l,Clinch_SLPM_l,Ground_SLPM_l,wins_l,losses_l,implied_prob_w,implied_prob_l,prev_w,prev_l
1766,Eddie Gordon vs Antonio Carlos Junior,Antonio-Carlos-Junior,Eddie-Gordon,2015-06-27,14.0,99.0,141.0,8.0,9.0,0.0,0.0,0.3163265306122449,0.07845073513276278,0.8469387755102041,0.4479949874686717,0.006921431059362094,0.0063377093707559975,0.16666666666666669,0.16666666666666666,0.02040816326530612,0.07142857142857142,0.0,0.2040816326530612,0.061224489795918366,0.0510204081632653,0.17346938775510207,0.07142857142857142,0.07142857142857142,1,1,12.316666666666666,197.0,172.0,5.0,14.0,0.06861194228973298,0.0,2.0957575739477683,0.48456144667240747,1.0694741586715282,0.22664102163425576,0.006707759245830312,0.01001643073811931,0.4,0.08928571428571429,0.0,0.031241620573324275,0.019642935091012267,2.0841588884654563,0.011598685482312004,0.0,0.8569115158013427,0.091809313254357,1.1470367448920682,1,2,0.6289308176100629,0.3597122302158274,2,3
1774,Tatsuya Kawajiri vs Dennis Siver,Tatsuya-Kawajiri,Dennis-Siver,2015-06-20,8.833333333333334,87.0,94.0,17.0,10.0,0.0,0.0,2.283263905905415,0.2364300957129878,1.9333496691987258,0.34725670307845086,0.014499286304560138,0.006149513815346105,0.026470588235294117,0.06999999999999999,0.0779220779220779,0.18524871355060032,0.0,2.143592256799804,0.0,0.13967164910561133,0.5645675079637343,0.11320754716981131,1.6054888507718692,1,1,87.31666666666668,2208.0,1519.0,37.0,43.0,0.018063372103007683,0.0,1.465814518946369,0.34131622674599715,1.3063758619541317,0.16275604907569358,0.002750122143363407,0.007755836081581546,0.1256756756756757,0.07800387596899225,0.011572680018733945,0.06499009129567698,0.009147180363061256,0.8376199555716327,0.21778506909765943,0.41040949427707707,1.2090365034133306,0.09122530801764778,0.1655527075153911,11,7,0.390625,0.6097560975609756,2,18
1777,Mairbek Taisumov vs Alan Patrick,Mairbek-Taisumov,Alan-Patrick,2015-06-20,16.65,247.0,178.0,9.0,13.0,0.05907546891153449,0.0,2.3984439441113916,0.5479398812732146,1.0315501182011722,0.1627993519885412,0.00887507398627396,0.013585724789463636,0.1904761904761905,0.20979020979020982,0.0,0.01716001716001716,0.0,1.6517420732877408,0.32113746399460685,0.4255644068290439,1.7701542291706227,0.12257155114297973,0.5057181637977891,3,1,10.9,169.0,157.0,13.0,1.0,0.02352387673488591,0.0,0.9006284235642034,0.2698579807919559,0.9641428907483953,0.180045871559633,0.004471303667629729,0.008134597343603417,0.052447552447552455,1.0,0.0,0.0,0.0,0.6072520751419833,0.1310615989515072,0.16231474947071275,0.6075881305239103,0.17542090936586346,0.11761938367442955,2,0,0.5988023952095809,0.4,4,2
1779,Niklas Backstrom vs Noad Lahat,Noad-Lahat,Niklas-Backstrom,2015-06-20,9.65,113.0,115.0,19.0,0.0,0.0,0.0,0.8150496487577336,0.3049592894152479,0.713657248997947,0.18660096380303634,0.00695322376738306,0.012192816635160681,0.012383900928792569,,0.029607698001480384,0.029607698001480384,0.0,0.41758026898314315,0.13211736938396434,0.26535201039062606,0.5994162255771406,0.15641802717763223,0.05921539600296077,1,1,5.566666666666666,24.0,26.0,0.0,8.0,0.0,0.0,1.1663939433121844,0.3378956372968349,1.114494763265725,0.4054747647562019,0.041666666666666664,0.03706293706293706,,0.2142857142857143,0.08453680873547025,0.0,0.0,0.6725491682309247,0.04226840436773512,0.45157637071352463,0.7667167526451193,0.31514038193159477,0.08453680873547025,1,1,0.33003300330033003,0.6802721088435374,2,2
1781,Cain Velasquez vs Fabricio Werdum,Fabricio-Werdum,Cain-Velasquez,2015-06-13,44.18333333333334,673.0,464.0,20.0,7.0,0.015735808627744402,0.022632968691059976,1.6520860544138283,0.5734139195593659,0.771994013987492,0.12649901561652702,0.008145278114428212,0.011171717321376866,0.06666666666666667,0.32142857142857145,0.006144697382188228,0.060116659395524165,0.0,1.0681001942456068,0.21731635464533025,0.36666950552289146,1.1184422046352185,0.1982952538127275,0.3353485959658826,7,2,45.43333333333334,998.0,417.0,72.0,9.0,0.07221766576131947,0.0,3.5922453027992325,3.4605966293768806,0.7077484667379346,0.0762413028803447,0.0072045351005887185,0.016686175656440757,0.06857193732193732,0.48148148148148145,0.009367008633332917,0.15574566289922734,0.0,2.871458241928352,0.3123157715404271,0.4084712893304534,1.0260140265464295,0.7156565759832442,1.850574700269559,11,1,0.19011406844106465,0.8333333333333334,9,12
1783,Kelvin Gastelum vs Nate Marquardt,Kelvin-Gastelum,Nate-Marquardt,2015-06-13,35.2,587.0,517.0,12.0,11.0,0.011674968866749687,0.0,1.025854204948227,0.24607820630547902,0.7582073903680379,0.13318551522591698,0.004278619497247764,0.007469308364263331,0.16666666666666666,0.18181818181818182,0.01763491800851701,0.05010245047604948,0.014076832258650439,0.644716040497485,0.22551623345521227,0.15562193099552998,0.7891738554098454,0.1667965440537047,0.06988380548467721,5,1,78.39999999999999,802.0,654.0,44.0,48.0,0.0632011586738099,0.0,1.2365142180298196,0.8365240166579453,0.598822471008827,0.20246330898678272,0.011429324220851947,0.016579246610946615,0.18100649350649348,0.14525462962962962,0.03617115915875247,0.06210145894844741,0.009355554588573171,0.8533256960170722,0.18052769488292222,0.2026608271298251,0.5929072809544352,0.3239460742112081,0.3196608628641764,10,7,0.819672131147541,0.19011406844106465,6,17
1786,Henry Cejudo vs Chico Camus,Henry-Cejudo,Chico-Camus,2015-06-13,14.0,238.0,232.0,9.0,1.0,0.01020408163265306,0.0,1.2448979591836735,0.368051948051948,0.4795918367346939,0.05623015873015873,0.004345319885462528,0.00661578164640014,0.09523809523809523,1.0,0.01020408163265306,0.07142857142857142,0.0,0.7244897959183673,0.45918367346938777,0.06122448979591837,0.7040816326530612,0.3163265306122449,0.22448979591836735,2,0,31.833333333333336,363.0,409.0,8.0,20.0,0.0,0.0,0.888556469708302,0.2120029983188138,0.6651491008422489,0.11976402691129705,0.007102266399421213,0.007901346403714019,0.22916666666666666,0.08055555555555556,0.008975317875841434,0.026925953627524306,0.021657832265617377,0.7221228577932425,0.07316835224870735,0.0932652596663523,0.589639361321583,0.06946115573477284,0.2294559526519462,3,2,0.9090909090909091,0.1,2,5
1787,Efrain Escudero vs Drew Dober,Efrain-Escudero,Drew-Dober,2015-06-13,54.0,792.0,676.0,18.0,41.0,0.017729541323218682,0.0,0.9966629486729836,0.27209844471818917,0.7587287107036588,0.18263621723081536,0.004731182241356967,0.008700065420625016,0.1597222222222222,0.13705962059620597,0.02252551415731332,0.021613257462314066,0.004649000464900046,0.6496059673914643,0.13454198991421695,0.21251499136730226,0.6185088325207445,0.21197416275177386,0.16617995340046512,4,5,15.866666666666667,365.0,385.0,15.0,9.0,0.0,0.0,1.1592136854741897,0.1771608643457383,1.530612244897959,0.22321762428624847,0.002938095733547914,0.004506287363430221,0.0,0.2962962962962963,0.03376350540216086,0.07653061224489795,0.0,0.6865246098439375,0.2656062424969988,0.2070828331332533,0.821578631452581,0.25885354141656663,0.07878151260504201,1,2,0.42016806722689076,0.591715976331361,9,3
1791,Dan Henderson vs Tim Boetsch,Dan-Henderson,Tim-Boetsch,2015-06-06,68.05,790.0,985.0,27.0,44.0,0.011301949659235038,0.0073475385745775165,0.8347658065278022,0.13643089084840299,1.2602705644007408,0.48582200736230263,0.006616767223292532,0.006117488930673577,0.07253086419753087,0.09564393939393939,0.006531145399624459,0.017372210612475125,0.004898359049718345,0.4911685015994898,0.14587233683323475,0.19772496809507745,0.44790182082224805,0.24106178630644778,0.14580219939910624,5,7,80.51666666666667,907.0,1067.0,57.0,44.0,0.021701331614358683,0.0,1.1565995042385064,0.26623848959647,1.1552054918191035,0.29685436503238705,0.0089403117838679,0.008372300229407425,0.05175438596491228,0.15435606060606058,0.02342199570512133,0.022131503463689237,0.0035485111038826623,0.6971647556034036,0.27958351592455816,0.17985123271054448,0.69881358172547,0.32131695891906564,0.13646896359397076,9,7,0.3597122302158274,0.6493506493506493,12,16
1792,Ben Rothwell vs Matt Mitrione,Ben-Rothwell,Matt-Mitrione,2015-06-06,25.366666666666664,317.0,380.0,21.0,20.0,0.060914893159478574,0.0,1.7751675557611364,0.22062814650288232,3.084518277626286,1.1172390665928176,0.010165046951813235,0.006768207229912233,0.04081632653061225,0.20625,0.011263375258119017,0.09010700206495213,0.0,1.4051473026398378,0.30937130942373436,0.06064894369756395,1.0305827359646185,0.3722857002035118,0.37229911959300593,4,3,44.050000000000004,543.0,565.0,0.0,26.0,0.06313700302823128,0.0,2.166667219105807,0.7108702043515133,1.0441108785353341,0.21092890059076805,0.012344279874140688,0.012857641868873783,,0.22499999999999998,0.016815907848824987,0.008407953924412494,0.0,1.722310739331559,0.16524280953193127,0.2791136702423171,1.0941258633117046,0.2218538653782983,0.8506874904158047,9,3,0.37037037037037035,0.641025641025641,7,12
1793,Dustin Poirier vs Yancy Medeiros,Dustin-Poirier,Yancy-Medeiros,2015-06-06,54.4,1043.0,877.0,35.0,24.0,0.02962067179813102,0.0,2.156449416497174,0.3695622173031229,1.5435155018451603,0.16652137310658074,0.005550038086626559,0.008322858343593472,0.06984126984126984,0.2199074074074074,0.0439463243928937,0.03571820847562815,0.011556748205355015,1.5655933823209884,0.22284569638762866,0.36801033778855674,1.4751717124714308,0.4965076326044127,0.18477007142133037,9,3,13.35,166.0,131.0,0.0,8.0,0.016225205857299314,0.0,1.4772571198926912,0.4681647940074907,0.9621731264816048,0.194397807338528,0.008804916636241937,0.02157344500152673,,0.3125,0.06788476933398795,0.0,0.0,0.7315387511750784,0.5051205528236887,0.24059781589392404,1.183019143453346,0.24556235886744732,0.048675617571897936,2,2,0.641025641025641,0.3496503496503497,12,4
1796,Alex Caceres vs Francisco Rivera,Francisco-Rivera,Alex-Caceres,2015-06-06,29.18333333333333,571.0,594.0,8.0,26.0,0.021599902096761037,0.03426613363792119,1.52990421480579,0.2550140973715387,1.3806733861386176,0.20404788267137064,0.004212848828672907,0.006614474562608673,0.21875,0.15576923076923077,0.03092007357201207,0.0064249000571102236,0.0,0.9639794145953375,0.22476285362592646,0.3411619465845261,1.1726495641437555,0.23302055245104064,0.12423409821099388,3,3,54.75,880.0,652.0,2.0,59.0,0.0027465925086689325,0.0,1.3120868747606824,0.3944373083773326,0.7943839119037388,0.19100238276458004,0.0056882456978549455,0.008599982981647849,1.0,0.0788135593220339,0.04598580600228556,0.03629425815026804,0.02398036840306899,0.8189383696645001,0.3080194506705991,0.1851290544255834,1.1029621930847597,0.1312348058665908,0.07788987580933197,5,5,0.5494505494505494,0.4504504504504504,6,10
1797,Derrick Lewis vs Shawn Jordan,Shawn-Jordan,Derrick-Lewis,2015-06-06,31.200000000000003,379.0,323.0,13.0,9.0,0.04345936549326379,0.0,1.616587753833153,0.4152767113406859,1.1831671656278753,0.3474368513431013,0.009957034166160107,0.012090973958766167,0.1346153846153846,0.3148148148148148,0.0,0.06294374349929906,0.0,1.410995956345318,0.12866425627255512,0.07692754121528,0.9174571927098951,0.18658010057277521,0.512550460550483,5,3,12.866666666666667,126.0,38.0,5.0,6.0,0.0,0.0,1.5949968769915803,1.0192450037009622,1.1445683580855448,0.6496902745314125,0.022509176811344834,0.03268003925898663,0.3,0.2222222222222222,0.0,0.07161062512914423,0.018074466803229303,1.4421385291699835,0.1347838810183671,0.018074466803229303,0.1720915957717923,0.17024557254105271,1.2526597086787352,3,1,0.5102040816326531,0.49019607843137253,8,4
1798,Brian Ebersole vs Omari Akhmedov,Omari-Akhmedov,Brian-Ebersole,2015-06-06,15.116666666666667,220.0,140.0,14.0,8.0,0.018811037899016076,0.0661521499448732,0.9544596001966396,0.2045538070896395,0.8805532522275551,0.2955681997164908,0.006467391304347826,0.0085603371783496,0.053968253968253964,0.020833333333333332,0.018811037899016076,0.018811037899016076,0.0,0.618483947833188,0.1797875657416727,0.15618808662177874,0.5677136186299637,0.18846868447395157,0.1982772970927242,2,1,46.46666666666667,479.0,503.0,52.0,12.0,0.0030744004919040784,0.0,0.7679118243584291,0.15119635178943683,0.6763681082188973,0.1298498924816684,0.008046852381212439,0.00827567371128613,0.02564102564102564,0.125,0.0030744004919040784,0.02326449327455773,0.007892490815037337,0.46487688632060026,0.12471970950739232,0.17831522853043658,0.430416068866571,0.1291248206599713,0.20837093483188687,5,2,0.5586592178770949,0.4504504504504504,3,7
1799,Christos Giagos vs Chris Wade,Chris-Wade,Christos-Giagos,2015-06-06,8.2,66.0,49.0,10.0,7.0,0.0,0.0,0.818815331010453,0.20470383275261325,0.48780487804878053,0.07265179034769072,0.010955710955710955,0.028393966282165038,0.14444444444444443,0.14285714285714285,0.10162601626016261,0.15389082462253195,0.0,0.31358885017421606,0.12195121951219513,0.3832752613240418,0.22648083623693382,0.43554006968641124,0.15679442508710803,2,0,8.15,47.0,17.0,1.0,1.0,0.0,0.0,0.7893350684761727,0.07011393514460998,0.17351428394373178,0.21472392638036808,0.017810724944642344,0.08597285067873305,1.0,0.0,0.03834355828220859,0.15337423312883436,0.0,0.7893350684761727,0.0,0.0,0.17583813596083533,0.0,0.6134969325153374,1,1,0.6211180124223602,0.390625,2,2
1800,Joe Proctor vs Justin Edwards,Joe-Proctor,Justin-Edwards,2015-06-06,25.05,397.0,398.0,0.0,24.0,0.02909863400382692,0.0,1.057106601962688,0.20315413129784385,1.2195304813263352,0.2829564751094826,0.0042462286892931255,0.007756673608426357,,0.09999999999999999,0.0285143997718848,0.0057028799543769595,0.0,0.7773110519392349,0.118280360022211,0.16151519000124212,0.8426813310806018,0.11464183331948133,0.09978343756260494,3,2,30.133333333333333,320.0,348.0,38.0,22.0,0.004740834386852086,0.0,0.9582197310100072,0.1132033718423816,1.2232495087810153,0.45417540316363975,0.008912189774521923,0.005845124827305257,0.01325910931174089,0.0735930735930736,0.0632111251580278,0.033185840707964605,0.0,0.575506831370996,0.26735259622561036,0.11536030341340074,0.5881490564026016,0.27999482125721603,0.09007585335018962,2,4,0.6711409395973155,0.3496503496503497,5,6
1803,Carlos Condit vs Thiago Alves,Carlos-Condit,Thiago-Alves,2015-05-30,60.199999999999996,1297.0,812.0,10.0,62.0,0.01543719468987303,0.0,1.4054593667462851,0.3789524725473215,0.8599536016430505,0.12396380491141885,0.002907079183242187,0.007472786963233661,0.125,0.039784946236559135,0.03156045713672769,0.05466074967786713,0.018863667031299713,0.8079537993979224,0.24687681963530705,0.3506287477130557,1.0433017034385799,0.14588761027186617,0.21627005303583918,6,4,87.56666666666668,1657.0,1636.0,13.0,99.0,0.04520340013111482,0.0,1.596297939067185,0.5639653941976605,1.3289566334746274,0.7451790777847555,0.004745027172524845,0.00654938283630808,0.3076923076923077,0.09337093882548428,0.01460238247289427,0.040355927333027695,0.0032628201642286143,0.952362549043853,0.18544463175867834,0.45849075826465363,1.0977079712365128,0.1857298764462373,0.312860091384435,12,5,0.6993006993006994,0.3194888178913738,10,17
1804,Ryan Jimmo vs Francimar Barroso,Francimar-Barroso,Ryan-Jimmo,2015-05-30,14.0,130.0,148.0,13.0,9.0,0.0,0.0,0.6836734693877552,0.17498291182501707,0.6428571428571429,0.13108038914490527,0.007918284037687023,0.007844363478166295,0.05961538461538462,0.20833333333333334,0.0,0.01020408163265306,0.0,0.21428571428571427,0.20408163265306123,0.2653061224489796,0.40816326530612246,0.19387755102040818,0.08163265306122448,1,1,27.416666666666668,252.0,251.0,7.0,18.0,0.3312533237057672,0.0,1.7088601555217957,0.3379442962595373,0.9100986989655357,0.16932979411077034,0.016848756864855742,0.013551057621091708,0.21428571428571427,0.22777777777777775,0.0,0.015631784628745114,0.0,1.1216685897749756,0.24125519373978063,0.34593637200703936,0.7747450863184023,0.40409804207219674,0.5300170271311968,3,3,0.3003003003003003,0.7194244604316548,2,6
1805,Francisco Trinaldo vs Norman Parke,Francisco-Trinaldo,Norman-Parke,2015-05-30,50.15,544.0,484.0,19.0,33.0,0.0069741514373136745,0.0,0.8388333399894032,0.35947019157181886,0.7185220050865486,0.16193698845742716,0.008822772705989038,0.009517378240661227,0.15263157894736842,0.15295815295815296,0.021947388658269784,0.043060519852921114,0.002848597065945022,0.4314737557028723,0.28120660306791484,0.12615298121861596,0.4365565465460291,0.18579689863538026,0.2164798948079937,6,3,32.68333333333334,695.0,609.0,35.0,19.0,0.0,0.0,1.2449268099573612,0.27298101540294417,0.9439380580184984,0.11968980569760064,0.0028861455145526333,0.005521692706164164,0.08058608058608058,0.18245614035087718,0.0,0.056775656050483146,0.004370947767174182,0.8932755068523549,0.21187430440099475,0.1397769987040114,0.9330806859847348,0.12008440129033696,0.19176172268228933,4,1,0.3401360544217687,0.6802721088435374,9,5
