,fight,date,fighter_2,cumultime_2,cumulStr_Att_fighter_2,cumulStr_Att_oponent_2,cumulTD_Att_fighter_2,cumulTD_Att_oponent_2,KDPM_2,KDPM_ratio_2,SLPM_2,SLPM_ratio_2,SAPM_2,SAPM_ratio_2,Str_Acc_2,Str_Def_2,TD_Acc_2,TD_Def_2,SubPM_2,PassPM_2,RevPM_2,Head_SLPM_2,Body_SLPM_2,Leg_SLPM_2,Dist_SLPM_2,Clinch_SLPM_2,Ground_SLPM_2,wins_2,losses_2,implied_prob_2,prev_2,height_2,weight_2,reach_2,age_2,stance_Orthodox_2,stance_Southpaw_2,stance_Switch_2,winner
704,Alex Caceres vs Masio Fullen,2016-01-30,Alex-Caceres,55.1,834.0,712.0,21.0,40.0,0.007914523149980214,0.0,1.1589097585849901,0.42723567051057865,1.193449403948428,0.15448525671300964,0.005979339964946625,0.008472958799342659,0.1529100529100529,0.07152777777777777,0.018599542909410138,0.03409955581673442,0.01864266577774485,0.6990071245082641,0.30156215642617673,0.15834047765054954,0.8489098942546535,0.1462715879429169,0.16372827638741974,5,6,0.7194244604316548,11,70.0,145.0,73.0,27.0,0,1,0,2
1345,Dongi Yang vs Jake Collier,2015-11-28,Dongi-Yang,26.78333333333333,330.0,561.0,11.0,12.0,0.005333807449551071,0.0,0.7158522960606425,0.08713245111092813,1.3014029040813877,2.2741654160108347,0.0040780343241360005,0.003697346878877128,0.2212121212121212,0.17063492063492067,0.0,0.010667614899102142,0.0,0.4758309608308443,0.09067472664236824,0.14934660858743,0.6571804141155808,0.04267045959640857,0.016001422348653215,1,3,0.4761904761904762,4,70.0,185.0,71.0,30.0,0,1,0,2
231,Nordine Taleb vs Santiago Ponzinibbio,2017-02-19,Santiago-Ponzinibbio,35.116666666666674,771.0,632.0,17.0,14.0,0.03879033365791695,0.02847650688182249,1.944735676125093,0.37966372547842825,1.1670904123531924,0.12842299653278652,0.004076615701645083,0.007286777144328976,0.04901960784313725,0.16428571428571428,0.0,0.03539387697457288,0.008136144823377853,1.442179781877777,0.25548358274192423,0.2470723115053917,1.5913900111818895,0.10875580219162548,0.2445898627515774,5,2,0.7751937984496123,7,72.0,170.0,73.0,30.0,1,0,0,2
1273,Alan Jouban vs Richard Walsh,2015-02-28,Alan-Jouban,11.383333333333333,221.0,149.0,2.0,1.0,0.0,0.0,1.4924570722353931,0.2355066820348276,1.0908674466340544,0.14011157032451768,0.004031790230885253,0.006545022984883868,0.25,0.0,0.0,0.0,0.0,1.13863256251178,0.2157780759231528,0.13804643380046014,1.1916465922222228,0.2607278652906029,0.040082614722567064,1,1,0.7518796992481203,2,72.0,170.0,73.0,33.0,0,1,0,2
1107,Mauricio Rua vs Rogerio Nogueira,2015-08-01,Mauricio-Rua,69.96666666666665,1004.0,933.0,52.0,31.0,0.06470094032652995,0.007146260123868509,1.6479243615410837,0.563742113772573,1.0357327308488231,0.15912503569200406,0.008223238973078957,0.009265467155732595,0.09432234432234432,0.14157706093189965,0.011895091201148676,0.05074353110944882,0.0031761156106082265,1.1227473131754997,0.2700997362828569,0.2550773120827268,0.8336397028872228,0.2682955897438222,0.5459890689100386,6,8,0.6535947712418301,14,73.0,205.0,76.0,33.0,1,0,0,2
1261,Naoyuki Kotani vs Kajan Johnson,2015-09-26,Kajan-Johnson,11.016666666666666,154.0,142.0,3.0,20.0,0.0451974563875933,0.0,1.0277040678607523,0.19719338515311186,0.9147104268917692,0.16819435792471302,0.0048265514561000745,0.009078604356151994,0.16666666666666666,0.06414141414141414,0.0,0.058164821851176614,0.0451974563875933,0.8009634949829928,0.09706691824192656,0.12967365463583316,0.823938868646686,0.0778041927814999,0.12596100643256658,1,1,0.7462686567164178,2,71.0,155.0,75.0,31.0,1,0,0,2
1452,Justin Salas vs Aaron Riley,2013-07-27,Justin-Salas,8.1,123.0,153.0,4.0,15.0,0.0,0.0,1.2313612313612314,0.11756885090218425,3.7999037999037997,0.8044184535412606,0.007767762460233299,0.0060817119640649035,0.0,0.048888888888888885,0.0,0.0,0.0,0.6188872855539522,0.44733044733044736,0.1651434984768318,0.8481641814975149,0.38319704986371655,0.0,1,1,0.6896551724137931,2,68.0,155.0,70.0,31.0,0,1,0,2
119,Ross Pearson vs Al Iaquinta,2014-11-07,Al-Iaquinta,30.166666666666664,732.0,706.0,15.0,30.0,0.012212852573422507,0.0,1.7743321916029131,0.2069383921303084,1.6304722835308072,0.22253270582872253,0.0033131159381367768,0.004663074060800622,0.016666666666666666,0.10694444444444444,0.02173517090644163,0.0,0.0,1.2059125089789553,0.3068652899633567,0.2615543926606013,1.6619240995495757,0.07178166410501392,0.04062642794832385,4,2,0.4,6,70.0,155.0,70.0,27.0,1,0,0,2
535,Yoel Romero vs Paulo Costa,2019-08-17,Paulo-Costa,9.4,270.0,300.0,7.0,5.0,0.0,0.0,5.579094599200006,0.30852248055895465,7.878594175685724,0.8023432755555809,0.007190671350507416,0.005297485889671653,0.0,0.12,0.0,0.0,0.0,3.1455466259292137,1.5669475946657287,0.8666003786050634,3.960640179652477,0.9598931226883598,0.6585612968591691,4,0,0.4081632653061224,4,73.0,185.0,72.0,28.0,0,0,0,2
921,Shane Burgos vs Godofredo Pepey,2017-07-22,Shane-Burgos,10.983333333333334,367.0,450.0,12.0,8.0,0.022856997733347727,0.0,2.488365153237122,0.1513631676674235,2.9151923751958035,0.2203752241688509,0.002019285679322554,0.0028538993289951146,0.006944444444444444,0.10714285714285714,0.0,0.0,0.0,1.68635663991249,0.4922417726145956,0.3097667407100363,2.1458911371991287,0.2967600205712979,0.04571399546669545,2,0,0.7692307692307692,2,71.0,145.0,75.0,26.0,1,0,0,2
